"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 01:00:00,0.0747,1.28,0.115,0.0927,0.117,0.0820,0.117,0.0170,0.0417,0.0240
2025-05-13 01:00:30,0.160,0.556,0.134,0.109,0.105,0.0780,0.0900,0.0193,0.0407,0.0243
2025-05-13 01:01:00,0.572,1.74,0.119,0.0841,0.0863,0.0867,0.103,0.0300,0.0470,0.0240
2025-05-13 01:01:30,0.0677,3.18,0.190,0.124,0.131,0.0930,0.100,0.0553,0.0810,0.0670
2025-05-13 01:02:00,0.133,3.04,0.331,0.126,0.292,0.208,0.114,0.201,0.119,0.0730
2025-05-13 01:02:30,0.201,2.86,0.862,0.327,0.549,0.315,0.228,0.487,0.450,0.329
2025-05-13 01:03:00,0.236,1.31,0.931,0.338,0.644,0.359,0.295,0.525,0.458,0.478
2025-05-13 01:03:30,0.262,0.320,1.25,0.375,0.840,0.421,0.390,0.643,0.591,0.669
2025-05-13 01:04:00,0.359,0.343,1.30,0.424,0.959,0.537,0.412,0.804,0.646,0.582
2025-05-13 01:04:30,0.819,0.568,2.28,0.741,1.73,0.756,0.504,1.58,1.24,0.926
2025-05-13 01:05:00,0.489,0.689,2.26,0.865,1.41,0.816,0.852,1.32,1.32,1.35
2025-05-13 01:05:30,1.05,0.460,1.88,0.499,1.24,0.553,0.618,0.909,0.837,1.24
2025-05-13 01:06:00,1.63,0.379,1.77,0.452,1.18,0.563,0.604,1.17,1.01,0.764
2025-05-13 01:06:30,4.13,0.637,2.40,0.855,1.83,0.851,0.484,1.17,0.951,1.09
2025-05-13 01:07:00,2.93,0.514,2.36,0.637,1.69,0.718,0.851,1.32,1.13,1.22
2025-05-13 01:07:30,2.02,0.636,2.60,0.744,2.04,0.833,0.612,2.31,1.76,1.38
2025-05-13 01:08:00,2.17,1.21,2.83,1.31,2.46,1.25,1.22,2.13,1.84,1.91
2025-05-13 01:08:30,1.71,1.08,2.71,1.18,2.35,0.734,0.923,1.68,1.36,1.77
2025-05-13 01:09:00,1.73,0.551,2.60,0.610,1.69,1.06,1.04,1.39,1.23,1.42
2025-05-13 01:09:30,2.18,0.753,2.55,0.836,2.21,0.820,0.686,1.96,1.59,1.31
2025-05-13 01:10:00,1.80,0.780,3.02,1.36,2.84,0.879,0.832,1.99,1.47,1.57
2025-05-13 01:10:30,1.69,1.13,2.81,0.849,2.42,1.21,1.30,1.66,1.31,1.62
2025-05-13 01:11:00,1.74,0.602,2.49,0.746,1.94,0.815,0.679,1.80,1.54,1.37
2025-05-13 01:11:30,1.90,0.706,2.53,0.847,2.03,0.857,0.728,1.74,1.56,1.53
2025-05-13 01:12:00,1.91,0.674,2.58,1.24,2.82,0.711,0.763,1.90,1.45,1.76
2025-05-13 01:12:30,0.926,1.01,2.39,0.561,4.02,1.05,0.873,1.93,1.35,1.44
2025-05-13 01:13:00,0.535,0.968,3.04,1.06,2.56,1.26,1.01,1.98,1.87,1.47
2025-05-13 01:13:30,0.509,0.758,2.56,1.59,2.30,0.917,1.38,1.97,1.75,1.96
2025-05-13 01:14:00,0.953,0.774,3.00,0.888,2.51,0.907,0.861,2.16,1.45,1.76
2025-05-13 01:14:30,1.11,1.75,3.59,1.33,4.34,2.07,0.921,2.54,2.00,1.74
2025-05-13 01:15:00,1.40,1.18,2.91,1.91,2.91,1.14,1.25,3.58,3.48,2.22
2025-05-13 01:15:30,0.989,1.21,3.05,1.39,3.17,1.17,1.85,2.79,2.99,3.62
2025-05-13 01:16:00,0.675,1.35,4.07,0.983,6.85,1.76,1.05,3.85,2.57,2.59
2025-05-13 01:16:30,0.617,1.38,3.21,1.28,4.92,0.981,1.07,2.68,2.73,3.06
2025-05-13 01:17:00,0.786,0.877,2.97,1.94,4.75,1.06,0.951,2.75,2.46,2.16
2025-05-13 01:17:30,1.72,1.01,4.59,1.10,2.64,0.855,1.86,2.44,2.35,2.68
2025-05-13 01:18:00,0.523,0.872,4.02,0.910,,0.862,0.730,2.41,1.84,1.95
2025-05-13 01:18:30,0.104,1.02,3.97,0.224,,0.884,0.687,2.07,2.20,1.85
