"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 01:00:00,2.51 GiB,2.55 GiB,1.30 GiB,1.26 GiB,3.80 GiB,1.36 GiB,1.34 GiB,723 MiB,991 MiB,860 MiB
2025-05-13 01:00:30,2.58 GiB,4.60 GiB,1.30 GiB,1.26 GiB,3.80 GiB,1.36 GiB,1.34 GiB,724 MiB,993 MiB,860 MiB
2025-05-13 01:01:00,2.97 GiB,4.84 GiB,1.31 GiB,1.27 GiB,3.81 GiB,1.37 GiB,1.36 GiB,739 MiB,994 MiB,861 MiB
2025-05-13 01:01:30,2.99 GiB,5.06 GiB,1.37 GiB,1.29 GiB,3.87 GiB,1.39 GiB,1.37 GiB,794 MiB,1.02 GiB,885 MiB
2025-05-13 01:02:00,3.14 GiB,5.11 GiB,1.58 GiB,1.36 GiB,4.15 GiB,1.56 GiB,1.40 GiB,1.07 GiB,1.13 GiB,922 MiB
2025-05-13 01:02:30,3.42 GiB,5.40 GiB,2.21 GiB,1.67 GiB,4.81 GiB,1.81 GiB,1.63 GiB,1.80 GiB,1.87 GiB,1.37 GiB
2025-05-13 01:03:00,3.79 GiB,3.58 GiB,2.85 GiB,2.03 GiB,5.36 GiB,2.16 GiB,1.92 GiB,2.54 GiB,2.50 GiB,2.04 GiB
2025-05-13 01:03:30,4.04 GiB,3.91 GiB,3.37 GiB,2.36 GiB,5.95 GiB,2.40 GiB,2.21 GiB,3.24 GiB,3.28 GiB,2.84 GiB
2025-05-13 01:04:00,4.44 GiB,4.29 GiB,4.12 GiB,2.76 GiB,6.98 GiB,2.76 GiB,2.52 GiB,4.06 GiB,4.09 GiB,3.53 GiB
2025-05-13 01:04:30,4.99 GiB,5.02 GiB,5.47 GiB,3.43 GiB,8.80 GiB,3.57 GiB,3.13 GiB,6.44 GiB,6.20 GiB,4.54 GiB
2025-05-13 01:05:00,5.92 GiB,5.74 GiB,7.07 GiB,4.31 GiB,10.3 GiB,4.24 GiB,3.94 GiB,8.01 GiB,8.03 GiB,6.78 GiB
2025-05-13 01:05:30,8.57 GiB,6.28 GiB,7.95 GiB,4.48 GiB,10.8 GiB,4.61 GiB,4.71 GiB,9.26 GiB,9.35 GiB,8.48 GiB
2025-05-13 01:06:00,9.06 GiB,6.83 GiB,8.80 GiB,5.05 GiB,11.3 GiB,5.13 GiB,4.98 GiB,10.4 GiB,10.5 GiB,8.97 GiB
2025-05-13 01:06:30,9.15 GiB,7.25 GiB,9.78 GiB,5.57 GiB,12.6 GiB,5.72 GiB,5.05 GiB,10.7 GiB,10.7 GiB,10.2 GiB
2025-05-13 01:07:00,9.41 GiB,7.34 GiB,10.0 GiB,5.64 GiB,12.8 GiB,5.80 GiB,5.66 GiB,11.5 GiB,11.8 GiB,11.1 GiB
2025-05-13 01:07:30,10.3 GiB,7.97 GiB,11.6 GiB,6.61 GiB,15.0 GiB,6.50 GiB,5.74 GiB,14.6 GiB,14.0 GiB,12.1 GiB
2025-05-13 01:08:00,11.4 GiB,8.95 GiB,14.7 GiB,7.83 GiB,17.6 GiB,7.59 GiB,7.36 GiB,16.8 GiB,16.6 GiB,15.1 GiB
2025-05-13 01:08:30,11.6 GiB,9.87 GiB,15.5 GiB,8.86 GiB,19.0 GiB,8.75 GiB,8.68 GiB,18.5 GiB,18.5 GiB,17.9 GiB
2025-05-13 01:09:00,12.3 GiB,9.98 GiB,15.8 GiB,8.93 GiB,19.4 GiB,8.91 GiB,9.13 GiB,19.5 GiB,20.2 GiB,19.7 GiB
2025-05-13 01:09:30,13.3 GiB,10.6 GiB,16.9 GiB,9.24 GiB,20.3 GiB,8.99 GiB,9.20 GiB,21.0 GiB,20.6 GiB,20.0 GiB
2025-05-13 01:10:00,13.3 GiB,11.7 GiB,18.4 GiB,10.2 GiB,21.6 GiB,9.41 GiB,9.80 GiB,21.5 GiB,21.3 GiB,20.9 GiB
2025-05-13 01:10:30,13.4 GiB,12.2 GiB,19.2 GiB,10.3 GiB,22.2 GiB,10.2 GiB,10.5 GiB,22.4 GiB,21.7 GiB,21.1 GiB
2025-05-13 01:11:00,14.0 GiB,12.2 GiB,19.3 GiB,10.4 GiB,22.7 GiB,10.3 GiB,10.6 GiB,23.5 GiB,23.4 GiB,22.3 GiB
2025-05-13 01:11:30,14.9 GiB,12.3 GiB,19.7 GiB,11.1 GiB,24.0 GiB,10.3 GiB,10.7 GiB,24.0 GiB,24.4 GiB,23.1 GiB
