"Time","prom-ring-mimir-c9v8w-4x2sk","prom-ring-mimir-c9v8w-6p46r","prom-ring-mimir-c9v8w-cxpmm","prom-ring-mimir-c9v8w-sh4x8","prom-ring-mimir-c9v8w-wkpvk","prom-ring-mimir-c9v8w-x7w2p","prom-ring-mimir-c9v8w-xmljs"
2025-05-13 01:00:00,0.0628,0.0208,2.18,0.0377,0.109,0.0569,0.0484
2025-05-13 01:00:30,0.0757,0.0224,2.06,0.0489,0.132,0.0470,0.0530
2025-05-13 01:01:00,0.0638,0.0136,4.14,0.0421,0.125,0.0424,0.0453
2025-05-13 01:01:30,0.106,0.0385,5.75,0.0724,0.334,0.0813,0.110
2025-05-13 01:02:00,0.123,0.0905,6.09,0.160,0.715,0.132,0.266
2025-05-13 01:02:30,0.559,0.313,4.98,0.433,2.95,0.477,0.906
2025-05-13 01:03:00,0.593,0.386,2.67,0.516,3.67,0.562,1.11
2025-05-13 01:03:30,0.688,0.451,0.551,0.685,4.68,0.659,1.58
2025-05-13 01:04:00,0.763,0.513,0.659,0.808,4.97,0.796,1.87
2025-05-13 01:04:30,1.30,1.24,1.01,1.22,7.49,1.26,2.76
2025-05-13 01:05:00,1.64,2.11,1.37,1.44,9.39,1.47,3.32
2025-05-13 01:05:30,1.26,1.75,0.982,1.26,8.21,1.06,2.83
2025-05-13 01:06:00,0.910,3.14,0.726,0.955,7.02,1.10,2.32
2025-05-13 01:06:30,1.51,6.29,1.19,1.23,9.62,1.24,3.22
2025-05-13 01:07:00,1.51,6.72,1.14,1.45,10.2,1.58,3.98
2025-05-13 01:07:30,1.46,4.31,1.24,1.32,10.3,1.93,3.97
2025-05-13 01:08:00,2.31,4.50,2.51,2.12,12.3,2.21,5.10
2025-05-13 01:08:30,2.06,3.90,1.82,1.69,10.8,2.07,4.59
2025-05-13 01:09:00,1.38,3.56,1.09,1.80,11.0,1.46,4.05
2025-05-13 01:09:30,1.67,3.84,1.51,1.87,10.8,1.41,4.37
2025-05-13 01:10:00,2.47,4.37,1.79,1.56,11.8,2.19,5.59
2025-05-13 01:10:30,2.26,3.76,1.97,1.80,12.5,2.20,5.65
2025-05-13 01:11:00,1.56,3.67,1.36,2.02,11.4,1.45,4.70
2025-05-13 01:11:30,1.70,3.82,1.30,1.60,10.5,1.42,4.44
2025-05-13 01:12:00,2.29,4.42,1.42,1.44,10.1,1.83,5.44
2025-05-13 01:12:30,1.39,2.78,1.93,1.34,11.1,1.63,9.57
2025-05-13 01:13:00,2.06,1.34,2.04,2.43,13.7,2.11,8.24
2025-05-13 01:13:30,2.66,1.07,1.52,1.81,11.1,2.60,5.38
2025-05-13 01:14:00,2.04,1.65,2.39,1.64,12.1,1.64,5.46
2025-05-13 01:14:30,2.11,2.33,3.12,3.50,15.0,2.27,8.47
2025-05-13 01:15:00,3.63,1.77,2.06,3.32,14.6,3.25,7.58
2025-05-13 01:15:30,3.44,3.16,2.24,2.27,13.8,2.98,6.26
2025-05-13 01:16:00,2.26,1.38,2.93,2.25,15.8,1.91,8.82
2025-05-13 01:16:30,2.60,1.48,3.32,3.14,14.8,2.30,10.2
2025-05-13 01:17:00,3.30,1.63,1.84,1.92,12.8,3.00,10.2
2025-05-13 01:17:30,3.13,3.07,1.73,1.71,13.2,2.53,7.80
2025-05-13 01:18:00,1.68,2.01,1.92,1.61,16.0,1.60,6.01
2025-05-13 01:18:30,0.482,0.486,1.67,1.65,15.5,0.503,2.54
2025-05-13 01:19:00,0.320,0.0469,0.130,0.837,4.63,0.570,
2025-05-13 01:19:30,2.93,1.25,1.63,1.84,15.9,2.70,3.01
2025-05-13 01:20:00,1.68,2.24,1.25,1.49,21.4,1.16,7.31
2025-05-13 01:20:30,0.805,1.11,1.41,1.26,13.1,0.501,8.08
2025-05-13 01:21:00,2.54,1.80,4.01,3.34,21.2,2.66,9.89
2025-05-13 01:21:30,2.78,1.65,1.69,2.34,16.4,2.72,9.92
2025-05-13 01:22:00,2.79,1.26,1.51,1.82,12.6,2.85,9.32
2025-05-13 01:22:30,0.696,1.52,0.507,1.04,11.5,0.543,6.94
2025-05-13 01:23:00,2.47,1.96,2.87,2.40,22.1,2.30,9.01
2025-05-13 01:23:30,2.29,1.65,3.03,3.58,18.5,2.25,9.23
2025-05-13 01:24:00,3.03,1.66,1.96,2.33,15.5,2.95,9.68
2025-05-13 01:24:30,3.05,1.47,1.36,1.74,12.3,3.52,9.27
2025-05-13 01:25:00,2.64,3.72,2.30,2.49,16.7,2.77,11.6
