"Time","prom-ring-mimir-c9v8w-4x2sk","prom-ring-mimir-c9v8w-6p46r","prom-ring-mimir-c9v8w-cxpmm","prom-ring-mimir-c9v8w-sh4x8","prom-ring-mimir-c9v8w-wkpvk","prom-ring-mimir-c9v8w-x7w2p","prom-ring-mimir-c9v8w-xmljs"
2025-05-13 01:00:00,47.3 MiB,38.9 MiB,52.7 MiB,43.8 MiB,39.7 MiB,45.0 MiB,40.4 MiB
2025-05-13 01:00:30,48.6 MiB,38.6 MiB,133 MiB,44.2 MiB,40.3 MiB,47.7 MiB,40.5 MiB
2025-05-13 01:01:00,48.0 MiB,41.3 MiB,140 MiB,45.5 MiB,43.5 MiB,48.6 MiB,44.2 MiB
2025-05-13 01:01:30,64.5 MiB,65.2 MiB,136 MiB,63.6 MiB,61.5 MiB,63.0 MiB,66.1 MiB
2025-05-13 01:02:00,93.0 MiB,168 MiB,182 MiB,174 MiB,177 MiB,183 MiB,201 MiB
2025-05-13 01:02:30,493 MiB,428 MiB,397 MiB,405 MiB,435 MiB,413 MiB,460 MiB
2025-05-13 01:03:00,701 MiB,666 MiB,677 MiB,660 MiB,806 MiB,762 MiB,727 MiB
2025-05-13 01:03:30,1013 MiB,920 MiB,899 MiB,947 MiB,1.01 GiB,980 MiB,1.13 GiB
2025-05-13 01:04:00,1.34 GiB,1.27 GiB,1.40 GiB,1.24 GiB,1.39 GiB,1.40 GiB,1.33 GiB
2025-05-13 01:04:30,1.91 GiB,1.67 GiB,1.90 GiB,1.93 GiB,1.83 GiB,1.75 GiB,2.44 GiB
2025-05-13 01:05:00,2.69 GiB,2.46 GiB,2.52 GiB,2.51 GiB,2.65 GiB,2.90 GiB,3.09 GiB
2025-05-13 01:05:30,2.97 GiB,3.07 GiB,3.13 GiB,2.69 GiB,3.25 GiB,3.18 GiB,3.45 GiB
2025-05-13 01:06:00,3.40 GiB,3.49 GiB,3.71 GiB,3.34 GiB,3.62 GiB,3.20 GiB,3.47 GiB
2025-05-13 01:06:30,3.79 GiB,3.55 GiB,3.83 GiB,3.88 GiB,3.87 GiB,3.77 GiB,4.13 GiB
2025-05-13 01:07:00,3.81 GiB,3.67 GiB,3.87 GiB,3.89 GiB,3.96 GiB,3.79 GiB,4.17 GiB
2025-05-13 01:07:30,4.75 GiB,4.31 GiB,4.54 GiB,4.00 GiB,5.28 GiB,5.27 GiB,5.14 GiB
2025-05-13 01:08:00,6.23 GiB,5.46 GiB,6.00 GiB,5.40 GiB,5.56 GiB,6.22 GiB,6.86 GiB
2025-05-13 01:08:30,6.63 GiB,5.59 GiB,6.04 GiB,6.26 GiB,6.31 GiB,6.79 GiB,6.89 GiB
2025-05-13 01:09:00,6.64 GiB,6.01 GiB,6.09 GiB,6.59 GiB,6.36 GiB,6.80 GiB,6.91 GiB
2025-05-13 01:09:30,7.10 GiB,7.06 GiB,6.87 GiB,6.61 GiB,7.14 GiB,7.10 GiB,7.85 GiB
2025-05-13 01:10:00,7.82 GiB,7.15 GiB,8.05 GiB,6.92 GiB,8.01 GiB,7.96 GiB,8.34 GiB
2025-05-13 01:10:30,7.84 GiB,7.17 GiB,8.07 GiB,7.71 GiB,8.03 GiB,7.97 GiB,8.40 GiB
2025-05-13 01:11:00,7.87 GiB,7.63 GiB,8.08 GiB,7.72 GiB,8.05 GiB,8.02 GiB,8.47 GiB
2025-05-13 01:11:30,8.82 GiB,8.53 GiB,8.12 GiB,7.73 GiB,8.63 GiB,8.67 GiB,9.73 GiB
2025-05-13 01:12:00,9.07 GiB,8.86 GiB,8.85 GiB,7.75 GiB,9.26 GiB,9.15 GiB,11.1 GiB
2025-05-13 01:12:30,9.08 GiB,8.91 GiB,9.01 GiB,8.31 GiB,9.36 GiB,9.17 GiB,12.0 GiB
2025-05-13 01:13:00,9.12 GiB,8.95 GiB,9.03 GiB,8.99 GiB,9.39 GiB,9.50 GiB,12.1 GiB
2025-05-13 01:13:30,10.2 GiB,9.18 GiB,9.06 GiB,9.00 GiB,9.91 GiB,10.1 GiB,12.2 GiB
2025-05-13 01:14:00,10.6 GiB,9.97 GiB,10.9 GiB,9.04 GiB,11.4 GiB,10.2 GiB,13.6 GiB
2025-05-13 01:14:30,11.9 GiB,11.1 GiB,11.4 GiB,11.4 GiB,11.7 GiB,12.0 GiB,14.3 GiB
2025-05-13 01:15:00,13.7 GiB,12.0 GiB,12.3 GiB,11.5 GiB,13.0 GiB,13.8 GiB,14.7 GiB
2025-05-13 01:15:30,13.8 GiB,12.7 GiB,14.6 GiB,13.1 GiB,15.1 GiB,13.9 GiB,16.3 GiB
2025-05-13 01:16:00,13.9 GiB,12.7 GiB,15.4 GiB,14.2 GiB,15.2 GiB,13.9 GiB,14.3 GiB
2025-05-13 01:16:30,14.5 GiB,13.2 GiB,15.4 GiB,14.5 GiB,15.3 GiB,14.9 GiB,14.6 GiB
2025-05-13 01:17:00,15.7 GiB,14.3 GiB,15.4 GiB,14.5 GiB,15.3 GiB,15.9 GiB,14.6 GiB
