"Time","mimir-ingester-zone-b-1","mimir-ingester-zone-a-1","mimir-ingester-zone-a-2","mimir-ingester-zone-a-0","mimir-ingester-zone-c-1","mimir-ingester-zone-c-0","mimir-ingester-zone-c-2","mimir-ingester-zone-b-2","mimir-ingester-zone-b-0"
2025-05-13 01:00:00,0,0,0,0,0,0,0,0,0
2025-05-13 01:00:30,0,0,0,0,0,0,0,0,0
2025-05-13 01:01:00,8140,2540,3837,0,0,3931,0,0,0
2025-05-13 01:01:30,24611,21295,23133,11719,11028,21932,10712,17689,12824
2025-05-13 01:02:00,157955,99592,135237,30682,28884,116067,28038,56945,35683
2025-05-13 01:02:30,389712,308720,342793,242644,233164,331993,223715,283133,244983
2025-05-13 01:03:00,601244,502797,536931,497314,466671,534575,453780,500279,450849
2025-05-13 01:03:30,832024,710108,747134,708142,671244,747977,646130,720726,649709
2025-05-13 01:04:00,1120731,915834,1001131,960456,907118,978257,876276,946769,859754
2025-05-13 01:04:30,1709045,1455621,1559321,1401484,1331142,1552151,1280504,1447093,1286504
2025-05-13 01:05:00,2192565,1941411,2010697,1983822,1879928,2018408,1810261,1982857,1793141
2025-05-13 01:05:30,2406352,2141317,2207019,2395425,2243430,2220559,2185014,2284206,2103284
2025-05-13 01:06:00,2598743,2329475,2399410,2638742,2460299,2420416,2406070,2483475,2291821
2025-05-13 01:06:30,2822891,2524500,2595346,2838801,2648033,2621370,2588998,2695484,2487703
2025-05-13 01:07:00,3058858,2731842,2817531,3108738,2899854,2832155,2832599,2931887,2702139
2025-05-13 01:07:30,3703352,3163595,3358743,3403235,3195554,3334448,3105370,3297330,3019193
2025-05-13 01:08:00,4582735,3972478,4159541,4255171,4008520,4157985,3888946,4155642,3792568
2025-05-13 01:08:30,5067277,4557025,4670684,5107816,4771338,4708603,4659337,4890491,4493327
2025-05-13 01:09:00,5243894,4735504,4848148,5473988,5087730,4893159,4990792,5089532,4715113
2025-05-13 01:09:30,5474990,4931340,5052329,5693612,5305571,5093951,5192280,5308212,4930033
2025-05-13 01:10:00,5708999,5132628,5269162,5912493,5499040,5309298,5391604,5515696,5112341
2025-05-13 01:10:30,5923425,5344801,5474363,6180340,5755752,5521404,5634981,5762618,5355883
2025-05-13 01:11:00,6135431,5534877,5667005,6402688,5959010,5717721,5837983,5962977,5523720
2025-05-13 01:11:30,6318115,5703084,5836278,6604931,6150165,5890500,6021536,6143414,5698366
2025-05-13 01:12:00,6422843,5840741,5946119,6790914,6324399,6015574,6191835,6304687,5851877
2025-05-13 01:12:30,6676839,5998524,6158233,6840473,6395967,6194887,6262972,6420024,5960640
2025-05-13 01:13:00,6842965,6201300,6327133,7178858,6713705,6392311,6572528,6708997,6229979
2025-05-13 01:13:30,6964801,6309323,6444531,7348652,6841421,6505863,6698056,6824612,6341193
2025-05-13 01:14:00,7154868,6408210,6581004,7470803,6951402,6623475,6809530,6919583,6432386
2025-05-13 01:14:30,8038935,7136782,7394604,7901500,7382262,7418324,7208524,7547169,6920393
2025-05-13 01:15:00,9106561,8100004,8384303,8887509,8318878,8360378,8107090,8539116,7794379
2025-05-13 01:15:30,9845608,8823440,9079198,9923518,9284897,9086000,9055943,9396893,8688422
2025-05-13 01:16:00,10412424,9259222,9594460,10566653,9839002,9575539,9635684,9932355,9190978
2025-05-13 01:16:30,10753421,9746340,9958327,0,10541488,10045888,10324744,10513398,9758580
2025-05-13 01:17:00,10991541,9956875,10169121,0,10772191,10268160,10545391,10759404,9990385
2025-05-13 01:17:30,11153685,10127510,10323135,11176819,11018712,10433183,10787914,10970359,10189414
2025-05-13 01:18:00,11319658,10297872,,11767889,11214999,10606638,10974539,0,10381965
2025-05-13 01:18:30,11320380,10304023,10493061,,11253750,10608557,11027443,0,10395611
2025-05-13 01:19:00,11347001,10304023,10500751,,11254430,10609786,11028110,10994389,10396237
2025-05-13 01:19:30,11513803,10446517,10671146,,11340119,10782471,11099214,11154660,10493507
2025-05-13 01:20:00,11514155,10470655,10671511,0,11446062,10789349,11216488,11270058,
2025-05-13 01:20:30,11558280,10502312,10713437,0,11446413,10830374,11216869,11270216,0
2025-05-13 01:21:00,11581346,10538780,,12181724,11490607,10852892,11260372,11376556,0
2025-05-13 01:21:30,11610951,10559906,0,12285704,11514994,10875317,11284785,11429924,10587171
2025-05-13 01:22:00,11611858,10567674,0,12373002,11543021,10881426,11311855,,10638204
2025-05-13 01:22:30,11630059,10569735,10750906,12373381,11543021,10890441,11312078,0,10638204
2025-05-13 01:23:00,11635981,10590100,10770375,12404840,11566051,10904081,11334641,0,10680631
2025-05-13 01:23:30,11636477,10590666,10771026,,11567454,10904547,11336011,11482463,10682353
2025-05-13 01:24:00,11636477,10590671,10771026,0,11567885,10904547,11336480,11482880,10682692
2025-05-13 01:24:30,11636477,10590680,10777684,0,11567885,10904547,11336480,11483480,10683085
2025-05-13 01:25:00,11636477,10590680,10783079,0,11567885,10904547,11336480,11486808,10684511
