"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 01:00:00,80.1 p/s,67.1 kp/s,87.9 p/s,106 p/s,176 p/s,151 p/s,245 p/s,15.9 p/s,17.4 p/s,23.2 p/s
2025-05-13 01:00:30,229 p/s,35.2 kp/s,276 p/s,285 p/s,185 p/s,161 p/s,135 p/s,15.4 p/s,16.4 p/s,24.2 p/s
2025-05-13 01:01:00,509 p/s,81.9 kp/s,200 p/s,104 p/s,356 p/s,278 p/s,145 p/s,46.9 p/s,69.0 p/s,23.2 p/s
2025-05-13 01:01:30,222 p/s,14.6 kp/s,859 p/s,376 p/s,821 p/s,431 p/s,162 p/s,139 p/s,244 p/s,96.1 p/s
2025-05-13 01:02:00,868 p/s,180 p/s,2.31 kp/s,229 p/s,3.45 kp/s,1.90 kp/s,206 p/s,543 p/s,346 p/s,124 p/s
2025-05-13 01:02:30,1.51 kp/s,983 p/s,7.55 kp/s,888 p/s,7.64 kp/s,3.52 kp/s,538 p/s,1.29 kp/s,1.07 kp/s,735 p/s
2025-05-13 01:03:00,1.77 kp/s,936 p/s,8.87 kp/s,815 p/s,10.4 kp/s,5.22 kp/s,768 p/s,1.31 kp/s,1.19 kp/s,1.15 kp/s
2025-05-13 01:03:30,1.58 kp/s,1.43 kp/s,15.4 kp/s,2.48 kp/s,14.2 kp/s,7.52 kp/s,1.43 kp/s,2.09 kp/s,2.17 kp/s,1.57 kp/s
2025-05-13 01:04:00,3.14 kp/s,1.66 kp/s,15.0 kp/s,2.24 kp/s,18.3 kp/s,10.1 kp/s,2.62 kp/s,2.44 kp/s,2.56 kp/s,1.69 kp/s
2025-05-13 01:04:30,10.9 kp/s,4.20 kp/s,33.6 kp/s,3.10 kp/s,34.0 kp/s,16.6 kp/s,2.03 kp/s,4.73 kp/s,4.70 kp/s,2.68 kp/s
2025-05-13 01:05:00,3.57 kp/s,3.39 kp/s,30.4 kp/s,3.86 kp/s,29.6 kp/s,14.4 kp/s,4.22 kp/s,3.44 kp/s,5.48 kp/s,4.85 kp/s
2025-05-13 01:05:30,41.8 kp/s,3.97 kp/s,29.5 kp/s,2.63 kp/s,29.3 kp/s,14.3 kp/s,3.82 kp/s,3.95 kp/s,4.66 kp/s,4.10 kp/s
2025-05-13 01:06:00,63.0 kp/s,3.13 kp/s,27.9 kp/s,3.47 kp/s,32.1 kp/s,16.1 kp/s,3.76 kp/s,3.93 kp/s,4.99 kp/s,3.16 kp/s
