"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 01:00:00,23.4 KiB,271 MiB,43.8 KiB,50.0 KiB,60.0 KiB,40.0 KiB,189 KiB,3.98 KiB,4.69 KiB,5.00 KiB
2025-05-13 01:00:30,42.4 KiB,139 MiB,97.0 KiB,90.7 KiB,67.8 KiB,47.6 KiB,50.8 KiB,3.81 KiB,4.33 KiB,5.53 KiB
2025-05-13 01:01:00,160 KiB,345 MiB,238 KiB,40.7 KiB,417 KiB,235 KiB,56.5 KiB,96.7 KiB,11.1 KiB,5.19 KiB
2025-05-13 01:01:30,240 KiB,62.9 MiB,1.28 MiB,235 KiB,1.36 MiB,466 KiB,116 KiB,376 KiB,364 KiB,175 KiB
2025-05-13 01:02:00,1.15 MiB,217 KiB,4.79 MiB,377 KiB,6.64 MiB,2.98 MiB,187 KiB,1.72 MiB,911 KiB,260 KiB
2025-05-13 01:02:30,2.54 MiB,1.55 MiB,16.1 MiB,1.56 MiB,15.6 MiB,6.15 MiB,1.17 MiB,4.66 MiB,4.51 MiB,3.00 MiB
2025-05-13 01:03:00,3.52 MiB,1.75 MiB,19.5 MiB,1.95 MiB,22.0 MiB,9.27 MiB,1.78 MiB,6.05 MiB,5.44 MiB,4.76 MiB
2025-05-13 01:03:30,3.31 MiB,3.20 MiB,33.6 MiB,5.01 MiB,30.4 MiB,12.8 MiB,3.24 MiB,9.48 MiB,8.69 MiB,7.42 MiB
2025-05-13 01:04:00,6.04 MiB,3.77 MiB,33.4 MiB,4.98 MiB,38.7 MiB,17.9 MiB,5.67 MiB,10.9 MiB,10.4 MiB,9.23 MiB
2025-05-13 01:04:30,46.5 MiB,8.86 MiB,74.7 MiB,7.45 MiB,74.4 MiB,29.3 MiB,5.16 MiB,20.7 MiB,18.9 MiB,12.7 MiB
2025-05-13 01:05:00,7.61 MiB,8.41 MiB,68.0 MiB,9.52 MiB,64.5 MiB,25.7 MiB,9.86 MiB,18.0 MiB,19.7 MiB,21.2 MiB
