"Time","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 01:00:00,723 MiB,991 MiB,860 MiB
2025-05-13 01:00:30,724 MiB,993 MiB,860 MiB
2025-05-13 01:01:00,739 MiB,994 MiB,861 MiB
2025-05-13 01:01:30,794 MiB,1.02 GiB,885 MiB
2025-05-13 01:02:00,1.07 GiB,1.13 GiB,922 MiB
2025-05-13 01:02:30,1.80 GiB,1.87 GiB,1.37 GiB
2025-05-13 01:03:00,2.54 GiB,2.50 GiB,2.04 GiB
2025-05-13 01:03:30,3.24 GiB,3.28 GiB,2.84 GiB
2025-05-13 01:04:00,4.06 GiB,4.09 GiB,3.53 GiB
2025-05-13 01:04:30,6.44 GiB,6.20 GiB,4.54 GiB
2025-05-13 01:05:00,8.01 GiB,8.03 GiB,6.78 GiB
2025-05-13 01:05:30,9.26 GiB,9.35 GiB,8.48 GiB
2025-05-13 01:06:00,10.4 GiB,10.5 GiB,8.97 GiB
2025-05-13 01:06:30,10.7 GiB,10.7 GiB,10.2 GiB
2025-05-13 01:07:00,11.5 GiB,11.8 GiB,11.1 GiB
2025-05-13 01:07:30,14.6 GiB,14.0 GiB,12.1 GiB
2025-05-13 01:08:00,16.8 GiB,16.6 GiB,15.1 GiB
2025-05-13 01:08:30,18.5 GiB,18.5 GiB,17.9 GiB
2025-05-13 01:09:00,19.5 GiB,20.2 GiB,19.7 GiB
2025-05-13 01:09:30,21.0 GiB,20.6 GiB,20.0 GiB
2025-05-13 01:10:00,21.5 GiB,21.3 GiB,20.9 GiB
2025-05-13 01:10:30,22.4 GiB,21.7 GiB,21.1 GiB
2025-05-13 01:11:00,23.5 GiB,23.4 GiB,22.3 GiB
2025-05-13 01:11:30,24.0 GiB,24.4 GiB,23.1 GiB
2025-05-13 01:12:00,24.5 GiB,24.9 GiB,24.2 GiB
2025-05-13 01:12:30,25.4 GiB,25.2 GiB,24.3 GiB
2025-05-13 01:13:00,26.9 GiB,27.1 GiB,25.4 GiB
2025-05-13 01:13:30,27.2 GiB,27.4 GiB,26.9 GiB
2025-05-13 01:14:00,27.7 GiB,27.8 GiB,27.2 GiB
2025-05-13 01:14:30,30.3 GiB,30.5 GiB,28.7 GiB
2025-05-13 01:15:00,23.9 GiB,22.9 GiB,30.8 GiB
2025-05-13 01:15:30,28.0 GiB,27.2 GiB,26.0 GiB
2025-05-13 01:16:00,24.7 GiB,30.9 GiB,29.5 GiB
2025-05-13 01:16:30,27.2 GiB,25.7 GiB,25.7 GiB
2025-05-13 01:17:00,29.7 GiB,28.5 GiB,28.1 GiB
2025-05-13 01:17:30,30.7 GiB,30.1 GiB,29.7 GiB
2025-05-13 01:18:00,30.6 GiB,30.8 GiB,30.9 GiB
2025-05-13 01:18:30,30.8 GiB,25.6 GiB,30.8 GiB
2025-05-13 01:19:00,26.0 GiB,26.7 GiB,25.9 GiB
2025-05-13 01:19:30,28.8 GiB,29.2 GiB,27.5 GiB
2025-05-13 01:20:00,30.0 GiB,30.3 GiB,30.4 GiB
2025-05-13 01:20:30,30.8 GiB,30.7 GiB,30.7 GiB
2025-05-13 01:21:00,30.8 GiB,30.8 GiB,30.8 GiB
2025-05-13 01:21:30,29.9 GiB,25.5 GiB,26.2 GiB
2025-05-13 01:22:00,26.8 GiB,27.4 GiB,28.4 GiB
2025-05-13 01:22:30,28.7 GiB,28.9 GiB,29.9 GiB
2025-05-13 01:23:00,30.1 GiB,29.6 GiB,30.4 GiB
2025-05-13 01:23:30,30.7 GiB,30.2 GiB,30.6 GiB
2025-05-13 01:24:00,30.9 GiB,30.8 GiB,30.8 GiB
2025-05-13 01:24:30,30.8 GiB,30.8 GiB,30.8 GiB
2025-05-13 01:25:00,30.9 GiB,30.3 GiB,30.8 GiB
