"Time","177.93.133.115:19090","177.93.133.115:19091","177.93.133.115:19092","177.93.133.115:19093","177.93.133.115:19094","177.93.133.115:19095","177.93.133.115:19096","177.93.133.115:19097"
2025-05-13 01:00:00,0,,,,,,,
2025-05-13 01:00:30,0,,,,,,,
2025-05-13 01:01:00,0,,,,,,,
2025-05-13 01:01:30,36045,,,,,,,
2025-05-13 01:02:00,76095,,,,,,,
2025-05-13 01:02:30,596745,,,,,,,
2025-05-13 01:03:00,1309635,,,,,,,
2025-05-13 01:03:30,1879237,,,,,,,
2025-05-13 01:04:00,2536334,339766,,,,,,
2025-05-13 01:04:30,3216015,1389735,,,,,,
2025-05-13 01:05:00,3816765,2186730,,,,,,
2025-05-13 01:05:30,4177215,2483100,,,,,,
2025-05-13 01:06:00,4526677,2823525,,,,,,
2025-05-13 01:06:30,4850055,3131910,,,,,,
2025-05-13 01:07:00,5162445,3448305,208260,,,,,
2025-05-13 01:07:30,5586975,3732660,1197495,528660,,,,
2025-05-13 01:08:00,5891355,3944925,2046555,1545930,,,,
2025-05-13 01:08:30,6103620,4113135,2190735,2153786,,,,
2025-05-13 01:09:00,6207750,4218981,2394990,2342925,,,,
2025-05-13 01:09:30,6359940,4349430,2555190,2475090,,,,
2025-05-13 01:10:00,6520140,4497615,2731410,2651310,,,,
2025-05-13 01:10:30,6688350,4665825,2859570,2839545,,,,
2025-05-13 01:11:00,6856560,4789980,3055815,2963700,,,,
2025-05-13 01:11:30,6984720,4910130,3139920,3119895,,,,
2025-05-13 01:12:00,7092855,5030280,3288105,3260070,,,,
2025-05-13 01:12:30,7204995,5182470,3440295,3376215,,,,
2025-05-13 01:13:00,7421265,5258565,3584475,3484350,,,,
2025-05-13 01:13:30,7505370,5366700,3668580,3620520,,,,
2025-05-13 01:14:00,7589475,5446800,3732660,3668580,0,,,
2025-05-13 01:14:30,7753680,5602995,3804750,3768705,933165,139502,,
2025-05-13 01:15:00,7933905,5755185,3880845,3900870,2002289,1141425,284355,
2025-05-13 01:15:30,432540,5871330,3964950,3996990,2110635,2026530,1409760,0
2025-05-13 01:16:00,1465830,0,4033035,4077090,2190735,2090610,2038545,837045
2025-05-13 01:16:30,2218770,897120,4105125,4149180,2290860,2162700,2122650,1854315
2025-05-13 01:17:00,2278845,2026530,4165200,4249305,2439045,2222775,2218770,2062575
2025-05-13 01:17:30,2366955,2250810,4241295,4305375,2535165,2314890,2306880,2094615
2025-05-13 01:18:00,2443050,2342925,4341420,4381470,2603250,2411010,2382975,2158695
2025-05-13 01:18:30,2511135,2366955,4401495,336420,2639295,2487105,2447055,2226780
2025-05-13 01:19:00,2547180,2394990,4437540,1473840,2691360,2511135,2503125,2258820
2025-05-13 01:19:30,2563200,2407005,4437540,2439045,2691360,2559195,2503125,2282850
2025-05-13 01:20:00,2563200,2407005,4437540,2439045,2691360,2559195,2503125,2286855
2025-05-13 01:20:30,2563200,2407005,4437540,2439045,2691360,2559195,2503125,2286855
2025-05-13 01:21:00,2563200,2407005,4437540,2439045,2691360,2559195,2503125,2286855
2025-05-13 01:21:30,2563200,2407005,20025,2439045,2691360,2559195,2503125,2286855
2025-05-13 01:22:00,2563200,2407005,1333665,2439045,2691360,2559195,2503125,2286855
2025-05-13 01:22:30,2563200,2407005,2575215,2439045,2691360,2559195,2503125,2286855
2025-05-13 01:23:00,2563200,2407005,2575215,2439045,2691360,2559195,2503125,2286855
2025-05-13 01:23:30,2563200,2407005,2575215,2439045,2691360,2559195,2503125,2286855
2025-05-13 01:24:00,2563200,2407005,2575215,2439045,2691360,2559195,2503125,2286855
2025-05-13 01:24:30,2563200,2407005,2575215,2439045,2691360,2559195,2503125,2286855
2025-05-13 01:25:00,2563200,2407005,2575215,2439045,2691360,2559195,2503125,2286855
