"Time","count(synthetic_metric_0{label_0=""value_0"", label_1=""value_1""})"
2025-05-13 01:01:00,6
2025-05-13 01:01:15,10
2025-05-13 01:01:30,19
2025-05-13 01:01:45,34
2025-05-13 01:02:00,119
2025-05-13 01:02:15,204
2025-05-13 01:02:30,287
2025-05-13 01:02:45,364
2025-05-13 01:03:00,437
2025-05-13 01:03:15,523
2025-05-13 01:03:30,610
2025-05-13 01:03:45,685
2025-05-13 01:04:00,836
2025-05-13 01:04:15,1059
2025-05-13 01:04:30,1248
2025-05-13 01:04:45,1430
2025-05-13 01:05:00,1449
2025-05-13 01:05:15,1391
2025-05-13 01:05:30,1351
2025-05-13 01:05:45,1309
2025-05-13 01:06:00,1386
2025-05-13 01:06:15,1471
2025-05-13 01:06:30,1551
2025-05-13 01:06:45,1636
2025-05-13 01:07:00,1712
2025-05-13 01:07:15,1892
2025-05-13 01:07:30,2194
2025-05-13 01:07:45,2507
2025-05-13 01:08:00,2608
2025-05-13 01:08:15,2581
2025-05-13 01:08:30,2450
2025-05-13 01:08:45,2277
2025-05-13 01:09:00,2311
2025-05-13 01:09:15,2400
2025-05-13 01:09:30,2474
2025-05-13 01:09:45,2547
2025-05-13 01:10:00,2644
2025-05-13 01:10:15,2731
2025-05-13 01:10:30,2800
2025-05-13 01:10:45,2872
2025-05-13 01:11:00,2954
2025-05-13 01:11:15,3009
2025-05-13 01:11:30,3086
2025-05-13 01:11:45,3130
2025-05-13 01:12:00,3211
2025-05-13 01:12:15,3277
2025-05-13 01:12:30,3349
2025-05-13 01:12:45,3425
2025-05-13 01:13:00,3466
2025-05-13 01:13:15,3513
2025-05-13 01:13:30,3553
2025-05-13 01:13:45,3583
2025-05-13 01:14:00,3649
2025-05-13 01:14:15,3853
2025-05-13 01:14:30,4050
2025-05-13 01:14:45,4352
2025-05-13 01:15:00,4656
2025-05-13 01:15:15,4897
2025-05-13 01:15:30,5051
2025-05-13 01:15:45,5162
2025-05-13 01:16:00,5211
2025-05-13 01:16:15,5253
2025-05-13 01:16:30,5344
2025-05-13 01:16:45,5433
2025-05-13 01:17:00,5515
2025-05-13 01:17:15,5600
2025-05-13 01:17:30,5666
2025-05-13 01:17:45,5750
2025-05-13 01:18:00,5808
2025-05-13 01:18:15,5843
2025-05-13 01:18:30,5884
2025-05-13 01:18:45,5888
2025-05-13 01:19:00,5787
2025-05-13 01:19:15,5673
2025-05-13 01:19:30,5560
2025-05-13 01:19:45,5445
2025-05-13 01:20:00,5313
2025-05-13 01:20:15,5187
2025-05-13 01:20:30,5066
2025-05-13 01:20:45,4975
2025-05-13 01:21:00,4982
2025-05-13 01:21:15,4986
2025-05-13 01:21:30,4993
2025-05-13 01:21:45,4999
2025-05-13 01:22:00,5000
2025-05-13 01:22:15,5000
2025-05-13 01:22:30,5000
2025-05-13 01:22:45,5000
2025-05-13 01:23:00,5000
2025-05-13 01:23:15,5000
2025-05-13 01:23:30,5000
2025-05-13 01:23:45,4999
2025-05-13 01:24:00,4974
2025-05-13 01:24:15,4860
2025-05-13 01:24:30,4819
2025-05-13 01:24:45,4834
2025-05-13 01:25:00,4914
