"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.17:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.44:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 02:00:00,0.0667,0.0807,0.0787,0.0853,0.0930,0.0540,1.47,0.0927,0.0967,0.0273,0.0337,0.0207
2025-05-13 02:00:30,0.0717,0.0750,0.0740,0.119,0.104,0.0580,1.49,0.106,0.0900,0.0340,0.0343,0.0267
2025-05-13 02:01:00,0.0767,0.0910,0.1000,0.107,0.104,0.0553,1.45,0.118,0.119,0.0267,0.0350,0.0277
2025-05-13 02:01:30,0.109,0.120,0.0840,0.160,0.172,0.110,1.47,0.314,0.147,0.201,0.185,0.105
2025-05-13 02:02:00,0.125,0.152,0.217,0.173,0.203,0.118,1.50,0.390,0.387,0.269,0.250,0.264
2025-05-13 02:02:30,0.198,0.218,0.235,0.312,0.363,0.235,1.55,0.810,0.483,0.557,0.440,0.337
2025-05-13 02:03:00,0.201,0.221,0.460,0.295,0.364,0.197,1.52,0.728,0.883,0.473,0.500,0.520
2025-05-13 02:03:30,0.211,0.257,0.469,0.326,0.420,0.246,0.636,1.03,0.900,0.659,0.564,0.658
2025-05-13 02:04:00,0.305,0.241,0.525,0.351,0.493,0.290,0.944,1.29,1.19,0.936,0.762,0.678
2025-05-13 02:04:30,0.269,0.507,1.57,0.572,0.567,0.449,1.29,1.40,1.62,1.16,1.18,1.02
2025-05-13 02:05:00,0.319,0.352,3.84,0.370,0.619,0.350,3.50,1.21,1.62,1.17,1.13,1.19
2025-05-13 02:05:30,0.280,0.402,1.19,0.485,0.564,0.297,3.25,1.56,1.54,0.971,1.00,1.03
2025-05-13 02:06:00,0.485,0.495,1.44,0.584,0.674,0.519,1.69,1.78,1.97,1.12,0.990,1.02
2025-05-13 02:06:30,0.353,0.449,3.51,0.505,0.643,0.398,1.70,1.70,2.05,1.19,1.16,1.28
2025-05-13 02:07:00,0.439,0.338,2.01,0.429,0.594,0.455,1.74,1.48,2.07,1.19,1.16,0.986
2025-05-13 02:07:30,0.439,0.599,0.972,0.736,0.860,0.435,1.76,2.01,1.90,1.85,1.81,1.37
2025-05-13 02:08:00,0.644,0.608,2.42,0.806,0.694,0.701,1.81,1.88,2.36,2.02,1.73,1.94
2025-05-13 02:08:30,0.689,0.773,2.65,0.639,1.06,0.421,1.76,2.12,2.44,1.74,1.51,1.87
2025-05-13 02:09:00,0.454,0.565,3.45,0.590,0.760,0.697,2.07,2.11,2.46,1.61,1.59,1.45
2025-05-13 02:09:30,0.488,0.827,4.53,0.966,0.860,0.557,1.84,2.14,2.63,1.91,1.74,1.60
2025-05-13 02:10:00,0.450,0.513,1.98,0.553,0.926,0.458,1.74,1.95,2.38,1.67,1.51,1.81
2025-05-13 02:10:30,0.788,0.481,2.90,0.576,0.883,0.492,2.05,2.34,2.19,1.76,1.49,1.56
2025-05-13 02:11:00,0.412,0.517,2.82,0.569,0.711,0.638,1.69,2.21,2.50,1.61,1.65,1.41
2025-05-13 02:11:30,0.494,0.525,2.39,0.943,0.765,0.496,0.901,2.23,2.54,1.80,1.66,1.70
2025-05-13 02:12:00,0.833,0.913,2.33,0.586,1.24,0.442,1.04,2.06,2.65,1.66,1.56,1.84
2025-05-13 02:12:30,0.489,0.567,1.15,0.607,0.916,0.528,2.22,2.93,2.44,2.16,1.77,1.84
2025-05-13 02:13:00,0.470,0.546,2.61,0.622,0.872,0.808,4.06,2.12,2.43,1.99,1.94,1.69
2025-05-13 02:13:30,1.04,0.664,1.64,1.13,1.05,0.773,3.11,2.69,2.77,2.76,2.47,2.07
2025-05-13 02:14:00,0.623,1.36,3.50,0.662,1.48,0.706,2.32,2.93,3.37,3.04,2.39,2.86
2025-05-13 02:14:30,0.586,0.718,3.18,0.657,1.07,0.848,1.92,3.11,2.61,3.12,2.43,2.50
2025-05-13 02:15:00,0.977,0.729,2.98,0.676,1.61,1.27,1.92,2.53,2.88,2.77,2.46,2.39
2025-05-13 02:15:30,0.926,1.47,2.66,1.45,1.19,1.33,2.58,3.69,3.12,4.08,3.25,2.65
2025-05-13 02:16:00,1.23,0.841,5.24,0.705,1.01,0.805,1.95,3.37,3.84,2.56,2.60,3.66
2025-05-13 02:16:30,0.670,0.716,5.79,0.719,1.61,1.14,1.98,3.02,2.79,2.61,2.33,2.44
2025-05-13 02:17:00,0.625,0.788,5.52,0.805,1.06,1.35,2.47,3.56,3.72,2.99,2.49,2.37
