"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.17:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.44:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 02:00:00,3.07 GiB,2.95 GiB,2.86 GiB,1.29 GiB,1.37 GiB,2.78 GiB,3.36 GiB,1.48 GiB,1.37 GiB,711 MiB,680 MiB,821 MiB
2025-05-13 02:00:30,3.07 GiB,2.95 GiB,2.86 GiB,1.29 GiB,1.37 GiB,2.78 GiB,3.36 GiB,1.48 GiB,1.37 GiB,713 MiB,681 MiB,821 MiB
2025-05-13 02:01:00,3.08 GiB,2.95 GiB,2.86 GiB,1.29 GiB,1.37 GiB,2.78 GiB,3.36 GiB,1.49 GiB,1.37 GiB,713 MiB,682 MiB,821 MiB
2025-05-13 02:01:30,3.16 GiB,3.00 GiB,2.86 GiB,1.36 GiB,1.44 GiB,2.84 GiB,3.43 GiB,1.70 GiB,1.39 GiB,1012 MiB,895 MiB,901 MiB
2025-05-13 02:02:00,3.28 GiB,3.12 GiB,3.08 GiB,1.48 GiB,1.56 GiB,2.96 GiB,3.54 GiB,1.92 GiB,1.63 GiB,1.37 GiB,1.22 GiB,1.18 GiB
2025-05-13 02:02:30,3.54 GiB,3.36 GiB,3.29 GiB,1.71 GiB,1.78 GiB,3.23 GiB,3.78 GiB,2.41 GiB,1.90 GiB,2.25 GiB,1.85 GiB,1.59 GiB
2025-05-13 02:03:00,3.74 GiB,3.56 GiB,3.74 GiB,1.92 GiB,2.01 GiB,3.42 GiB,3.97 GiB,2.86 GiB,2.33 GiB,2.83 GiB,2.57 GiB,2.30 GiB
2025-05-13 02:03:30,4.04 GiB,3.79 GiB,4.22 GiB,2.12 GiB,2.19 GiB,3.56 GiB,3.34 GiB,3.19 GiB,2.86 GiB,3.54 GiB,3.54 GiB,3.04 GiB
2025-05-13 02:04:00,4.40 GiB,3.98 GiB,4.62 GiB,2.36 GiB,2.44 GiB,3.81 GiB,4.44 GiB,4.15 GiB,3.21 GiB,4.68 GiB,4.32 GiB,3.79 GiB
2025-05-13 02:04:30,4.92 GiB,4.50 GiB,5.21 GiB,3.07 GiB,2.93 GiB,4.51 GiB,5.10 GiB,5.19 GiB,4.42 GiB,5.98 GiB,5.75 GiB,5.03 GiB
2025-05-13 02:05:00,5.17 GiB,4.97 GiB,6.11 GiB,3.17 GiB,3.48 GiB,4.78 GiB,5.31 GiB,5.77 GiB,5.35 GiB,7.82 GiB,7.48 GiB,6.93 GiB
