"Time","prom-ring-mimir-c9v8w-4vvgp","prom-ring-mimir-c9v8w-4x2sk","prom-ring-mimir-c9v8w-6p46r","prom-ring-mimir-c9v8w-cxpmm","prom-ring-mimir-c9v8w-sh4x8","prom-ring-mimir-c9v8w-thd2b","prom-ring-mimir-c9v8w-wkpvk","prom-ring-mimir-c9v8w-x7w2p","prom-ring-mimir-c9v8w-xmljs"
2025-05-13 02:00:00,0.0184,0.0417,0.0355,0.0384,0.0722,0.0398,0.0753,0.0587,3.11
2025-05-13 02:00:30,0.0208,0.0513,0.0385,0.0481,0.0818,0.0489,0.0918,0.0732,3.10
2025-05-13 02:01:00,0.0232,0.0606,0.0403,0.0531,0.0923,0.0525,0.123,0.0778,2.79
2025-05-13 02:01:30,0.0906,0.172,0.0751,0.105,0.343,0.175,0.261,0.440,3.07
2025-05-13 02:02:00,0.162,0.257,0.137,0.185,0.594,0.350,0.414,0.705,3.12
2025-05-13 02:02:30,0.332,0.446,0.248,0.321,1.09,0.653,0.763,1.38,2.94
2025-05-13 02:03:00,0.367,0.607,0.277,0.358,1.50,0.961,0.817,1.72,3.15
2025-05-13 02:03:30,0.439,0.658,0.348,0.414,1.81,1.35,1.06,2.07,1.73
2025-05-13 02:04:00,0.682,0.814,0.403,0.540,2.26,1.99,1.28,2.67,1.41
2025-05-13 02:04:30,0.891,0.957,0.574,0.832,2.97,10.1,1.54,3.29,2.61
2025-05-13 02:05:00,0.793,1.01,0.584,0.680,2.62,7.54,1.57,3.34,5.60
2025-05-13 02:05:30,0.698,0.927,0.500,0.771,2.94,3.87,1.62,3.70,7.13
2025-05-13 02:06:00,0.888,1.15,0.722,0.879,3.26,8.49,2.13,4.14,3.51
2025-05-13 02:06:30,1.09,1.08,0.865,0.852,3.95,7.74,2.13,4.43,3.73
2025-05-13 02:07:00,0.850,1.01,0.697,0.719,3.37,5.37,1.68,4.22,3.41
2025-05-13 02:07:30,0.911,1.40,0.982,1.12,3.88,3.99,2.47,4.67,3.29
2025-05-13 02:08:00,1.37,1.34,1.20,1.29,4.32,8.72,3.10,4.93,3.81
2025-05-13 02:08:30,1.18,1.73,1.19,1.49,4.15,8.46,2.99,5.12,3.48
2025-05-13 02:09:00,1.36,1.37,1.23,1.11,3.85,10.3,2.82,5.12,4.18
2025-05-13 02:09:30,1.38,1.44,0.846,1.50,4.86,8.92,3.36,5.50,3.79
2025-05-13 02:10:00,1.08,1.77,0.869,1.39,4.28,8.04,2.32,5.06,3.75
2025-05-13 02:10:30,1.13,1.78,1.37,1.02,4.56,7.98,2.35,4.94,4.09
2025-05-13 02:11:00,1.36,1.15,1.04,1.07,5.04,9.11,2.60,5.41,3.48
2025-05-13 02:11:30,1.25,1.42,0.956,1.46,4.65,8.55,3.35,5.86,2.66
2025-05-13 02:12:00,0.973,2.01,1.43,1.51,4.37,5.28,2.44,5.34,1.60
2025-05-13 02:12:30,1.05,1.68,1.50,1.19,5.33,5.12,2.45,5.35,3.98
2025-05-13 02:13:00,1.26,1.63,0.956,1.21,5.28,7.48,2.28,5.70,7.15
2025-05-13 02:13:30,1.79,2.17,1.38,1.56,5.11,7.52,3.98,7.02,7.37
2025-05-13 02:14:00,1.47,2.59,1.87,2.37,5.95,10.9,3.00,6.60,4.61
2025-05-13 02:14:30,1.85,1.87,1.25,1.50,6.43,9.50,2.70,5.48,4.34
2025-05-13 02:15:00,2.61,2.78,1.66,1.55,5.96,8.22,2.57,6.63,4.00
2025-05-13 02:15:30,3.08,2.89,2.09,2.57,6.60,12.8,4.74,7.12,4.72
2025-05-13 02:16:00,2.44,2.60,1.48,1.91,7.66,15.4,3.10,7.35,4.43
2025-05-13 02:16:30,2.43,2.64,2.15,1.55,7.18,14.9,2.86,6.60,4.09
2025-05-13 02:17:00,3.16,2.02,1.21,1.64,7.16,10.8,4.56,7.52,4.85
2025-05-13 02:17:30,1.47,1.88,1.34,2.53,6.51,11.0,4.75,6.51,4.12
2025-05-13 02:18:00,1.34,1.56,1.19,1.73,6.25,11.2,2.83,6.91,3.98
2025-05-13 02:18:30,1.69,2.49,2.02,1.47,6.91,14.2,2.81,6.26,3.99
2025-05-13 02:19:00,2.93,2.60,1.67,1.61,7.23,9.14,3.24,8.06,4.43
2025-05-13 02:19:30,1.89,2.12,1.34,1.57,7.19,3.25,5.13,7.06,2.27
2025-05-13 02:20:00,1.43,2.24,1.28,2.57,6.27,3.39,3.51,6.72,1.18
2025-05-13 02:20:30,1.53,2.90,1.95,1.93,7.15,3.58,3.11,7.58,1.26
2025-05-13 02:21:00,1.72,3.49,2.34,1.61,7.21,5.22,2.86,7.31,1.56
2025-05-13 02:21:30,2.66,2.33,1.37,1.38,6.72,3.48,3.67,7.91,2.69
2025-05-13 02:22:00,1.94,2.13,1.36,1.84,7.02,3.38,5.35,6.41,1.50
2025-05-13 02:22:30,1.58,2.18,1.45,2.75,6.33,3.46,3.29,7.87,1.49
2025-05-13 02:23:00,1.46,2.81,2.12,1.91,7.63,3.62,3.02,7.29,1.42
2025-05-13 02:23:30,1.18,3.45,2.04,1.66,7.11,6.39,3.00,7.56,1.96
2025-05-13 02:24:00,3.27,1.81,0.997,1.62,6.46,3.28,3.14,4.68,1.62
2025-05-13 02:24:30,1.47,0.698,0.226,1.07,3.13,0.730,2.71,3.78,0.380
2025-05-13 02:25:00,2.38,1.30,0.583,2.18,6.11,1.26,1.18,7.66,0.557
2025-05-13 02:25:30,4.61,2.78,2.06,2.94,8.82,2.38,2.17,8.68,1.07
2025-05-13 02:26:00,3.68,2.13,0.822,1.83,8.20,4.29,1.39,4.59,1.57
2025-05-13 02:26:30,7.94,2.58,2.06,4.16,12.3,5.04,6.72,9.32,2.46
2025-05-13 02:27:00,5.51,2.94,1.86,6.11,13.2,4.66,7.20,12.8,2.17
2025-05-13 02:27:30,1.94,1.52,1.58,2.07,6.63,2.38,2.02,9.90,0.901
2025-05-13 02:28:00,3.98,3.50,2.80,2.97,10.1,2.69,3.21,10.2,1.70
2025-05-13 02:28:30,2.99,1.91,0.814,1.88,8.05,7.30,2.16,9.61,2.17
2025-05-13 02:29:00,2.93,1.50,0.831,2.65,6.47,6.11,5.76,9.71,1.35
2025-05-13 02:29:30,4.46,2.77,2.01,5.42,10.8,8.92,7.93,12.6,2.12
2025-05-13 02:30:00,2.31,2.24,1.81,2.42,6.50,3.58,6.44,5.07,1.40
2025-05-13 02:30:30,1.48,2.32,1.94,1.69,4.77,2.20,8.70,5.13,1.14
2025-05-13 02:31:00,2.24,1.53,0.686,1.02,8.00,2.38,15.3,7.60,1.59
2025-05-13 02:31:30,1.76,1.23,0.0817,1.36,6.47,1.06,14.7,8.75,0.0419
2025-05-13 02:32:00,0.774,1.12,0.356,1.68,7.32,1.89,16.5,4.93,0.490
2025-05-13 02:32:30,2.90,2.91,2.51,3.10,9.64,3.64,18.8,9.74,3.11
2025-05-13 02:33:00,4.47,3.89,3.24,4.86,13.7,4.27,15.4,14.0,3.89
2025-05-13 02:33:30,5.70,2.55,1.95,4.19,11.2,4.72,10.9,9.79,3.05
2025-05-13 02:34:00,2.67,2.06,1.14,3.83,5.92,4.40,9.91,8.55,1.94
2025-05-13 02:34:30,0.688,1.14,0.553,1.91,2.94,1.96,14.6,4.72,0.366
2025-05-13 02:35:00,0.204,1.72,1.10,0.250,2.02,0.270,19.9,5.99,0.0487
2025-05-13 02:35:30,1.85,2.63,1.24,1.96,5.71,1.50,13.1,10.1,1.18
2025-05-13 02:36:00,2.88,2.08,1.17,2.64,6.31,4.68,8.81,8.43,1.69
2025-05-13 02:36:30,2.59,2.32,1.55,4.25,7.90,4.79,13.2,9.40,1.62
2025-05-13 02:37:00,3.02,2.44,2.20,4.13,9.22,3.44,9.35,10.5,1.84
2025-05-13 02:37:30,3.00,3.04,2.42,3.58,8.45,2.71,9.11,7.90,2.17
2025-05-13 02:38:00,1.87,2.00,0.705,1.34,7.76,1.69,5.90,4.55,1.06
2025-05-13 02:38:30,1.76,0.638,0.238,0.515,2.69,3.09,5.40,1.77,0.234
2025-05-13 02:39:00,0.374,0.227,0.171,1.29,,2.00,10.8,1.18,0.0597
2025-05-13 02:39:30,1.67,1.80,1.12,2.77,8.98,1.63,16.7,4.76,1.27
2025-05-13 02:40:00,4.08,4.42,3.11,4.08,11.4,3.79,17.7,10.6,2.36
2025-05-13 02:40:30,4.57,3.56,2.42,4.81,14.7,5.15,13.4,12.9,2.29
2025-05-13 02:41:00,4.06,1.87,1.28,2.94,10.5,6.77,11.0,11.1,1.01
2025-05-13 02:41:30,0.202,0.997,0.147,2.01,2.89,4.92,8.90,8.14,0.123
2025-05-13 02:42:00,1.89,1.72,1.40,2.35,4.35,6.33,10.3,5.01,1.28
2025-05-13 02:42:30,2.41,3.61,2.63,2.73,8.43,6.85,11.6,8.28,1.58
2025-05-13 02:43:00,3.32,2.89,1.72,3.41,9.74,5.05,10.2,10.3,1.67
2025-05-13 02:43:30,3.87,2.24,1.58,3.69,7.97,3.42,10.4,9.09,1.40
2025-05-13 02:44:00,1.76,1.70,0.798,4.17,4.81,3.08,12.5,6.29,1.29
2025-05-13 02:44:30,0.819,1.20,1.08,1.00,1.97,0.879,14.8,3.72,0.605
2025-05-13 02:45:00,0.233,2.32,1.23,0.212,4.05,1.26,19.1,7.86,0.0845
