"Time","prom-ring-mimir-c9v8w-4vvgp","prom-ring-mimir-c9v8w-4x2sk","prom-ring-mimir-c9v8w-6p46r","prom-ring-mimir-c9v8w-cxpmm","prom-ring-mimir-c9v8w-sh4x8","prom-ring-mimir-c9v8w-thd2b","prom-ring-mimir-c9v8w-wkpvk","prom-ring-mimir-c9v8w-x7w2p","prom-ring-mimir-c9v8w-xmljs"
2025-05-13 02:00:00,36.6 MiB,46.8 MiB,47.3 MiB,46.8 MiB,44.3 MiB,36.9 MiB,39.6 MiB,42.7 MiB,346 MiB
2025-05-13 02:00:30,36.7 MiB,46.6 MiB,47.5 MiB,47 MiB,44.5 MiB,37.3 MiB,40.1 MiB,42.7 MiB,350 MiB
2025-05-13 02:01:00,36.7 MiB,46.6 MiB,43.0 MiB,47.6 MiB,45.8 MiB,43.0 MiB,45.8 MiB,44.6 MiB,353 MiB
2025-05-13 02:01:30,119 MiB,131 MiB,115 MiB,115 MiB,110 MiB,99.8 MiB,135 MiB,120 MiB,355 MiB
2025-05-13 02:02:00,209 MiB,214 MiB,213 MiB,214 MiB,233 MiB,204 MiB,219 MiB,205 MiB,358 MiB
2025-05-13 02:02:30,432 MiB,500 MiB,439 MiB,442 MiB,415 MiB,428 MiB,418 MiB,437 MiB,405 MiB
2025-05-13 02:03:00,604 MiB,691 MiB,629 MiB,631 MiB,634 MiB,616 MiB,584 MiB,628 MiB,519 MiB
2025-05-13 02:03:30,748 MiB,745 MiB,827 MiB,791 MiB,801 MiB,820 MiB,771 MiB,819 MiB,790 MiB
2025-05-13 02:04:00,1.11 GiB,1.26 GiB,1007 MiB,1.04 GiB,1.20 GiB,1.04 GiB,1.11 GiB,1.21 GiB,911 MiB
2025-05-13 02:04:30,1.39 GiB,1.56 GiB,1.60 GiB,1.50 GiB,1.46 GiB,1.41 GiB,1.56 GiB,1.58 GiB,1.59 GiB
2025-05-13 02:05:00,1.76 GiB,1.87 GiB,1.85 GiB,1.80 GiB,1.92 GiB,1.91 GiB,1.74 GiB,1.72 GiB,1.73 GiB
2025-05-13 02:05:30,1.84 GiB,2.08 GiB,1.98 GiB,1.94 GiB,2.00 GiB,2.10 GiB,1.95 GiB,2.13 GiB,1.88 GiB
2025-05-13 02:06:00,2.51 GiB,2.61 GiB,2.50 GiB,2.44 GiB,2.73 GiB,2.54 GiB,2.47 GiB,2.52 GiB,2.18 GiB
2025-05-13 02:06:30,2.72 GiB,2.86 GiB,2.78 GiB,2.83 GiB,2.75 GiB,2.92 GiB,2.65 GiB,3.03 GiB,2.82 GiB
2025-05-13 02:07:00,3.00 GiB,3.40 GiB,3.07 GiB,3.50 GiB,3.22 GiB,3.49 GiB,3.28 GiB,3.05 GiB,2.83 GiB
2025-05-13 02:07:30,3.21 GiB,3.87 GiB,3.35 GiB,3.62 GiB,4.01 GiB,3.53 GiB,3.38 GiB,3.49 GiB,3.50 GiB
2025-05-13 02:08:00,3.78 GiB,4.12 GiB,3.54 GiB,4.26 GiB,4.09 GiB,4.20 GiB,3.82 GiB,4.06 GiB,3.55 GiB
2025-05-13 02:08:30,3.83 GiB,4.93 GiB,4.46 GiB,4.77 GiB,4.88 GiB,4.82 GiB,4.54 GiB,5.06 GiB,4.18 GiB
2025-05-13 02:09:00,4.80 GiB,5.07 GiB,4.63 GiB,5.13 GiB,5.06 GiB,5.42 GiB,5.33 GiB,5.21 GiB,4.81 GiB
2025-05-13 02:09:30,4.94 GiB,5.87 GiB,5.53 GiB,5.74 GiB,5.68 GiB,5.74 GiB,5.34 GiB,5.63 GiB,5.20 GiB
2025-05-13 02:10:00,5.66 GiB,6.51 GiB,6.16 GiB,5.75 GiB,6.56 GiB,5.76 GiB,5.71 GiB,6.19 GiB,5.85 GiB
2025-05-13 02:10:30,6.35 GiB,6.63 GiB,6.31 GiB,5.87 GiB,7.31 GiB,6.44 GiB,6.68 GiB,7.06 GiB,6.46 GiB
2025-05-13 02:11:00,6.89 GiB,6.65 GiB,6.45 GiB,6.37 GiB,7.32 GiB,7.00 GiB,7.36 GiB,7.45 GiB,6.47 GiB
2025-05-13 02:11:30,6.89 GiB,6.67 GiB,6.47 GiB,7.23 GiB,7.35 GiB,7.51 GiB,7.48 GiB,7.46 GiB,6.61 GiB
2025-05-13 02:12:00,6.91 GiB,7.01 GiB,6.76 GiB,7.24 GiB,7.37 GiB,7.53 GiB,7.50 GiB,7.48 GiB,6.64 GiB
2025-05-13 02:12:30,7.01 GiB,7.03 GiB,6.78 GiB,7.26 GiB,7.94 GiB,7.56 GiB,7.52 GiB,7.51 GiB,6.86 GiB
2025-05-13 02:13:00,7.69 GiB,7.06 GiB,6.80 GiB,7.28 GiB,7.99 GiB,7.65 GiB,7.63 GiB,8.04 GiB,6.87 GiB
2025-05-13 02:13:30,7.86 GiB,7.93 GiB,7.72 GiB,8.67 GiB,8.00 GiB,8.38 GiB,8.38 GiB,8.48 GiB,7.39 GiB
2025-05-13 02:14:00,7.92 GiB,7.97 GiB,7.79 GiB,9.10 GiB,8.72 GiB,8.76 GiB,8.44 GiB,8.52 GiB,7.83 GiB
2025-05-13 02:14:30,8.81 GiB,8.14 GiB,7.83 GiB,9.17 GiB,9.67 GiB,8.86 GiB,8.68 GiB,9.80 GiB,7.85 GiB
2025-05-13 02:15:00,9.74 GiB,9.13 GiB,8.87 GiB,9.87 GiB,10.3 GiB,9.04 GiB,10.1 GiB,10.9 GiB,8.38 GiB
2025-05-13 02:15:30,10.3 GiB,10.2 GiB,9.87 GiB,11.3 GiB,10.8 GiB,10.2 GiB,11.3 GiB,11.2 GiB,10.1 GiB
2025-05-13 02:16:00,10.8 GiB,10.9 GiB,10.3 GiB,11.4 GiB,11.8 GiB,10.7 GiB,11.4 GiB,11.5 GiB,10.3 GiB
2025-05-13 02:16:30,11.6 GiB,10.9 GiB,10.5 GiB,11.6 GiB,11.8 GiB,11.3 GiB,11.7 GiB,12.5 GiB,10.6 GiB
2025-05-13 02:17:00,11.9 GiB,10.9 GiB,10.5 GiB,12.9 GiB,11.8 GiB,11.4 GiB,13.1 GiB,12.5 GiB,11.0 GiB
2025-05-13 02:17:30,11.9 GiB,11.1 GiB,11.4 GiB,13.7 GiB,12.0 GiB,11.9 GiB,13.1 GiB,13.1 GiB,11.1 GiB
2025-05-13 02:18:00,11.9 GiB,12.0 GiB,12.2 GiB,13.8 GiB,13.0 GiB,12.3 GiB,13.1 GiB,13.3 GiB,11.1 GiB
2025-05-13 02:18:30,12.9 GiB,12.9 GiB,13.0 GiB,13.8 GiB,13.3 GiB,13.0 GiB,13.4 GiB,13.3 GiB,12.3 GiB
2025-05-13 02:19:00,13.6 GiB,12.9 GiB,13.2 GiB,13.8 GiB,13.3 GiB,13.1 GiB,13.4 GiB,13.7 GiB,13.4 GiB
2025-05-13 02:19:30,13.6 GiB,12.9 GiB,13.3 GiB,13.9 GiB,13.3 GiB,13.1 GiB,13.5 GiB,13.7 GiB,13.6 GiB
2025-05-13 02:20:00,13.9 GiB,13.0 GiB,13.3 GiB,14.3 GiB,13.3 GiB,13.3 GiB,13.5 GiB,13.7 GiB,13.6 GiB
2025-05-13 02:20:30,13.9 GiB,14.2 GiB,13.8 GiB,14.3 GiB,14.2 GiB,14.1 GiB,13.5 GiB,13.8 GiB,13.6 GiB
2025-05-13 02:21:00,13.9 GiB,14.4 GiB,14.0 GiB,14.3 GiB,14.2 GiB,14.9 GiB,13.5 GiB,14.4 GiB,13.7 GiB
2025-05-13 02:21:30,14.1 GiB,14.4 GiB,14.0 GiB,14.3 GiB,14.2 GiB,14.9 GiB,13.7 GiB,14.7 GiB,14.0 GiB
2025-05-13 02:22:00,14.1 GiB,14.5 GiB,14.0 GiB,14.3 GiB,14.2 GiB,14.9 GiB,14.3 GiB,14.8 GiB,14.0 GiB
2025-05-13 02:22:30,14.1 GiB,14.5 GiB,14.1 GiB,14.8 GiB,14.3 GiB,15.0 GiB,14.3 GiB,14.8 GiB,14.0 GiB
2025-05-13 02:23:00,14.1 GiB,14.8 GiB,14.3 GiB,14.8 GiB,15.0 GiB,15.2 GiB,14.3 GiB,14.8 GiB,14.0 GiB
2025-05-13 02:23:30,14.2 GiB,15.2 GiB,14.6 GiB,14.8 GiB,15.0 GiB,15.5 GiB,14.3 GiB,15.2 GiB,14.1 GiB
2025-05-13 02:24:00,14.7 GiB,15.2 GiB,14.6 GiB,14.8 GiB,15.0 GiB,15.5 GiB,14.5 GiB,,14.2 GiB
2025-05-13 02:24:30,14.7 GiB,15.2 GiB,14.6 GiB,14.8 GiB,15.0 GiB,15.5 GiB,14.5 GiB,14.1 GiB,14.2 GiB
