"Time","mimir-ingester-zone-c-1","mimir-ingester-zone-c-2","mimir-ingester-zone-c-0","mimir-ingester-zone-c-3","mimir-ingester-zone-c-4","mimir-ingester-zone-b-0","mimir-ingester-zone-a-0","mimir-ingester-zone-b-3","mimir-ingester-zone-b-2","mimir-ingester-zone-b-4","mimir-ingester-zone-a-2","mimir-ingester-zone-a-4","mimir-ingester-zone-a-1","mimir-ingester-zone-a-3","mimir-ingester-zone-b-1","mimir-ingester-zone-b-0"
2025-05-13 02:00:00,0,0,0,0,,0,0,0,0,,0,,0,0,0,
2025-05-13 02:00:30,0,0,0,0,,0,0,0,0,,0,,0,0,0,
2025-05-13 02:01:00,5249,0,0,4135,,0,5163,0,0,,0,,0,0,0,
2025-05-13 02:01:30,83728,24408,36470,79538,,62367,80876,21604,53563,,24333,,49405,52678,43601,
2025-05-13 02:02:00,174726,97471,108118,172387,,143967,170885,92506,139802,,97146,,130883,132665,118524,
2025-05-13 02:02:30,361855,204335,226501,355714,,312159,353692,200206,290523,,202628,,271480,280373,255094,
2025-05-13 02:03:00,508821,370367,374434,500852,,443611,497760,368923,440856,,368237,,426559,423801,409996,
2025-05-13 02:03:30,661754,498860,498008,648528,,580817,646848,502843,581503,,496555,,564671,559520,541968,
2025-05-13 02:04:00,943322,644441,646861,925107,,803372,922218,652687,761656,,640420,,731683,735009,708352,
2025-05-13 02:04:30,1305748,944478,964496,1286352,,1155753,1275627,953030,1147151,,938730,,871885,852907,1058802,
2025-05-13 02:05:00,1573621,1274834,1277334,1554765,,1424146,1538515,1283622,1476013,,1267727,,1267821,1229608,1393743,
2025-05-13 02:05:30,1727912,1485900,1460385,1704164,,1565242,1689247,1508763,1626594,,1478398,,1581845,1547286,1581885,
2025-05-13 02:06:00,1899098,1629056,1598384,1876505,,1716648,1857600,1654238,1763459,,1620185,,1722767,1688836,1724432,
2025-05-13 02:06:30,2082450,1802364,1777455,2057868,,1893636,2037168,1828181,1970428,,1793187,,1956213,1881496,1921565,
2025-05-13 02:07:00,2219883,1965706,1927671,2193983,,2035133,2172018,1998346,2126509,,1955354,,2104566,2032455,2077623,
2025-05-13 02:07:30,2808776,2137629,2146910,2761740,,2478614,2738795,2159795,2489175,,2126983,,2413592,2362495,2332943,
2025-05-13 02:08:00,3399984,2706847,2702172,3353699,,3037569,3317301,2742639,3103960,,2694268,,3012379,2823386,2948526,
2025-05-13 02:08:30,3667922,3220268,3157172,3623213,,3350166,3580021,3263624,3465644,,3203387,,3412840,3156211,3410262,
2025-05-13 02:09:00,3827092,3427159,3350388,3788153,,3508371,3736861,3489647,3673329,,3409709,,3649273,3419274,3617196,
2025-05-13 02:09:30,4007280,3589244,3505970,3966685,,3679108,3909557,3653893,3843327,,3572669,,3816289,3617822,3783382,
2025-05-13 02:10:00,4164833,3742343,3651792,4116143,,3827999,4062800,3808934,3999636,,3725745,,3989778,3810319,3948438,
2025-05-13 02:10:30,4346327,3885716,3796802,4300364,,3993909,4239975,3955963,4166962,,3868191,,4152376,3952791,4101245,
2025-05-13 02:11:00,4514413,4055190,3955342,4468714,,4142600,4405407,4128216,4325894,,4037576,,4264004,4076980,4273629,
2025-05-13 02:11:30,4675804,4212212,4109960,4624604,,4299944,4560534,4292217,4500963,,4194039,,4357515,4225440,4439544,
2025-05-13 02:12:00,4846272,4366665,4264766,4798557,,4453280,4728829,4444384,4660450,,4346622,,4574026,4464433,4606436,
2025-05-13 02:12:30,5000687,4520824,4410496,4951932,,4602838,4879690,4603123,4822155,,4500803,,4827518,4588611,4761201,
2025-05-13 02:13:00,5165549,4663472,4551085,5113170,,4750709,5038638,4747074,4969931,,4643889,,4977055,4725654,4915054,
2025-05-13 02:13:30,5745228,4847738,4761528,5677904,,5200521,5604339,4930230,5337047,,4826878,,5190594,5103371,5167739,
