"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.17:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.44:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 02:00:00,96.0 p/s,129 p/s,148 p/s,83.2 p/s,114 p/s,56.6 p/s,90.4 p/s,150 p/s,192 p/s,16.0 p/s,17.3 p/s,23.5 p/s
2025-05-13 02:00:30,254 p/s,156 p/s,78.9 p/s,250 p/s,251 p/s,132 p/s,283 p/s,493 p/s,108 p/s,16.4 p/s,17.8 p/s,23.5 p/s
2025-05-13 02:01:00,186 p/s,232 p/s,278 p/s,121 p/s,184 p/s,65.2 p/s,85.9 p/s,404 p/s,376 p/s,16.2 p/s,120 p/s,30.3 p/s
2025-05-13 02:01:30,682 p/s,445 p/s,175 p/s,315 p/s,1.31 kp/s,289 p/s,445 p/s,3.34 kp/s,789 p/s,496 p/s,436 p/s,209 p/s
2025-05-13 02:02:00,796 p/s,607 p/s,902 p/s,356 p/s,1.58 kp/s,313 p/s,428 p/s,4.41 kp/s,3.42 kp/s,611 p/s,545 p/s,454 p/s
2025-05-13 02:02:30,2.06 kp/s,1.33 kp/s,860 p/s,1.70 kp/s,4.19 kp/s,790 p/s,1.32 kp/s,11.4 kp/s,4.77 kp/s,1.57 kp/s,1.10 kp/s,699 p/s
2025-05-13 02:03:00,1.21 kp/s,1.66 kp/s,1.83 kp/s,1.51 kp/s,4.66 kp/s,1.13 kp/s,1.01 kp/s,10.6 kp/s,10.7 kp/s,1.48 kp/s,1.36 kp/s,1.36 kp/s
2025-05-13 02:03:30,1.41 kp/s,1.22 kp/s,1.43 kp/s,1.34 kp/s,6.76 kp/s,2.41 kp/s,2.84 kp/s,17.8 kp/s,10.3 kp/s,2.44 kp/s,1.65 kp/s,1.77 kp/s
2025-05-13 02:04:00,2.43 kp/s,1.40 kp/s,2.50 kp/s,1.29 kp/s,8.81 kp/s,1.41 kp/s,54.4 kp/s,22.7 kp/s,17.1 kp/s,2.62 kp/s,2.53 kp/s,2.21 kp/s
2025-05-13 02:04:30,3.31 kp/s,2.99 kp/s,3.19 kp/s,2.07 kp/s,11.3 kp/s,2.35 kp/s,62.8 kp/s,24.2 kp/s,22.7 kp/s,2.46 kp/s,2.91 kp/s,2.90 kp/s
2025-05-13 02:05:00,2.56 kp/s,2.66 kp/s,3.60 kp/s,2.64 kp/s,11.5 kp/s,2.58 kp/s,31.6 kp/s,24.5 kp/s,22.2 kp/s,3.21 kp/s,3.55 kp/s,3.19 kp/s
2025-05-13 02:05:30,4.05 kp/s,3.14 kp/s,3.53 kp/s,3.22 kp/s,15.5 kp/s,2.71 kp/s,10.1 kp/s,37.6 kp/s,27.0 kp/s,3.76 kp/s,3.87 kp/s,3.53 kp/s
2025-05-13 02:06:00,4.10 kp/s,3.44 kp/s,4.71 kp/s,3.99 kp/s,16.8 kp/s,4.25 kp/s,4.94 kp/s,40.2 kp/s,36.3 kp/s,3.90 kp/s,4.01 kp/s,4.22 kp/s
2025-05-13 02:06:30,5.07 kp/s,4.69 kp/s,5.73 kp/s,4.74 kp/s,19.6 kp/s,3.31 kp/s,3.86 kp/s,40.5 kp/s,40.7 kp/s,5.05 kp/s,5.25 kp/s,4.67 kp/s
2025-05-13 02:07:00,3.37 kp/s,3.38 kp/s,6.45 kp/s,3.57 kp/s,17.9 kp/s,3.41 kp/s,4.08 kp/s,36.6 kp/s,40.5 kp/s,5.04 kp/s,4.98 kp/s,5.37 kp/s
