"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.17:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.44:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 02:00:00,42.0 KiB,43.3 KiB,52.8 KiB,34.8 KiB,38.5 KiB,16.4 KiB,37.2 KiB,68.5 KiB,74.6 KiB,4.97 KiB,4.95 KiB,5.28 KiB
2025-05-13 02:00:30,92.0 KiB,50.9 KiB,29.5 KiB,109 KiB,101 KiB,46.8 KiB,113 KiB,197 KiB,49.0 KiB,4.69 KiB,5.47 KiB,5.28 KiB
2025-05-13 02:01:00,187 KiB,85.7 KiB,111 KiB,53.7 KiB,74.0 KiB,22.4 KiB,32.4 KiB,571 KiB,144 KiB,4.58 KiB,18.6 KiB,6.38 KiB
2025-05-13 02:01:30,861 KiB,697 KiB,203 KiB,397 KiB,1.87 MiB,374 KiB,393 KiB,6.28 MiB,1.41 MiB,1.54 MiB,1.28 MiB,537 KiB
2025-05-13 02:02:00,1.31 MiB,1.04 MiB,1.65 MiB,684 KiB,2.68 MiB,633 KiB,635 KiB,9.08 MiB,6.96 MiB,2.37 MiB,1.97 MiB,1.96 MiB
2025-05-13 02:02:30,3.13 MiB,2.52 MiB,1.73 MiB,3.18 MiB,7.20 MiB,1.61 MiB,1.69 MiB,23.0 MiB,9.84 MiB,6.28 MiB,5.11 MiB,3.05 MiB
2025-05-13 02:03:00,2.19 MiB,3.03 MiB,3.75 MiB,3.01 MiB,8.19 MiB,2.22 MiB,1.61 MiB,22.1 MiB,22.1 MiB,6.09 MiB,6.57 MiB,6.17 MiB
2025-05-13 02:03:30,2.84 MiB,2.38 MiB,3.41 MiB,2.96 MiB,12.3 MiB,4.68 MiB,5.08 MiB,37.5 MiB,21.5 MiB,10.4 MiB,8.81 MiB,7.41 MiB
2025-05-13 02:04:00,4.49 MiB,3.03 MiB,5.76 MiB,3.19 MiB,15.6 MiB,3.25 MiB,177 MiB,47.9 MiB,36.2 MiB,12.1 MiB,11.8 MiB,10.5 MiB
2025-05-13 02:04:30,5.83 MiB,6.08 MiB,7.53 MiB,4.47 MiB,19.5 MiB,5.00 MiB,234 MiB,51.2 MiB,47.9 MiB,14.0 MiB,14.7 MiB,11.8 MiB
2025-05-13 02:05:00,4.67 MiB,5.47 MiB,8.31 MiB,5.48 MiB,20.3 MiB,5.31 MiB,134 MiB,52.0 MiB,47.5 MiB,14.7 MiB,14.2 MiB,14.7 MiB
2025-05-13 02:05:30,7.92 MiB,6.80 MiB,8.67 MiB,7.24 MiB,26.9 MiB,6.30 MiB,23.1 MiB,81.0 MiB,57.9 MiB,18.6 MiB,18.7 MiB,16.1 MiB
2025-05-13 02:06:00,8.16 MiB,7.44 MiB,13.0 MiB,8.51 MiB,29.0 MiB,8.69 MiB,9.17 MiB,87.6 MiB,78.2 MiB,19.7 MiB,18.3 MiB,19.0 MiB
2025-05-13 02:06:30,9.45 MiB,9.86 MiB,15.6 MiB,9.91 MiB,33.8 MiB,7.13 MiB,6.86 MiB,86.7 MiB,89.1 MiB,23.0 MiB,23.4 MiB,20.8 MiB
2025-05-13 02:07:00,6.76 MiB,7.13 MiB,16.4 MiB,8.05 MiB,31.1 MiB,7.45 MiB,7.56 MiB,78.3 MiB,87.4 MiB,23.4 MiB,22.5 MiB,22.7 MiB
2025-05-13 02:07:30,11.0 MiB,9.44 MiB,13.5 MiB,10.3 MiB,40.1 MiB,9.46 MiB,11.1 MiB,117 MiB,84.9 MiB,27.7 MiB,26.8 MiB,23.9 MiB
2025-05-13 02:08:00,10.6 MiB,13.9 MiB,18.1 MiB,10.5 MiB,43.6 MiB,10.2 MiB,9.90 MiB,105 MiB,119 MiB,32.1 MiB,31.4 MiB,29.4 MiB
2025-05-13 02:08:30,13.3 MiB,10.2 MiB,19.2 MiB,12.7 MiB,43.6 MiB,11.6 MiB,11.2 MiB,130 MiB,104 MiB,31.3 MiB,31.3 MiB,32.8 MiB
2025-05-13 02:09:00,12.8 MiB,12.5 MiB,20.8 MiB,12.0 MiB,47.6 MiB,10.6 MiB,14.3 MiB,130 MiB,126 MiB,32.5 MiB,31.5 MiB,30.9 MiB
2025-05-13 02:09:30,14.5 MiB,15.4 MiB,22.9 MiB,18.1 MiB,60.1 MiB,15.5 MiB,16.9 MiB,169 MiB,145 MiB,36.3 MiB,36.5 MiB,34.5 MiB
2025-05-13 02:10:00,13.7 MiB,13.5 MiB,26.3 MiB,14.1 MiB,55.1 MiB,11.7 MiB,13.9 MiB,140 MiB,161 MiB,36.7 MiB,35.8 MiB,35.7 MiB
2025-05-13 02:10:30,14.9 MiB,13.2 MiB,23.9 MiB,13.1 MiB,54.5 MiB,15.1 MiB,13.6 MiB,144 MiB,140 MiB,40.0 MiB,39.9 MiB,38.1 MiB
2025-05-13 02:11:00,14.0 MiB,13.0 MiB,20.2 MiB,15.4 MiB,53.7 MiB,14.8 MiB,12.8 MiB,142 MiB,145 MiB,40.6 MiB,39.5 MiB,39.7 MiB
2025-05-13 02:11:30,16.2 MiB,17.0 MiB,23.9 MiB,15.3 MiB,59.0 MiB,14.9 MiB,15.1 MiB,163 MiB,140 MiB,44.5 MiB,44.6 MiB,42.0 MiB
2025-05-13 02:12:00,16.1 MiB,16.1 MiB,25.5 MiB,15.3 MiB,60.6 MiB,14.1 MiB,177 MiB,155 MiB,162 MiB,44.9 MiB,43.7 MiB,44.7 MiB
2025-05-13 02:12:30,16.3 MiB,17.2 MiB,28.3 MiB,18.4 MiB,65.4 MiB,16.9 MiB,340 MiB,170 MiB,158 MiB,48.7 MiB,48.7 MiB,46.1 MiB
2025-05-13 02:13:00,16.7 MiB,16.3 MiB,28.9 MiB,16.4 MiB,65.2 MiB,16.2 MiB,76.8 MiB,170 MiB,179 MiB,49.1 MiB,47.8 MiB,48.7 MiB
2025-05-13 02:13:30,22.1 MiB,19.3 MiB,31.0 MiB,21.3 MiB,80.8 MiB,21.4 MiB,22.9 MiB,227 MiB,182 MiB,59.7 MiB,57.3 MiB,50.2 MiB
2025-05-13 02:14:00,20.9 MiB,22.8 MiB,33.9 MiB,20.7 MiB,86.3 MiB,19.7 MiB,18.8 MiB,198 MiB,230 MiB,66.9 MiB,65.3 MiB,66.4 MiB
2025-05-13 02:14:30,19.2 MiB,20.1 MiB,32.6 MiB,18.3 MiB,78.8 MiB,20.5 MiB,19.4 MiB,213 MiB,199 MiB,51.8 MiB,53.4 MiB,63.2 MiB
2025-05-13 02:15:00,17.2 MiB,21.0 MiB,38.6 MiB,19.9 MiB,82.3 MiB,19.3 MiB,22.4 MiB,187 MiB,218 MiB,62.1 MiB,60.2 MiB,52.9 MiB
2025-05-13 02:15:30,22.9 MiB,23.7 MiB,27.8 MiB,23.8 MiB,90.1 MiB,22.7 MiB,22.1 MiB,229 MiB,197 MiB,57.5 MiB,67.9 MiB,64.3 MiB
2025-05-13 02:16:00,19.9 MiB,23.1 MiB,14.8 MiB,22.9 MiB,84.8 MiB,20.1 MiB,21.6 MiB,188 MiB,217 MiB,58.9 MiB,57.3 MiB,58.4 MiB
2025-05-13 02:16:30,25.3 MiB,21.7 MiB,13.0 MiB,22.8 MiB,85.6 MiB,22.3 MiB,22.6 MiB,235 MiB,194 MiB,61.5 MiB,60.9 MiB,60.6 MiB
2025-05-13 02:17:00,24.4 MiB,25.4 MiB,33.1 MiB,23.1 MiB,95.7 MiB,25.3 MiB,24.9 MiB,257 MiB,245 MiB,61.0 MiB,64.1 MiB,63.0 MiB
2025-05-13 02:17:30,22.5 MiB,24.1 MiB,43.8 MiB,24.0 MiB,89.0 MiB,21.4 MiB,23.6 MiB,214 MiB,244 MiB,63.2 MiB,68.1 MiB,59.8 MiB
