"Time","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 02:00:00,4.97 KiB,4.95 KiB,5.28 KiB
2025-05-13 02:00:30,4.69 KiB,5.47 KiB,5.28 KiB
2025-05-13 02:01:00,4.58 KiB,18.6 KiB,6.38 KiB
2025-05-13 02:01:30,1.54 MiB,1.28 MiB,537 KiB
2025-05-13 02:02:00,2.37 MiB,1.97 MiB,1.96 MiB
2025-05-13 02:02:30,6.28 MiB,5.11 MiB,3.05 MiB
2025-05-13 02:03:00,6.09 MiB,6.57 MiB,6.17 MiB
2025-05-13 02:03:30,10.4 MiB,8.81 MiB,7.41 MiB
2025-05-13 02:04:00,12.1 MiB,11.8 MiB,10.5 MiB
2025-05-13 02:04:30,14.0 MiB,14.7 MiB,11.8 MiB
2025-05-13 02:05:00,14.7 MiB,14.2 MiB,14.7 MiB
2025-05-13 02:05:30,18.6 MiB,18.7 MiB,16.1 MiB
2025-05-13 02:06:00,19.7 MiB,18.3 MiB,19.0 MiB
2025-05-13 02:06:30,23.0 MiB,23.4 MiB,20.8 MiB
2025-05-13 02:07:00,23.4 MiB,22.5 MiB,22.7 MiB
2025-05-13 02:07:30,27.7 MiB,26.8 MiB,23.9 MiB
2025-05-13 02:08:00,32.1 MiB,31.4 MiB,29.4 MiB
2025-05-13 02:08:30,31.3 MiB,31.3 MiB,32.8 MiB
2025-05-13 02:09:00,32.5 MiB,31.5 MiB,30.9 MiB
2025-05-13 02:09:30,36.3 MiB,36.5 MiB,34.5 MiB
2025-05-13 02:10:00,36.7 MiB,35.8 MiB,35.7 MiB
2025-05-13 02:10:30,40.0 MiB,39.9 MiB,38.1 MiB
2025-05-13 02:11:00,40.6 MiB,39.5 MiB,39.7 MiB
2025-05-13 02:11:30,44.5 MiB,44.6 MiB,42.0 MiB
2025-05-13 02:12:00,44.9 MiB,43.7 MiB,44.7 MiB
2025-05-13 02:12:30,48.7 MiB,48.7 MiB,46.1 MiB
2025-05-13 02:13:00,49.1 MiB,47.8 MiB,48.7 MiB
2025-05-13 02:13:30,59.7 MiB,57.3 MiB,50.2 MiB
2025-05-13 02:14:00,66.9 MiB,65.3 MiB,66.4 MiB
2025-05-13 02:14:30,51.8 MiB,53.4 MiB,63.2 MiB
2025-05-13 02:15:00,62.1 MiB,60.2 MiB,52.9 MiB
2025-05-13 02:15:30,57.5 MiB,67.9 MiB,64.3 MiB
2025-05-13 02:16:00,58.9 MiB,57.3 MiB,58.4 MiB
2025-05-13 02:16:30,61.5 MiB,60.9 MiB,60.6 MiB
2025-05-13 02:17:00,61.0 MiB,64.1 MiB,63.0 MiB
2025-05-13 02:17:30,63.2 MiB,68.1 MiB,59.8 MiB
2025-05-13 02:18:00,68.0 MiB,59.8 MiB,66.8 MiB
2025-05-13 02:18:30,70.1 MiB,68.3 MiB,68.5 MiB
2025-05-13 02:19:00,71.9 MiB,72.3 MiB,70.3 MiB
2025-05-13 02:19:30,69.5 MiB,69.0 MiB,72.1 MiB
2025-05-13 02:20:00,67.9 MiB,68.2 MiB,67.6 MiB
2025-05-13 02:20:30,75.3 MiB,75.5 MiB,75.1 MiB
2025-05-13 02:21:00,74.6 MiB,74.9 MiB,75.1 MiB
2025-05-13 02:21:30,70.1 MiB,72.4 MiB,75.4 MiB
2025-05-13 02:22:00,75.3 MiB,73.0 MiB,69.7 MiB
2025-05-13 02:22:30,73.2 MiB,74.9 MiB,77.9 MiB
2025-05-13 02:23:00,79.8 MiB,74.1 MiB,74.2 MiB
2025-05-13 02:23:30,74.5 MiB,77.3 MiB,76.8 MiB
2025-05-13 02:24:00,77.8 MiB,74.5 MiB,75.7 MiB
2025-05-13 02:24:30,72.5 MiB,74.2 MiB,70.7 MiB
2025-05-13 02:25:00,88.7 MiB,75.9 MiB,79.3 MiB
2025-05-13 02:25:30,77.3 MiB,85.9 MiB,91.6 MiB
2025-05-13 02:26:00,81.1 MiB,77.2 MiB,76.4 MiB
2025-05-13 02:26:30,85.5 MiB,84.8 MiB,87.7 MiB
2025-05-13 02:27:00,86.4 MiB,84.0 MiB,86.7 MiB
2025-05-13 02:27:30,79.7 MiB,77.7 MiB,82.2 MiB
2025-05-13 02:28:00,81.0 MiB,90.4 MiB,81.6 MiB
2025-05-13 02:28:30,74.7 MiB,78.3 MiB,80.8 MiB
2025-05-13 02:29:00,83.6 MiB,78.8 MiB,82.2 MiB
2025-05-13 02:29:30,83.8 MiB,88.5 MiB,82.1 MiB
2025-05-13 02:30:00,83.1 MiB,81.9 MiB,84.1 MiB
2025-05-13 02:30:30,75.9 MiB,79.4 MiB,76.1 MiB
2025-05-13 02:31:00,80.5 MiB,84.0 MiB,83.4 MiB
2025-05-13 02:31:30,74.9 MiB,81.9 MiB,80.9 MiB
2025-05-13 02:32:00,81.5 MiB,80.5 MiB,78.2 MiB
2025-05-13 02:32:30,91.6 MiB,79.5 MiB,85.4 MiB
2025-05-13 02:33:00,83.4 MiB,86.2 MiB,87.0 MiB
2025-05-13 02:33:30,79.3 MiB,81.1 MiB,86.0 MiB
2025-05-13 02:34:00,80.5 MiB,81.8 MiB,83.2 MiB
2025-05-13 02:34:30,80.2 MiB,80.1 MiB,79.7 MiB
2025-05-13 02:35:00,77.8 MiB,81.9 MiB,83.4 MiB
2025-05-13 02:35:30,80.3 MiB,84.1 MiB,78.7 MiB
2025-05-13 02:36:00,85.2 MiB,88.3 MiB,88.4 MiB
2025-05-13 02:36:30,91.2 MiB,79.7 MiB,90.4 MiB
2025-05-13 02:37:00,86.6 MiB,82.4 MiB,87.7 MiB
2025-05-13 02:37:30,85.7 MiB,81.1 MiB,88.9 MiB
2025-05-13 02:38:00,76.8 MiB,79.3 MiB,84.7 MiB
2025-05-13 02:38:30,84.3 MiB,78.9 MiB,80.5 MiB
2025-05-13 02:39:00,75.0 MiB,77.8 MiB,78.2 MiB
2025-05-13 02:39:30,101 MiB,90.7 MiB,84.9 MiB
2025-05-13 02:40:00,84.5 MiB,88.6 MiB,96.2 MiB
2025-05-13 02:40:30,90.5 MiB,90.4 MiB,88.8 MiB
2025-05-13 02:41:00,86.0 MiB,93.3 MiB,92.6 MiB
2025-05-13 02:41:30,89.1 MiB,81.8 MiB,88.6 MiB
2025-05-13 02:42:00,82.4 MiB,93.1 MiB,89.3 MiB
2025-05-13 02:42:30,85.4 MiB,87.1 MiB,85.7 MiB
2025-05-13 02:43:00,93.7 MiB,86.5 MiB,93.5 MiB
2025-05-13 02:43:30,84.9 MiB,90.5 MiB,94.8 MiB
2025-05-13 02:44:00,83.2 MiB,89.7 MiB,87.0 MiB
2025-05-13 02:44:30,89.4 MiB,87.3 MiB,89.4 MiB
2025-05-13 02:45:00,87.7 MiB,88.7 MiB,93.3 MiB
