"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 09:40:00,0.0617,0.0667,0.0433,0.103,0.0933,0.0453,0.0543,0.172,0.149,0.0890,0.0743,0.0540,0.0527,0.108
2025-05-13 09:40:30,0.0880,0.0673,0.0423,0.0910,0.0790,0.0433,0.0513,0.163,0.147,0.109,0.0677,0.0113,0.0277,0.0320
2025-05-13 09:41:00,0.0970,0.0823,0.0547,0.127,0.115,0.0593,0.0647,0.250,0.183,0.126,0.104,0.0557,0.0440,0.0270
2025-05-13 09:41:30,0.129,0.106,0.0697,0.151,0.131,0.0720,0.0813,0.252,0.173,0.174,0.104,0.0980,0.0833,0.103
2025-05-13 09:42:00,0.237,0.156,0.0850,0.208,0.184,0.107,0.0877,0.388,0.258,0.345,0.189,0.320,0.188,0.125
2025-05-13 09:42:30,0.328,0.291,0.188,0.434,0.339,0.204,0.180,0.679,0.395,0.462,0.293,0.438,0.399,0.396
2025-05-13 09:43:00,0.360,0.308,0.240,0.471,0.387,0.248,0.193,0.832,0.423,0.578,0.282,0.543,0.443,0.412
2025-05-13 09:43:30,0.479,0.352,0.256,0.535,0.456,0.281,0.259,1.10,0.471,0.757,0.400,0.599,0.555,0.605
2025-05-13 09:44:00,0.602,0.475,0.409,0.787,0.618,0.392,0.347,1.42,0.649,0.804,0.489,0.865,0.733,0.654
2025-05-13 09:44:30,0.648,0.454,0.397,0.808,0.586,0.536,0.345,1.29,0.661,0.900,0.561,1.07,0.888,0.957
2025-05-13 09:45:00,0.576,0.444,0.463,0.943,0.671,0.444,0.426,1.61,0.669,1.07,0.495,0.846,0.930,0.915
2025-05-13 09:45:30,0.607,0.450,0.352,0.866,0.727,0.452,0.334,1.93,0.617,1.27,0.474,0.828,0.686,0.800
2025-05-13 09:46:00,0.708,0.529,0.506,0.919,0.657,0.507,0.502,2.19,0.731,1.22,0.604,0.999,0.942,0.915
2025-05-13 09:46:30,0.650,0.470,0.429,0.951,0.685,0.434,0.345,1.95,0.604,1.28,0.446,1.06,0.867,0.980
2025-05-13 09:47:00,1.28,0.860,0.751,1.58,1.18,1.00,0.652,2.51,1.01,1.57,0.957,1.50,1.75,1.26
2025-05-13 09:47:30,1.24,0.926,0.812,1.75,1.62,0.827,0.907,2.48,1.22,1.53,0.833,1.80,1.56,1.79
2025-05-13 09:48:00,0.783,0.496,0.511,1.26,0.864,0.746,0.601,2.45,0.932,1.52,0.705,1.19,1.30,1.79
2025-05-13 09:48:30,0.920,0.555,0.694,1.30,1.04,0.492,0.501,2.56,0.777,1.67,0.564,1.16,1.29,1.12
2025-05-13 09:49:00,1.13,0.933,0.739,1.46,1.12,0.668,0.692,2.92,1.000,1.87,0.809,1.31,1.19,1.29
2025-05-13 09:49:30,0.829,0.547,0.500,1.17,0.851,0.845,0.652,2.77,0.841,1.79,0.603,1.35,1.22,1.52
2025-05-13 09:50:00,0.887,0.577,0.578,1.60,0.936,0.689,0.521,2.87,1.05,1.76,0.807,1.53,1.46,1.50
