"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 09:40:00,2.93 GiB,2.89 GiB,3.03 GiB,2.90 GiB,3.00 GiB,2.94 GiB,2.95 GiB,3.43 GiB,3.64 GiB,3.18 GiB,2.95 GiB,818 MiB,873 MiB,1.24 GiB
2025-05-13 09:40:30,2.93 GiB,2.89 GiB,3.03 GiB,2.90 GiB,3.01 GiB,2.94 GiB,2.95 GiB,3.43 GiB,3.65 GiB,3.18 GiB,2.94 GiB,819 MiB,873 MiB,1.25 GiB
2025-05-13 09:41:00,2.93 GiB,2.89 GiB,3.03 GiB,2.90 GiB,3.01 GiB,2.94 GiB,2.95 GiB,3.43 GiB,3.66 GiB,3.19 GiB,2.95 GiB,875 MiB,903 MiB,1.25 GiB
2025-05-13 09:41:30,2.98 GiB,2.93 GiB,3.06 GiB,2.93 GiB,3.05 GiB,2.98 GiB,2.97 GiB,3.26 GiB,3.70 GiB,3.20 GiB,2.97 GiB,992 MiB,1023 MiB,1.37 GiB
2025-05-13 09:42:00,3.23 GiB,3.08 GiB,3.18 GiB,3.05 GiB,3.18 GiB,3.11 GiB,3.05 GiB,3.27 GiB,3.86 GiB,3.22 GiB,3.17 GiB,1.55 GiB,1.35 GiB,1.52 GiB
2025-05-13 09:42:30,3.56 GiB,3.39 GiB,3.50 GiB,3.40 GiB,3.50 GiB,3.45 GiB,3.34 GiB,3.27 GiB,4.18 GiB,3.23 GiB,3.54 GiB,2.32 GiB,2.12 GiB,2.18 GiB
2025-05-13 09:43:00,3.84 GiB,3.76 GiB,3.85 GiB,3.70 GiB,3.80 GiB,3.73 GiB,3.71 GiB,3.28 GiB,4.51 GiB,3.22 GiB,3.86 GiB,3.18 GiB,3.07 GiB,2.83 GiB
2025-05-13 09:43:30,4.26 GiB,4.15 GiB,4.16 GiB,4.13 GiB,4.17 GiB,4.03 GiB,3.97 GiB,3.29 GiB,4.86 GiB,3.23 GiB,4.26 GiB,3.87 GiB,3.89 GiB,3.64 GiB
2025-05-13 09:44:00,4.81 GiB,4.80 GiB,4.72 GiB,4.61 GiB,4.69 GiB,4.75 GiB,4.59 GiB,3.28 GiB,5.49 GiB,3.25 GiB,4.94 GiB,5.65 GiB,5.26 GiB,4.61 GiB
2025-05-13 09:44:30,5.43 GiB,5.44 GiB,5.26 GiB,5.36 GiB,5.36 GiB,5.35 GiB,4.96 GiB,3.31 GiB,6.15 GiB,3.28 GiB,5.62 GiB,7.33 GiB,6.49 GiB,6.37 GiB
