"Time","prom-ring-metamonitoring-8b625-qgvl5","prom-ring-mimir-c9v8w-49rdv","prom-ring-mimir-c9v8w-5jgfl","prom-ring-mimir-c9v8w-68tx8","prom-ring-mimir-c9v8w-7bzlr","prom-ring-mimir-c9v8w-8g5px","prom-ring-mimir-c9v8w-8zwl2","prom-ring-mimir-c9v8w-9x2nw","prom-ring-mimir-c9v8w-ckkk8","prom-ring-mimir-c9v8w-dfslj","prom-ring-mimir-c9v8w-fgspk","prom-ring-mimir-c9v8w-pgnn8","prom-ring-mimir-c9v8w-qm9s5"
2025-05-13 09:40:00,0.116,0.0540,0.0421,0.0219,0.0566,0.0385,0.0338,0.0362,0.0236,0.0232,0.0219,0.116,0.0501
2025-05-13 09:40:30,0.0984,0.0573,0.0406,0.0238,0.0631,0.0454,0.0435,0.0389,0.0246,0.0199,0.0238,0.0984,0.0592
2025-05-13 09:41:00,0.201,0.101,0.0906,0.0479,0.119,0.0874,0.0750,0.0728,0.0487,0.0484,0.0479,0.201,0.114
2025-05-13 09:41:30,0.284,0.139,0.141,0.0747,0.168,0.142,0.109,0.120,0.0818,0.0705,0.0747,0.284,0.183
2025-05-13 09:42:00,0.671,0.280,0.309,0.166,0.313,0.265,0.234,0.273,0.229,0.143,0.166,0.671,0.322
2025-05-13 09:42:30,1.19,0.570,0.667,0.324,0.793,0.622,0.534,0.527,0.458,0.374,0.324,1.19,0.768
2025-05-13 09:43:00,1.52,0.651,0.768,0.400,0.829,0.695,0.563,0.525,0.495,0.428,0.400,1.52,0.949
2025-05-13 09:43:30,2.06,0.850,1.000,0.455,1.11,0.789,0.775,0.634,0.596,0.537,0.455,2.06,1.40
2025-05-13 09:44:00,2.70,1.02,1.31,0.619,1.52,1.20,1.06,0.976,0.871,0.726,0.619,2.70,1.57
2025-05-13 09:44:30,2.86,1.19,1.54,0.729,1.70,1.28,1.25,1.06,1.26,0.797,0.729,2.86,1.79
2025-05-13 09:45:00,3.36,1.19,1.59,0.771,1.82,1.30,1.16,1.02,1.24,0.956,0.771,3.36,1.87
2025-05-13 09:45:30,4.23,1.21,1.53,0.876,1.94,1.35,0.978,0.904,0.991,0.832,0.876,4.23,2.53
2025-05-13 09:46:00,4.30,1.32,1.52,0.936,2.16,1.55,1.20,1.07,1.10,1.04,0.936,4.30,2.66
2025-05-13 09:46:30,4.43,1.19,1.65,0.957,2.05,1.33,1.04,1.03,1.01,0.922,0.957,4.43,2.66
2025-05-13 09:47:00,5.18,1.88,2.78,1.64,3.10,2.29,1.74,1.60,1.91,1.56,1.64,5.18,3.27
2025-05-13 09:47:30,5.42,2.32,3.20,1.68,3.67,2.67,1.93,1.84,2.46,1.63,1.68,5.42,3.38
2025-05-13 09:48:00,5.48,1.95,2.17,1.23,2.82,2.04,1.56,1.41,1.71,1.09,1.23,5.48,3.15
2025-05-13 09:48:30,4.80,1.89,2.18,1.27,2.82,1.98,1.27,1.21,1.13,1.34,1.27,4.80,3.49
2025-05-13 09:49:00,6.16,1.88,2.47,1.55,3.04,2.19,1.59,1.78,1.60,1.44,1.55,6.16,3.20
2025-05-13 09:49:30,6.28,1.67,2.29,1.34,2.59,2.19,1.61,1.24,2.02,1.20,1.34,6.28,3.84
2025-05-13 09:50:00,6.30,2.09,2.12,1.07,3.20,2.00,1.59,1.31,1.49,1.10,1.07,6.30,3.89
2025-05-13 09:50:30,6.08,1.91,2.38,1.08,2.61,2.18,1.12,1.53,1.28,1.44,1.08,6.08,3.69
2025-05-13 09:51:00,6.31,2.08,2.72,1.57,3.12,2.19,1.61,1.44,1.75,1.55,1.57,6.31,3.53
2025-05-13 09:51:30,6.11,1.82,2.32,1.36,2.70,2.45,1.64,1.30,1.67,1.27,1.36,6.11,3.93
2025-05-13 09:52:00,7.01,2.20,2.19,1.21,3.57,2.28,1.71,1.65,1.80,1.21,1.21,7.01,4.16
2025-05-13 09:52:30,7.30,2.63,3.93,1.83,4.00,3.11,2.50,2.32,2.50,2.35,1.83,7.30,4.69
2025-05-13 09:53:00,7.98,3.64,4.66,2.55,5.42,4.02,2.78,2.66,3.27,2.61,2.55,7.98,5.38
2025-05-13 09:53:30,7.80,3.00,3.53,1.96,5.00,3.55,2.22,1.66,3.00,2.03,1.96,7.80,5.00
2025-05-13 09:54:00,8.24,2.79,4.02,2.54,4.30,3.21,1.91,2.62,2.54,2.48,2.54,8.24,5.42
2025-05-13 09:54:30,8.05,2.80,3.29,2.49,4.31,3.16,2.19,2.43,2.17,2.04,2.49,8.05,5.00
2025-05-13 09:55:00,8.02,2.78,2.81,1.47,4.12,2.58,2.12,1.47,2.10,1.42,1.47,8.02,5.24
2025-05-13 09:55:30,8.60,2.79,3.54,1.64,3.27,2.87,1.93,1.67,2.47,1.57,1.64,8.60,5.22
2025-05-13 09:56:00,8.25,2.77,2.48,2.19,4.45,3.02,1.64,1.75,2.25,2.09,2.19,8.25,5.20
2025-05-13 09:56:30,8.33,2.87,3.59,2.32,3.95,3.33,2.10,2.51,1.76,2.69,2.32,8.33,5.38
2025-05-13 09:57:00,8.68,3.20,3.15,1.48,4.94,2.93,2.73,1.68,2.59,1.86,1.48,8.68,5.77
2025-05-13 09:57:30,8.87,2.60,3.69,1.67,3.84,3.29,2.28,1.67,2.79,1.59,1.67,8.87,4.50
2025-05-13 09:58:00,8.74,2.59,3.36,2.01,4.06,3.38,1.74,1.81,2.64,2.13,2.01,8.74,6.03
2025-05-13 09:58:30,8.47,3.03,3.57,2.91,3.79,3.36,1.94,2.92,1.70,2.46,2.91,8.47,5.86
2025-05-13 09:59:00,9.06,2.69,3.65,1.77,4.22,3.41,2.53,2.47,1.80,2.25,1.77,9.06,6.15
2025-05-13 09:59:30,8.14,3.24,3.04,1.73,4.95,2.84,2.55,1.79,2.63,1.75,1.73,8.14,5.71
2025-05-13 10:00:00,8.76,2.48,3.92,1.80,4.09,3.36,2.06,1.80,2.79,2.11,1.80,8.76,5.96
2025-05-13 10:00:30,9.47,2.99,3.25,2.92,5.34,3.61,1.91,2.85,2.15,3.07,2.92,9.47,5.94
2025-05-13 10:01:00,9.24,3.17,4.10,3.11,4.63,3.96,2.66,3.28,2.05,2.60,3.11,9.24,6.39
2025-05-13 10:01:30,9.43,3.38,3.36,1.71,5.41,3.01,3.15,1.75,2.82,1.75,1.71,9.43,6.44
2025-05-13 10:02:00,9.15,2.33,3.53,1.71,5.05,2.96,2.20,1.81,2.73,1.65,1.71,9.15,6.00
2025-05-13 10:02:30,10.0,2.88,3.91,2.03,5.16,3.51,2.31,2.28,2.65,2.44,2.03,10.0,6.56
2025-05-13 10:03:00,10.2,3.13,3.79,3.66,5.96,3.90,2.78,3.59,2.44,3.40,3.66,10.2,6.50
2025-05-13 10:03:30,10.1,3.34,5.47,2.39,4.85,4.18,4.42,3.02,3.48,3.04,2.39,10.1,7.07
2025-05-13 10:04:00,9.35,3.09,3.76,2.12,5.45,3.34,2.69,2.19,3.80,2.18,2.12,9.35,7.07
2025-05-13 10:04:30,10.1,2.85,4.92,2.23,5.67,4.21,2.19,2.16,2.98,2.05,2.23,10.1,6.81
2025-05-13 10:05:00,10.4,3.70,3.97,3.63,5.84,4.11,2.44,3.52,2.42,3.26,3.63,10.4,7.64
2025-05-13 10:05:30,9.38,2.98,4.92,4.04,5.31,4.53,3.50,3.99,2.36,3.12,4.04,9.38,7.59
2025-05-13 10:06:00,10.4,3.47,3.79,1.73,4.45,3.77,4.54,2.27,3.14,2.39,1.73,10.4,7.34
2025-05-13 10:06:30,9.24,2.38,3.24,1.83,3.73,3.34,1.97,1.86,3.46,1.88,1.83,9.24,6.94
2025-05-13 10:07:00,10.7,2.74,4.70,1.72,4.24,3.97,1.88,1.83,2.62,2.19,1.72,10.7,6.16
2025-05-13 10:07:30,12.0,3.94,4.67,4.90,,4.57,2.63,4.21,2.51,3.53,4.90,12.0,7.63
2025-05-13 10:08:00,9.57,2.88,4.58,3.42,,4.50,4.11,5.03,2.07,3.20,3.42,9.57,6.70
2025-05-13 10:08:30,6.93,2.40,2.08,1.01,,1.61,5.29,4.55,2.03,1.33,1.01,6.93,4.51
2025-05-13 10:09:00,9.17,1.20,1.86,0.931,,2.53,3.95,4.37,2.23,1.07,0.931,9.17,5.03
2025-05-13 10:09:30,12.7,1.69,3.06,1.41,,2.37,3.89,1.71,1.71,2.12,1.41,12.7,4.80
2025-05-13 10:10:00,11.9,1.80,1.94,3.13,,1.79,3.32,3.47,0.902,2.42,3.13,11.9,3.98
2025-05-13 10:10:30,11.9,2.65,4.06,2.58,4.94,3.60,5.30,5.16,2.72,3.08,2.58,11.9,7.45
2025-05-13 10:11:00,12.5,3.92,3.87,2.24,5.61,4.09,5.30,2.86,3.99,2.26,2.24,12.5,9.51
2025-05-13 10:11:30,12.9,3.03,4.39,2.36,5.50,4.59,2.63,2.52,3.44,2.40,2.36,12.9,9.45
2025-05-13 10:12:00,12.0,3.59,4.64,2.39,4.32,3.34,2.02,2.18,2.25,3.13,2.39,12.0,8.47
2025-05-13 10:12:30,11.8,3.61,3.36,3.88,5.25,3.91,2.18,3.07,1.93,3.59,3.88,11.8,6.89
2025-05-13 10:13:00,7.97,1.77,2.73,1.37,5.81,2.33,2.91,5.63,1.73,2.17,1.37,7.97,4.52
2025-05-13 10:13:30,5.55,1.56,0.953,0.205,7.53,0.949,2.57,5.30,2.00,0.345,0.205,5.55,2.61
2025-05-13 10:14:00,6.08,0.393,0.874,0.173,6.58,1.49,0.425,5.19,1.74,0.388,0.173,6.08,2.34
2025-05-13 10:14:30,11.2,2.67,4.66,2.68,7.37,2.48,1.48,2.05,1.87,2.36,2.68,11.2,6.35
2025-05-13 10:15:00,13.4,2.86,4.36,4.74,6.06,4.51,2.35,3.74,2.34,3.72,4.74,13.4,9.05
2025-05-13 10:15:30,13.2,3.58,5.46,2.64,6.01,4.77,4.37,3.97,3.18,3.53,2.64,13.2,8.97
2025-05-13 10:16:00,10.7,3.06,3.42,1.79,5.31,3.74,3.89,3.11,2.87,1.89,1.79,10.7,7.65
2025-05-13 10:16:30,11.4,2.80,3.63,1.80,4.06,3.80,1.98,1.94,3.43,2.16,1.80,11.4,7.74
2025-05-13 10:17:00,12.5,3.45,4.76,3.17,2.59,3.04,2.16,2.02,2.39,3.80,3.17,12.5,6.76
2025-05-13 10:17:30,9.72,2.18,2.52,3.87,2.09,3.09,1.51,2.76,1.42,5.08,3.87,9.72,5.93
2025-05-13 10:18:00,10.4,3.14,3.82,1.57,5.14,2.91,3.74,3.21,2.66,4.70,1.57,10.4,5.95
2025-05-13 10:18:30,10.5,2.52,2.46,1.41,8.42,3.21,3.50,2.14,3.08,4.69,1.41,10.5,5.95
2025-05-13 10:19:00,10.5,2.46,3.16,1.42,9.01,2.45,1.51,1.51,2.55,5.14,1.42,10.5,6.20
2025-05-13 10:19:30,9.60,2.96,3.64,2.97,6.77,2.02,1.51,1.69,1.42,5.47,2.97,9.60,5.92
2025-05-13 10:20:00,11.4,2.42,3.87,3.59,6.46,4.33,2.17,3.62,2.10,4.64,3.59,11.4,7.99
2025-05-13 10:20:30,11.9,3.65,4.73,1.91,4.99,4.19,3.65,3.44,3.16,5.07,1.91,11.9,7.57
2025-05-13 10:21:00,9.60,2.38,2.71,1.38,4.26,3.55,4.72,1.94,2.86,4.44,1.38,9.60,5.97
2025-05-13 10:21:30,9.74,2.91,2.70,1.88,4.02,2.78,3.84,1.69,2.37,3.49,1.88,9.74,6.80
2025-05-13 10:22:00,11.1,2.69,3.95,3.79,4.61,2.54,4.03,1.92,1.50,5.64,3.79,11.1,6.40
2025-05-13 10:22:30,11.6,2.30,3.00,3.32,7.56,3.68,4.20,3.21,1.57,5.98,3.32,11.6,6.69
2025-05-13 10:23:00,12.4,3.30,3.76,1.44,8.85,3.93,5.82,3.04,2.81,5.53,1.44,12.4,6.05
2025-05-13 10:23:30,14.2,3.06,2.57,1.63,7.75,3.61,6.51,2.22,4.11,4.56,1.63,14.2,6.69
2025-05-13 10:24:00,13.5,3.32,3.17,1.53,6.65,2.68,4.93,1.73,2.48,4.43,1.53,13.5,7.15
2025-05-13 10:24:30,12.3,3.50,4.85,3.92,4.75,2.98,5.07,2.00,2.07,5.55,3.92,12.3,7.25
2025-05-13 10:25:00,11.7,2.67,3.89,3.66,1.63,4.25,5.13,3.45,2.01,6.27,3.66,11.7,7.08
