"Time","prom-ring-metamonitoring-8b625-qgvl5","prom-ring-mimir-c9v8w-49rdv","prom-ring-mimir-c9v8w-5jgfl","prom-ring-mimir-c9v8w-68tx8","prom-ring-mimir-c9v8w-7bzlr","prom-ring-mimir-c9v8w-8g5px","prom-ring-mimir-c9v8w-8zwl2","prom-ring-mimir-c9v8w-9x2nw","prom-ring-mimir-c9v8w-ckkk8","prom-ring-mimir-c9v8w-dfslj","prom-ring-mimir-c9v8w-fgspk","prom-ring-mimir-c9v8w-pgnn8","prom-ring-mimir-c9v8w-qm9s5"
2025-05-13 09:40:00,269 MiB,44.5 MiB,43.1 MiB,44.6 MiB,46.0 MiB,46.7 MiB,44.8 MiB,43.5 MiB,44.6 MiB,43.9 MiB,44.6 MiB,269 MiB,57.1 MiB
2025-05-13 09:40:30,269 MiB,46.5 MiB,43.6 MiB,44.5 MiB,45.7 MiB,42.9 MiB,43.0 MiB,43.3 MiB,44.6 MiB,44.1 MiB,44.5 MiB,269 MiB,56.6 MiB
2025-05-13 09:41:00,269 MiB,50.5 MiB,50.9 MiB,50.1 MiB,51.5 MiB,49.8 MiB,49.3 MiB,56.7 MiB,48.7 MiB,51.5 MiB,50.1 MiB,269 MiB,56.8 MiB
2025-05-13 09:41:30,79.9 MiB,85.5 MiB,78.2 MiB,72.3 MiB,81.6 MiB,77.5 MiB,76.6 MiB,84.3 MiB,71.4 MiB,77.7 MiB,72.3 MiB,79.9 MiB,79.6 MiB
2025-05-13 09:42:00,102 MiB,196 MiB,185 MiB,205 MiB,138 MiB,152 MiB,201 MiB,193 MiB,190 MiB,166 MiB,205 MiB,102 MiB,101 MiB
2025-05-13 09:42:30,104 MiB,341 MiB,338 MiB,326 MiB,334 MiB,374 MiB,342 MiB,328 MiB,346 MiB,333 MiB,326 MiB,104 MiB,104 MiB
2025-05-13 09:43:00,107 MiB,473 MiB,447 MiB,442 MiB,486 MiB,515 MiB,502 MiB,457 MiB,473 MiB,462 MiB,442 MiB,107 MiB,105 MiB
2025-05-13 09:43:30,108 MiB,711 MiB,631 MiB,649 MiB,723 MiB,715 MiB,673 MiB,664 MiB,650 MiB,668 MiB,649 MiB,108 MiB,107 MiB
2025-05-13 09:44:00,118 MiB,900 MiB,822 MiB,848 MiB,887 MiB,963 MiB,1.01 GiB,982 MiB,903 MiB,940 MiB,848 MiB,118 MiB,119 MiB
2025-05-13 09:44:30,164 MiB,1.27 GiB,1.20 GiB,1.24 GiB,1.23 GiB,1.31 GiB,1.27 GiB,1.27 GiB,1.21 GiB,1.16 GiB,1.24 GiB,164 MiB,142 MiB
2025-05-13 09:45:00,131 MiB,1.42 GiB,1.42 GiB,1.32 GiB,1.48 GiB,1.38 GiB,1.37 GiB,1.34 GiB,1.56 GiB,1.37 GiB,1.32 GiB,131 MiB,122 MiB
2025-05-13 09:45:30,126 MiB,1.63 GiB,1.52 GiB,1.62 GiB,1.68 GiB,1.83 GiB,1.68 GiB,1.84 GiB,1.79 GiB,1.62 GiB,1.62 GiB,126 MiB,116 MiB
2025-05-13 09:46:00,124 MiB,1.80 GiB,1.74 GiB,1.64 GiB,2.03 GiB,1.85 GiB,1.88 GiB,1.99 GiB,1.88 GiB,1.90 GiB,1.64 GiB,124 MiB,121 MiB
2025-05-13 09:46:30,129 MiB,2.02 GiB,2.08 GiB,1.99 GiB,2.04 GiB,2.20 GiB,2.09 GiB,2.01 GiB,1.90 GiB,1.91 GiB,1.99 GiB,129 MiB,123 MiB
2025-05-13 09:47:00,249 MiB,2.62 GiB,2.65 GiB,2.73 GiB,2.64 GiB,2.69 GiB,2.57 GiB,2.65 GiB,2.57 GiB,2.64 GiB,2.73 GiB,249 MiB,352 MiB
2025-05-13 09:47:30,155 MiB,2.94 GiB,2.88 GiB,2.82 GiB,3.44 GiB,3.10 GiB,3.28 GiB,2.89 GiB,3.16 GiB,3.10 GiB,2.82 GiB,155 MiB,139 MiB
2025-05-13 09:48:00,150 MiB,3.26 GiB,3.28 GiB,3.24 GiB,3.69 GiB,3.12 GiB,3.36 GiB,3.02 GiB,3.16 GiB,3.49 GiB,3.24 GiB,150 MiB,136 MiB
2025-05-13 09:48:30,145 MiB,3.60 GiB,3.70 GiB,3.72 GiB,3.70 GiB,3.38 GiB,3.48 GiB,3.44 GiB,3.18 GiB,3.62 GiB,3.72 GiB,145 MiB,139 MiB
2025-05-13 09:49:00,140 MiB,3.63 GiB,3.95 GiB,3.73 GiB,3.72 GiB,4.09 GiB,3.91 GiB,3.61 GiB,3.77 GiB,3.75 GiB,3.73 GiB,140 MiB,142 MiB
2025-05-13 09:49:30,140 MiB,4.20 GiB,3.96 GiB,3.74 GiB,4.40 GiB,4.16 GiB,4.21 GiB,3.63 GiB,4.09 GiB,3.76 GiB,3.74 GiB,140 MiB,134 MiB
2025-05-13 09:50:00,139 MiB,4.48 GiB,4.15 GiB,4.10 GiB,4.50 GiB,4.18 GiB,4.43 GiB,4.02 GiB,4.09 GiB,4.20 GiB,4.10 GiB,139 MiB,136 MiB
2025-05-13 09:50:30,136 MiB,4.51 GiB,4.52 GiB,4.71 GiB,4.53 GiB,4.29 GiB,4.46 GiB,4.29 GiB,4.22 GiB,4.46 GiB,4.71 GiB,136 MiB,141 MiB
2025-05-13 09:51:00,142 MiB,4.54 GiB,4.55 GiB,4.86 GiB,4.64 GiB,5.08 GiB,4.88 GiB,4.53 GiB,4.40 GiB,4.80 GiB,4.86 GiB,142 MiB,132 MiB
2025-05-13 09:51:30,140 MiB,4.93 GiB,4.56 GiB,4.89 GiB,5.06 GiB,5.27 GiB,4.91 GiB,4.55 GiB,4.88 GiB,4.83 GiB,4.89 GiB,140 MiB,135 MiB
2025-05-13 09:52:00,146 MiB,5.53 GiB,4.84 GiB,4.91 GiB,5.71 GiB,5.65 GiB,5.26 GiB,4.74 GiB,4.93 GiB,4.84 GiB,4.91 GiB,146 MiB,139 MiB
2025-05-13 09:52:30,845 MiB,5.98 GiB,5.78 GiB,5.96 GiB,5.95 GiB,5.96 GiB,6.05 GiB,5.72 GiB,5.64 GiB,5.94 GiB,5.96 GiB,845 MiB,834 MiB
2025-05-13 09:53:00,387 MiB,6.55 GiB,5.87 GiB,6.15 GiB,6.43 GiB,6.44 GiB,6.31 GiB,5.78 GiB,6.11 GiB,6.09 GiB,6.15 GiB,387 MiB,681 MiB
2025-05-13 09:53:30,213 MiB,6.58 GiB,6.53 GiB,7.32 GiB,6.87 GiB,6.58 GiB,6.66 GiB,6.79 GiB,6.88 GiB,7.02 GiB,7.32 GiB,213 MiB,168 MiB
2025-05-13 09:54:00,184 MiB,6.71 GiB,7.58 GiB,7.89 GiB,7.11 GiB,7.44 GiB,7.84 GiB,7.25 GiB,6.91 GiB,7.82 GiB,7.89 GiB,184 MiB,167 MiB
2025-05-13 09:54:30,168 MiB,7.45 GiB,7.59 GiB,7.90 GiB,7.83 GiB,7.74 GiB,8.07 GiB,7.27 GiB,7.56 GiB,7.84 GiB,7.90 GiB,168 MiB,171 MiB
2025-05-13 09:55:00,207 MiB,7.88 GiB,7.60 GiB,7.91 GiB,7.84 GiB,7.74 GiB,8.07 GiB,7.28 GiB,7.57 GiB,7.84 GiB,7.91 GiB,207 MiB,160 MiB
2025-05-13 09:55:30,186 MiB,7.88 GiB,7.61 GiB,7.94 GiB,7.84 GiB,7.76 GiB,8.08 GiB,7.34 GiB,7.69 GiB,7.86 GiB,7.94 GiB,186 MiB,170 MiB
2025-05-13 09:56:00,177 MiB,7.90 GiB,7.62 GiB,8.28 GiB,8.15 GiB,8.27 GiB,8.12 GiB,8.00 GiB,7.71 GiB,7.88 GiB,8.28 GiB,177 MiB,157 MiB
2025-05-13 09:56:30,198 MiB,8.32 GiB,7.87 GiB,8.29 GiB,8.88 GiB,8.74 GiB,8.34 GiB,8.25 GiB,7.78 GiB,8.18 GiB,8.29 GiB,198 MiB,164 MiB
2025-05-13 09:57:00,186 MiB,8.93 GiB,7.90 GiB,8.30 GiB,9.29 GiB,8.74 GiB,8.51 GiB,8.26 GiB,8.30 GiB,8.19 GiB,8.30 GiB,186 MiB,168 MiB
2025-05-13 09:57:30,202 MiB,8.93 GiB,8.48 GiB,8.32 GiB,9.30 GiB,8.76 GiB,8.52 GiB,8.29 GiB,8.78 GiB,8.20 GiB,8.32 GiB,202 MiB,154 MiB
2025-05-13 09:58:00,182 MiB,8.96 GiB,8.49 GiB,9.14 GiB,9.35 GiB,8.95 GiB,8.53 GiB,8.58 GiB,8.78 GiB,8.63 GiB,9.14 GiB,182 MiB,160 MiB
2025-05-13 09:58:30,199 MiB,9.02 GiB,8.88 GiB,9.29 GiB,9.54 GiB,10.00 GiB,9.11 GiB,9.39 GiB,8.80 GiB,9.17 GiB,9.29 GiB,199 MiB,168 MiB
2025-05-13 09:59:00,186 MiB,9.87 GiB,8.88 GiB,9.33 GiB,10.4 GiB,10.0 GiB,9.40 GiB,9.42 GiB,8.88 GiB,9.18 GiB,9.33 GiB,186 MiB,160 MiB
2025-05-13 09:59:30,196 MiB,10.1 GiB,9.02 GiB,9.36 GiB,10.8 GiB,10.0 GiB,9.55 GiB,9.47 GiB,9.32 GiB,9.22 GiB,9.36 GiB,196 MiB,167 MiB
2025-05-13 10:00:00,200 MiB,10.1 GiB,9.55 GiB,9.75 GiB,10.8 GiB,10.0 GiB,9.55 GiB,9.49 GiB,9.90 GiB,9.28 GiB,9.75 GiB,200 MiB,170 MiB
2025-05-13 10:00:30,190 MiB,10.2 GiB,9.57 GiB,10.5 GiB,11.2 GiB,11.2 GiB,9.74 GiB,10.2 GiB,9.91 GiB,9.98 GiB,10.5 GiB,190 MiB,179 MiB
2025-05-13 10:01:00,885 MiB,11.3 GiB,9.79 GiB,10.5 GiB,11.7 GiB,11.8 GiB,10.4 GiB,10.5 GiB,9.93 GiB,10.2 GiB,10.5 GiB,885 MiB,771 MiB
2025-05-13 10:01:30,446 MiB,11.7 GiB,9.80 GiB,10.8 GiB,13.2 GiB,12.3 GiB,10.5 GiB,10.5 GiB,10.1 GiB,10.2 GiB,10.8 GiB,446 MiB,440 MiB
2025-05-13 10:02:00,225 MiB,11.8 GiB,10.2 GiB,11.2 GiB,13.3 GiB,12.4 GiB,11.1 GiB,11.0 GiB,10.9 GiB,10.2 GiB,11.2 GiB,225 MiB,204 MiB
2025-05-13 10:02:30,232 MiB,11.9 GiB,10.4 GiB,12.3 GiB,13.4 GiB,12.4 GiB,11.4 GiB,11.4 GiB,11.3 GiB,10.9 GiB,12.3 GiB,232 MiB,183 MiB
2025-05-13 10:03:00,319 MiB,12.3 GiB,11.1 GiB,12.8 GiB,13.4 GiB,13.2 GiB,12.4 GiB,12.6 GiB,11.5 GiB,12.4 GiB,12.8 GiB,319 MiB,199 MiB
2025-05-13 10:03:30,230 MiB,13.1 GiB,11.9 GiB,12.8 GiB,13.8 GiB,13.3 GiB,12.7 GiB,12.6 GiB,12.7 GiB,12.4 GiB,12.8 GiB,230 MiB,192 MiB
2025-05-13 10:04:00,205 MiB,13.2 GiB,12.4 GiB,12.8 GiB,14.8 GiB,13.3 GiB,12.7 GiB,12.7 GiB,12.9 GiB,12.4 GiB,12.8 GiB,205 MiB,189 MiB
2025-05-13 10:04:30,201 MiB,13.3 GiB,13.3 GiB,13.1 GiB,15.1 GiB,13.6 GiB,12.7 GiB,12.7 GiB,13.0 GiB,12.7 GiB,13.1 GiB,201 MiB,175 MiB
2025-05-13 10:05:00,572 MiB,13.7 GiB,13.3 GiB,15.0 GiB,15.1 GiB,15.0 GiB,13.7 GiB,14.2 GiB,13.3 GiB,13.9 GiB,15.0 GiB,572 MiB,443 MiB
