"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100"
2025-05-13 09:40:00,33.6 KiB,54.5 KiB,41.5 KiB,62.1 KiB,50.9 KiB,43.0 KiB,49.9 KiB,91.5 KiB,66.6 KiB,79.6 KiB,38.3 KiB
2025-05-13 09:40:30,99.9 KiB,47.6 KiB,42.3 KiB,47.0 KiB,46.0 KiB,40.3 KiB,43.7 KiB,89.0 KiB,73.7 KiB,183 KiB,68.2 KiB
2025-05-13 09:41:00,231 KiB,298 KiB,241 KiB,185 KiB,183 KiB,192 KiB,132 KiB,1.33 MiB,312 KiB,1.63 MiB,259 KiB
2025-05-13 09:41:30,424 KiB,552 KiB,615 KiB,549 KiB,376 KiB,375 KiB,407 KiB,2.99 MiB,391 KiB,3.80 MiB,358 KiB
2025-05-13 09:42:00,1.35 MiB,1.42 MiB,1.30 MiB,1.11 MiB,726 KiB,816 KiB,422 KiB,8.40 MiB,1.13 MiB,16.2 MiB,1.16 MiB
2025-05-13 09:42:30,2.05 MiB,3.46 MiB,3.44 MiB,3.34 MiB,2.07 MiB,2.20 MiB,1.99 MiB,19.7 MiB,2.02 MiB,23.2 MiB,2.08 MiB
2025-05-13 09:43:00,2.92 MiB,3.43 MiB,3.40 MiB,3.52 MiB,2.27 MiB,2.92 MiB,2.10 MiB,24.8 MiB,2.82 MiB,32.5 MiB,2.86 MiB
2025-05-13 09:43:30,4.15 MiB,3.80 MiB,3.84 MiB,3.89 MiB,3.75 MiB,6.33 MiB,5.98 MiB,40.0 MiB,3.85 MiB,45.6 MiB,3.79 MiB
2025-05-13 09:44:00,6.86 MiB,5.32 MiB,6.24 MiB,4.94 MiB,4.91 MiB,5.36 MiB,5.38 MiB,53.6 MiB,7.57 MiB,58.5 MiB,7.63 MiB
2025-05-13 09:44:30,6.73 MiB,5.50 MiB,6.87 MiB,5.51 MiB,5.13 MiB,5.09 MiB,4.94 MiB,46.9 MiB,5.86 MiB,62.0 MiB,6.24 MiB
2025-05-13 09:45:00,6.91 MiB,8.48 MiB,6.68 MiB,7.91 MiB,7.99 MiB,8.36 MiB,7.02 MiB,64.4 MiB,6.83 MiB,80.5 MiB,6.98 MiB
2025-05-13 09:45:30,9.88 MiB,8.91 MiB,9.04 MiB,9.39 MiB,9.12 MiB,9.76 MiB,9.94 MiB,79.3 MiB,10.7 MiB,103 MiB,11.2 MiB
2025-05-13 09:46:00,9.49 MiB,12.8 MiB,12.7 MiB,12.7 MiB,9.81 MiB,12.9 MiB,10.4 MiB,102 MiB,11.0 MiB,104 MiB,10.6 MiB
2025-05-13 09:46:30,11.9 MiB,9.33 MiB,8.74 MiB,9.26 MiB,11.5 MiB,9.05 MiB,9.72 MiB,83.4 MiB,11.4 MiB,108 MiB,11.8 MiB
2025-05-13 09:47:00,16.3 MiB,15.7 MiB,14.1 MiB,12.5 MiB,15.3 MiB,15.7 MiB,12.9 MiB,127 MiB,15.0 MiB,150 MiB,14.9 MiB
2025-05-13 09:47:30,15.0 MiB,16.5 MiB,15.2 MiB,15.8 MiB,13.5 MiB,13.8 MiB,14.6 MiB,128 MiB,14.2 MiB,145 MiB,15.0 MiB
2025-05-13 09:48:00,14.5 MiB,12.8 MiB,15.4 MiB,14.7 MiB,13.8 MiB,14.3 MiB,15.0 MiB,125 MiB,14.2 MiB,146 MiB,15.1 MiB
2025-05-13 09:48:30,15.5 MiB,16.4 MiB,16.6 MiB,17.5 MiB,16.6 MiB,15.5 MiB,15.1 MiB,132 MiB,16.0 MiB,158 MiB,16.0 MiB
2025-05-13 09:49:00,17.4 MiB,19.4 MiB,17.2 MiB,17.5 MiB,19.0 MiB,21.6 MiB,19.3 MiB,161 MiB,21.4 MiB,200 MiB,17.2 MiB
2025-05-13 09:49:30,19.0 MiB,18.5 MiB,18.2 MiB,20.5 MiB,17.2 MiB,17.3 MiB,17.9 MiB,150 MiB,15.9 MiB,179 MiB,20.6 MiB
2025-05-13 09:50:00,19.5 MiB,18.7 MiB,19.5 MiB,18.9 MiB,18.6 MiB,19.3 MiB,19.4 MiB,159 MiB,17.9 MiB,184 MiB,20.0 MiB
2025-05-13 09:50:30,17.4 MiB,17.7 MiB,18.9 MiB,18.0 MiB,17.5 MiB,17.8 MiB,17.2 MiB,151 MiB,16.6 MiB,173 MiB,16.8 MiB
2025-05-13 09:51:00,19.4 MiB,19.4 MiB,19.6 MiB,19.2 MiB,18.7 MiB,19.4 MiB,18.7 MiB,162 MiB,19.9 MiB,196 MiB,19.8 MiB
2025-05-13 09:51:30,18.1 MiB,19.7 MiB,19.5 MiB,19.8 MiB,19.4 MiB,20.1 MiB,18.8 MiB,162 MiB,21.7 MiB,197 MiB,19.9 MiB
2025-05-13 09:52:00,21.1 MiB,21.8 MiB,21.6 MiB,20.7 MiB,20.6 MiB,20.8 MiB,21.2 MiB,176 MiB,21.3 MiB,211 MiB,22.3 MiB
2025-05-13 09:52:30,25.4 MiB,23.0 MiB,22.3 MiB,20.8 MiB,21.2 MiB,22.5 MiB,21.4 MiB,198 MiB,22.4 MiB,241 MiB,23.4 MiB
2025-05-13 09:53:00,24.9 MiB,29.8 MiB,29.6 MiB,30.7 MiB,26.0 MiB,27.8 MiB,27.3 MiB,240 MiB,26.9 MiB,261 MiB,29.2 MiB
2025-05-13 09:53:30,24.0 MiB,25.1 MiB,23.9 MiB,27.8 MiB,25.2 MiB,27.0 MiB,25.1 MiB,209 MiB,27.6 MiB,271 MiB,26.5 MiB
2025-05-13 09:54:00,29.0 MiB,28.8 MiB,27.1 MiB,29.5 MiB,29.0 MiB,30.5 MiB,26.0 MiB,236 MiB,29.9 MiB,284 MiB,30.4 MiB
2025-05-13 09:54:30,25.7 MiB,27.1 MiB,27.9 MiB,26.3 MiB,25.3 MiB,27.0 MiB,26.8 MiB,229 MiB,25.2 MiB,252 MiB,27.4 MiB
2025-05-13 09:55:00,28.5 MiB,24.7 MiB,23.9 MiB,26.9 MiB,26.4 MiB,27.2 MiB,23.9 MiB,217 MiB,28.7 MiB,285 MiB,28.4 MiB
2025-05-13 09:55:30,27.4 MiB,31.0 MiB,29.7 MiB,31.4 MiB,29.8 MiB,29.6 MiB,31.1 MiB,259 MiB,28.9 MiB,288 MiB,31.7 MiB
2025-05-13 09:56:00,24.6 MiB,27.0 MiB,32.3 MiB,30.3 MiB,28.8 MiB,24.7 MiB,26.6 MiB,230 MiB,27.5 MiB,271 MiB,27.3 MiB
2025-05-13 09:56:30,30.4 MiB,28.2 MiB,30.0 MiB,27.8 MiB,26.8 MiB,32.2 MiB,29.5 MiB,241 MiB,28.5 MiB,298 MiB,29.2 MiB
2025-05-13 09:57:00,32.1 MiB,33.1 MiB,31.2 MiB,29.8 MiB,30.2 MiB,33.7 MiB,28.0 MiB,257 MiB,31.0 MiB,311 MiB,32.5 MiB
2025-05-13 09:57:30,28.1 MiB,32.0 MiB,30.7 MiB,32.5 MiB,31.2 MiB,31.3 MiB,30.1 MiB,271 MiB,30.4 MiB,313 MiB,31.7 MiB
2025-05-13 09:58:00,30.3 MiB,31.7 MiB,31.6 MiB,32.3 MiB,31.8 MiB,29.2 MiB,36.2 MiB,261 MiB,29.1 MiB,307 MiB,30.2 MiB
2025-05-13 09:58:30,33.3 MiB,31.7 MiB,31.6 MiB,31.2 MiB,30.2 MiB,29.7 MiB,30.2 MiB,262 MiB,29.0 MiB,317 MiB,29.6 MiB
2025-05-13 09:59:00,32.4 MiB,32.6 MiB,33.7 MiB,33.7 MiB,33.2 MiB,35.4 MiB,33.6 MiB,277 MiB,34.0 MiB,326 MiB,34.3 MiB
2025-05-13 09:59:30,34.2 MiB,31.8 MiB,31.6 MiB,33.5 MiB,32.1 MiB,31.7 MiB,31.8 MiB,273 MiB,31.6 MiB,337 MiB,35.5 MiB
2025-05-13 10:00:00,31.1 MiB,36.2 MiB,33.7 MiB,34.7 MiB,34.9 MiB,35.9 MiB,35.1 MiB,289 MiB,33.3 MiB,335 MiB,36.2 MiB
2025-05-13 10:00:30,37.0 MiB,34.9 MiB,29.1 MiB,34.1 MiB,34.0 MiB,34.7 MiB,33.1 MiB,292 MiB,36.6 MiB,350 MiB,34.7 MiB
2025-05-13 10:01:00,33.0 MiB,33.8 MiB,38.5 MiB,35.2 MiB,34.1 MiB,35.4 MiB,34.1 MiB,284 MiB,33.1 MiB,336 MiB,33.4 MiB
2025-05-13 10:01:30,33.9 MiB,37.9 MiB,38.9 MiB,33.7 MiB,33.8 MiB,36.3 MiB,35.0 MiB,297 MiB,34.3 MiB,328 MiB,36.7 MiB
2025-05-13 10:02:00,31.0 MiB,29.9 MiB,32.6 MiB,33.3 MiB,30.7 MiB,28.4 MiB,32.8 MiB,257 MiB,31.5 MiB,312 MiB,30.7 MiB
2025-05-13 10:02:30,38.8 MiB,36.9 MiB,35.5 MiB,36.8 MiB,35.7 MiB,39.0 MiB,28.8 MiB,324 MiB,38.3 MiB,387 MiB,36.9 MiB
2025-05-13 10:03:00,34.6 MiB,35.8 MiB,35.4 MiB,37.7 MiB,37.2 MiB,37.1 MiB,37.1 MiB,307 MiB,37.6 MiB,362 MiB,38.3 MiB
2025-05-13 10:03:30,37.6 MiB,40.3 MiB,36.6 MiB,40.3 MiB,38.3 MiB,39.3 MiB,34.3 MiB,324 MiB,37.0 MiB,383 MiB,39.0 MiB
2025-05-13 10:04:00,35.0 MiB,38.7 MiB,34.9 MiB,40.6 MiB,35.0 MiB,36.7 MiB,37.7 MiB,308 MiB,37.8 MiB,357 MiB,36.2 MiB
2025-05-13 10:04:30,36.3 MiB,35.9 MiB,32.9 MiB,36.5 MiB,30.9 MiB,32.5 MiB,36.3 MiB,297 MiB,35.9 MiB,377 MiB,37.6 MiB
2025-05-13 10:05:00,37.5 MiB,41.2 MiB,39.1 MiB,42.1 MiB,36.4 MiB,40.8 MiB,40.6 MiB,332 MiB,39.6 MiB,394 MiB,41.3 MiB
2025-05-13 10:05:30,37.6 MiB,38.6 MiB,41.1 MiB,41.2 MiB,36.6 MiB,40.1 MiB,39.0 MiB,321 MiB,40.0 MiB,388 MiB,39.7 MiB
2025-05-13 10:06:00,38.9 MiB,39.1 MiB,39.1 MiB,39.7 MiB,35.4 MiB,39.2 MiB,39.4 MiB,323 MiB,37.2 MiB,383 MiB,42.1 MiB
2025-05-13 10:06:30,37.1 MiB,39.1 MiB,36.1 MiB,35.8 MiB,35.9 MiB,34.5 MiB,34.6 MiB,296 MiB,34.9 MiB,361 MiB,36.8 MiB
2025-05-13 10:07:00,38.4 MiB,33.4 MiB,31.7 MiB,,31.2 MiB,35.9 MiB,32.6 MiB,277 MiB,35.6 MiB,365 MiB,36.3 MiB
2025-05-13 10:07:30,43.9 MiB,46.9 MiB,46.0 MiB,,44.9 MiB,46.8 MiB,44.7 MiB,381 MiB,45.2 MiB,417 MiB,49.1 MiB
2025-05-13 10:08:00,22.8 MiB,33.6 MiB,30.6 MiB,,32.0 MiB,32.8 MiB,40.4 MiB,384 MiB,26.0 MiB,228 MiB,29.9 MiB
2025-05-13 10:08:30,17.2 MiB,18.5 MiB,15.0 MiB,,15.2 MiB,18.1 MiB,18.0 MiB,281 MiB,15.3 MiB,178 MiB,
2025-05-13 10:09:00,16.2 MiB,,19.0 MiB,,22.3 MiB,20.9 MiB,17.0 MiB,308 MiB,19.8 MiB,209 MiB,
2025-05-13 10:09:30,14.2 MiB,,19.4 MiB,,18.9 MiB,19.4 MiB,20.9 MiB,176 MiB,23.0 MiB,172 MiB,
