"Time","mimir-ingester-zone-b-5","mimir-ingester-zone-b-3","mimir-ingester-zone-c-0","mimir-ingester-zone-c-4","mimir-ingester-zone-b-4","mimir-ingester-zone-b-0","mimir-ingester-zone-c-5","mimir-ingester-zone-c-3","mimir-ingester-zone-b-2","mimir-ingester-zone-b-1","mimir-ingester-zone-a-4","mimir-ingester-zone-a-3","mimir-ingester-zone-c-1","mimir-ingester-zone-c-2","mimir-ingester-zone-a-0","mimir-ingester-zone-a-1","mimir-ingester-zone-a-2","mimir-ingester-zone-a-5"
2025-05-13 09:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-13 09:40:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-13 09:41:00,6677,9710,0,0,6662,8781,4711,5516,8032,1924,0,6486,2553,2203,5587,0,8406,0
2025-05-13 09:41:30,28796,33923,15741,15848,28717,31375,24505,27337,29142,24070,23209,28277,24876,26142,26643,19608,31323,20737
2025-05-13 09:42:00,89414,122085,37530,35247,89265,104982,69875,80779,95475,61668,49383,86720,63487,65695,79043,39908,102001,47089
2025-05-13 09:42:30,208278,239420,144174,133130,210134,223542,185313,211579,211839,181782,169861,205514,185968,194869,206408,156409,226342,152163
2025-05-13 09:43:00,314881,347476,264764,239322,316751,337230,287663,328818,320839,286114,287494,308734,292407,308755,318534,273628,343497,251981
2025-05-13 09:43:30,431197,490203,379976,346369,434128,459225,392904,448200,435999,404588,403918,424079,413036,435986,435171,392716,466645,355463
2025-05-13 09:44:00,669442,731241,547448,504549,672664,712583,599711,686151,677131,604311,595456,658327,616496,652627,668784,574230,723892,522993
2025-05-13 09:44:30,879950,952018,780169,704673,886116,932387,802238,914989,896186,824160,823799,869064,842514,889587,888192,804011,955789,724397
2025-05-13 09:45:00,1011434,1063170,989053,888259,1022161,1056719,938756,1069167,1022261,981431,1009377,1002829,1002503,1061469,1036826,997024,1089310,880597
2025-05-13 09:45:30,1132667,1188519,1109996,992242,1143223,1171729,1051815,1195266,1142105,1098960,1127476,1122530,1122186,1187837,1158866,1112361,1217632,983715
2025-05-13 09:46:00,1258131,1317847,1241993,1112135,1267938,1306472,1168246,1326963,1269158,1224348,1258236,1246029,1250461,1325220,1286616,1246940,1351178,1097804
2025-05-13 09:46:30,1378531,1471632,1363289,1219387,1388520,1440857,1272018,1445197,1396166,1333770,1375319,1365064,1362698,1441788,1402970,1361272,1486741,1195303
2025-05-13 09:47:00,1760003,1912089,1586528,1441663,1773651,1860063,1614060,1833174,1785129,1657544,1675351,1745825,1692858,1789723,1780245,1631050,1902293,1467216
2025-05-13 09:47:30,2157591,2279205,2016601,1818205,2178250,2252023,1996660,2267335,2182253,2064666,2092620,2143192,2107714,2233224,2201617,2047775,2324033,1831863
2025-05-13 09:48:00,2319255,2409735,2351984,2100883,2343982,2405551,2163610,2454321,2340088,2273499,2361287,2305957,2320000,2462263,2381791,2338364,2491815,2053585
2025-05-13 09:48:30,2429729,2512770,2475782,2207887,2454477,2514262,2272678,2577958,2450704,2390745,2475570,2414835,2440687,2586438,2498721,2454642,2609589,2151788
2025-05-13 09:49:00,2535242,2627225,2584896,2305559,2562363,2622598,2373353,2691198,2555191,2496777,2590240,2520425,2547236,2704540,2608873,2568186,2720744,2251460
2025-05-13 09:49:30,2643394,2734010,2693629,2401983,2675028,2734627,2473025,2804468,2665868,2599235,2693276,2631172,2652233,2814070,2718261,2671026,2838824,2339536
2025-05-13 09:50:00,2755094,2852296,2808596,2507151,2787200,2851559,2578282,2923426,2782959,2707998,2814378,2741868,2763344,2934090,2833880,2784759,2964015,2444863
2025-05-13 09:50:30,2860963,2964208,2929485,2616986,2894491,2967120,2683036,3041481,2887063,2822938,2934755,2847492,2880859,3057510,2948556,2905557,3075452,2549385
2025-05-13 09:51:00,2979494,3077228,3045816,2718509,3013453,3080462,2792356,3165309,3005868,2938210,3049360,2965406,2997924,3182083,3067054,3022254,3200706,2649007
2025-05-13 09:51:30,3093993,3200268,3151915,2813769,3129938,3202688,2892159,3279275,3122624,3042806,3162152,3080124,3105855,3295189,3178287,3130970,3325335,2744639
2025-05-13 09:52:00,3202434,3304231,3282815,2928212,3239070,3312054,2997685,3399258,3228985,3159207,3279910,3189494,3224322,3422247,3293723,3253969,3437276,2848616
2025-05-13 09:52:30,3470353,3666098,3388532,3039104,3506603,3621835,3218815,3652246,3510551,3359082,3454482,3453823,3408110,3639656,3539391,3396076,3737534,3009802
2025-05-13 09:53:00,3998192,4242409,3834385,3442229,4039209,4189082,3705449,4207348,4052640,3847087,3933164,3980782,3923618,4167245,4079688,3861823,4315956,3431040
2025-05-13 09:53:30,4478588,4682488,4412037,3958073,4523786,4669854,4166564,4730040,4524636,4353970,4484812,4458786,4442576,4721223,4585382,4425400,4819106,3901666
2025-05-13 09:54:00,4811200,5001619,4851198,4338009,4860435,4996321,4486110,5089448,4856626,4718350,4892402,4791257,4813081,5117569,4929917,4841027,5172003,4252983
2025-05-13 09:54:30,5017418,5165158,5146030,4590420,5070072,5188966,4695151,5324797,5057469,4948882,5156152,4999176,5046339,5368369,5153196,5109927,5384000,4473784
2025-05-13 09:55:00,5121378,5276956,5290593,4712594,5175963,5305864,4800938,5444525,5167411,5063079,5276583,5103406,5163192,5490693,5271248,5232334,5501121,4575163
2025-05-13 09:55:30,5227481,5382254,5404195,4811126,5281705,5409629,4900097,5556188,5268324,5159588,5384117,5208734,5261468,5596695,5377573,5344450,5608382,4670712
2025-05-13 09:56:00,5340223,5492842,5514256,4911923,5396451,5527719,5007057,5679520,5383752,5278939,5502363,5321538,5381774,5725620,5497928,5455964,5731267,4772567
