"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 09:40:00,80.6 p/s,129 p/s,121 p/s,153 p/s,142 p/s,122 p/s,142 p/s,235 p/s,179 p/s,192 p/s,125 p/s,37.6 p/s,44.1 p/s,66.8 p/s
2025-05-13 09:40:30,234 p/s,108 p/s,111 p/s,89.9 p/s,100 p/s,104 p/s,90.7 p/s,175 p/s,168 p/s,437 p/s,137 p/s,15 p/s,19.1 p/s,26.4 p/s
2025-05-13 09:41:00,297 p/s,410 p/s,396 p/s,331 p/s,334 p/s,347 p/s,301 p/s,1.17 kp/s,542 p/s,1.21 kp/s,406 p/s,133 p/s,198 p/s,33.2 p/s
2025-05-13 09:41:30,346 p/s,404 p/s,479 p/s,349 p/s,274 p/s,357 p/s,416 p/s,1.81 kp/s,324 p/s,2.22 kp/s,269 p/s,247 p/s,374 p/s,288 p/s
2025-05-13 09:42:00,825 p/s,883 p/s,878 p/s,625 p/s,428 p/s,608 p/s,403 p/s,4.72 kp/s,737 p/s,8.72 kp/s,713 p/s,907 p/s,752 p/s,333 p/s
2025-05-13 09:42:30,1.30 kp/s,1.96 kp/s,2.11 kp/s,1.50 kp/s,931 p/s,1.52 kp/s,1.39 kp/s,10.7 kp/s,1.15 kp/s,12.2 kp/s,1.17 kp/s,1.20 kp/s,1.49 kp/s,1.21 kp/s
2025-05-13 09:43:00,1.69 kp/s,2.11 kp/s,2.23 kp/s,1.77 kp/s,1.22 kp/s,2.14 kp/s,1.63 kp/s,13.7 kp/s,1.83 kp/s,16.8 kp/s,1.75 kp/s,1.87 kp/s,1.90 kp/s,1.58 kp/s
2025-05-13 09:43:30,2.34 kp/s,2.08 kp/s,2.44 kp/s,1.39 kp/s,1.61 kp/s,3.98 kp/s,3.82 kp/s,21.3 kp/s,2.03 kp/s,23.0 kp/s,1.93 kp/s,1.86 kp/s,2.49 kp/s,2.89 kp/s
2025-05-13 09:44:00,3.69 kp/s,2.96 kp/s,3.71 kp/s,1.74 kp/s,2.06 kp/s,3.32 kp/s,3.51 kp/s,28.2 kp/s,4.06 kp/s,29.1 kp/s,4.17 kp/s,3.65 kp/s,3.30 kp/s,3.38 kp/s
2025-05-13 09:44:30,3.78 kp/s,2.98 kp/s,3.96 kp/s,1.92 kp/s,2.12 kp/s,3.18 kp/s,3.04 kp/s,24.7 kp/s,3.12 kp/s,31.2 kp/s,3.29 kp/s,3.56 kp/s,3.72 kp/s,3.56 kp/s
2025-05-13 09:45:00,3.68 kp/s,4.92 kp/s,3.85 kp/s,3.26 kp/s,3.78 kp/s,5.13 kp/s,4.67 kp/s,34.2 kp/s,3.73 kp/s,40.4 kp/s,3.91 kp/s,4.34 kp/s,4.35 kp/s,3.63 kp/s
2025-05-13 09:45:30,5.25 kp/s,4.84 kp/s,5.12 kp/s,3.33 kp/s,3.84 kp/s,5.81 kp/s,6.06 kp/s,41.5 kp/s,5.59 kp/s,51.4 kp/s,6.08 kp/s,4.58 kp/s,4.67 kp/s,4.69 kp/s
2025-05-13 09:46:00,4.77 kp/s,7.05 kp/s,7.10 kp/s,4.92 kp/s,3.89 kp/s,7.67 kp/s,6.52 kp/s,53.0 kp/s,5.75 kp/s,51.8 kp/s,5.47 kp/s,4.82 kp/s,5.54 kp/s,5.31 kp/s
2025-05-13 09:46:30,6.31 kp/s,4.96 kp/s,5.01 kp/s,3.15 kp/s,5.00 kp/s,5.57 kp/s,6.11 kp/s,43.6 kp/s,6.39 kp/s,53.6 kp/s,6.32 kp/s,5.32 kp/s,5.37 kp/s,5.24 kp/s
2025-05-13 09:47:00,8.49 kp/s,8.76 kp/s,7.87 kp/s,4.18 kp/s,6.67 kp/s,9.14 kp/s,7.91 kp/s,66.1 kp/s,7.82 kp/s,73.1 kp/s,7.84 kp/s,7.67 kp/s,8.59 kp/s,6.93 kp/s
2025-05-13 09:47:30,7.90 kp/s,9.13 kp/s,8.32 kp/s,5.78 kp/s,5.20 kp/s,7.89 kp/s,8.79 kp/s,65.7 kp/s,6.97 kp/s,71.4 kp/s,7.93 kp/s,8.09 kp/s,9.33 kp/s,8.81 kp/s
2025-05-13 09:48:00,7.36 kp/s,7.18 kp/s,8.40 kp/s,5.44 kp/s,5.57 kp/s,8.05 kp/s,9.03 kp/s,64.6 kp/s,6.90 kp/s,71.8 kp/s,7.90 kp/s,7.06 kp/s,8.71 kp/s,8.86 kp/s
2025-05-13 09:48:30,7.99 kp/s,9.08 kp/s,9.15 kp/s,6.42 kp/s,6.75 kp/s,8.86 kp/s,9.10 kp/s,68.0 kp/s,7.89 kp/s,78.1 kp/s,8.47 kp/s,6.95 kp/s,8.97 kp/s,7.49 kp/s
2025-05-13 09:49:00,8.57 kp/s,10.9 kp/s,9.26 kp/s,5.94 kp/s,7.49 kp/s,12.1 kp/s,11.7 kp/s,82.7 kp/s,10.7 kp/s,97.0 kp/s,8.89 kp/s,8.28 kp/s,9.75 kp/s,8.30 kp/s
2025-05-13 09:49:30,9.79 kp/s,10.1 kp/s,9.89 kp/s,7.49 kp/s,6.63 kp/s,9.69 kp/s,10.8 kp/s,77.1 kp/s,7.29 kp/s,87.5 kp/s,10.7 kp/s,8.44 kp/s,9.61 kp/s,9.42 kp/s
2025-05-13 09:50:00,9.90 kp/s,10.1 kp/s,10.5 kp/s,6.62 kp/s,7.21 kp/s,10.7 kp/s,11.8 kp/s,81.2 kp/s,8.35 kp/s,90.1 kp/s,10.3 kp/s,8.98 kp/s,10.6 kp/s,9.41 kp/s
2025-05-13 09:50:30,8.97 kp/s,9.46 kp/s,10.0 kp/s,6.21 kp/s,6.93 kp/s,9.91 kp/s,10.4 kp/s,78.0 kp/s,7.77 kp/s,84.1 kp/s,8.77 kp/s,9.06 kp/s,10.5 kp/s,9.63 kp/s
2025-05-13 09:51:00,9.75 kp/s,10.7 kp/s,10.9 kp/s,7.14 kp/s,7.55 kp/s,11.0 kp/s,11.1 kp/s,83.5 kp/s,9.89 kp/s,95.3 kp/s,10.5 kp/s,11.4 kp/s,11.0 kp/s,10.5 kp/s
2025-05-13 09:51:30,8.92 kp/s,10.9 kp/s,10.5 kp/s,6.91 kp/s,7.64 kp/s,11.1 kp/s,11.1 kp/s,83.2 kp/s,10.6 kp/s,95.9 kp/s,10.3 kp/s,10.5 kp/s,10.8 kp/s,10.8 kp/s
2025-05-13 09:52:00,10.5 kp/s,11.9 kp/s,11.5 kp/s,7.17 kp/s,7.96 kp/s,11.4 kp/s,12.6 kp/s,90.1 kp/s,10.0 kp/s,102 kp/s,11.4 kp/s,11.0 kp/s,11.8 kp/s,11.4 kp/s
2025-05-13 09:52:30,12.7 kp/s,12.6 kp/s,12.1 kp/s,6.81 kp/s,8.08 kp/s,12.1 kp/s,12.5 kp/s,101 kp/s,10.3 kp/s,116 kp/s,12.0 kp/s,13.4 kp/s,14.1 kp/s,11.9 kp/s
2025-05-13 09:53:00,12.1 kp/s,16.5 kp/s,15.4 kp/s,11.6 kp/s,9.70 kp/s,15.2 kp/s,16.0 kp/s,122 kp/s,12.4 kp/s,125 kp/s,15.3 kp/s,14.5 kp/s,14.2 kp/s,15.4 kp/s
2025-05-13 09:53:30,11.9 kp/s,13.8 kp/s,12.2 kp/s,10.2 kp/s,9.50 kp/s,14.4 kp/s,14.1 kp/s,106 kp/s,12.6 kp/s,131 kp/s,13.6 kp/s,16.7 kp/s,15.1 kp/s,13.7 kp/s
2025-05-13 09:54:00,14.0 kp/s,16.0 kp/s,14.3 kp/s,10.8 kp/s,11.5 kp/s,16.4 kp/s,14.8 kp/s,120 kp/s,13.5 kp/s,136 kp/s,15.9 kp/s,15.6 kp/s,15.3 kp/s,16.0 kp/s
2025-05-13 09:54:30,12.8 kp/s,14.7 kp/s,14.3 kp/s,8.59 kp/s,9.48 kp/s,14.2 kp/s,15.0 kp/s,116 kp/s,11.2 kp/s,122 kp/s,14.2 kp/s,14.3 kp/s,13.6 kp/s,14.3 kp/s
2025-05-13 09:55:00,14.0 kp/s,13.4 kp/s,12.8 kp/s,9.69 kp/s,10.4 kp/s,14.5 kp/s,14.2 kp/s,111 kp/s,13.3 kp/s,138 kp/s,14.7 kp/s,16.6 kp/s,16.4 kp/s,15.2 kp/s
2025-05-13 09:55:30,12.7 kp/s,17.4 kp/s,15.6 kp/s,11.2 kp/s,11.4 kp/s,15.5 kp/s,17.7 kp/s,131 kp/s,12.5 kp/s,138 kp/s,16.7 kp/s,17.6 kp/s,15.9 kp/s,14.9 kp/s
2025-05-13 09:56:00,11.6 kp/s,14.8 kp/s,16.6 kp/s,11.0 kp/s,11.2 kp/s,12.8 kp/s,15.4 kp/s,117 kp/s,12.1 kp/s,131 kp/s,14.3 kp/s,17.4 kp/s,16.8 kp/s,17.0 kp/s
2025-05-13 09:56:30,14.8 kp/s,15.0 kp/s,15.3 kp/s,9.22 kp/s,10.0 kp/s,17.6 kp/s,16.9 kp/s,122 kp/s,12.5 kp/s,143 kp/s,15.1 kp/s,17.2 kp/s,17.6 kp/s,16.9 kp/s
2025-05-13 09:57:00,15.4 kp/s,18.1 kp/s,16.5 kp/s,10.9 kp/s,11.7 kp/s,18.0 kp/s,16.2 kp/s,130 kp/s,13.7 kp/s,148 kp/s,17.1 kp/s,17.3 kp/s,19.6 kp/s,18.6 kp/s
2025-05-13 09:57:30,13.0 kp/s,17.7 kp/s,16.1 kp/s,11.3 kp/s,12.2 kp/s,16.8 kp/s,17.0 kp/s,137 kp/s,13.2 kp/s,149 kp/s,16.4 kp/s,18.7 kp/s,19.2 kp/s,18.8 kp/s
2025-05-13 09:58:00,14.4 kp/s,17.6 kp/s,16.9 kp/s,11.4 kp/s,12.2 kp/s,15.5 kp/s,20.4 kp/s,132 kp/s,12.6 kp/s,147 kp/s,15.4 kp/s,17.8 kp/s,18.1 kp/s,18.6 kp/s
2025-05-13 09:58:30,16.6 kp/s,16.7 kp/s,16.5 kp/s,11.2 kp/s,11.5 kp/s,15.8 kp/s,16.3 kp/s,132 kp/s,12.7 kp/s,152 kp/s,14.8 kp/s,19.2 kp/s,19.9 kp/s,19.2 kp/s
2025-05-13 09:59:00,15.0 kp/s,17.6 kp/s,17.8 kp/s,11.8 kp/s,13.1 kp/s,19.2 kp/s,18.9 kp/s,139 kp/s,15.3 kp/s,156 kp/s,17.4 kp/s,21.0 kp/s,21.3 kp/s,19.7 kp/s
2025-05-13 09:59:30,16.0 kp/s,17.0 kp/s,16.3 kp/s,11.6 kp/s,12.4 kp/s,16.9 kp/s,17.6 kp/s,137 kp/s,13.6 kp/s,161 kp/s,18.4 kp/s,18.9 kp/s,20.9 kp/s,19.3 kp/s
2025-05-13 10:00:00,13.8 kp/s,19.7 kp/s,17.2 kp/s,11.6 kp/s,13.0 kp/s,18.9 kp/s,19.7 kp/s,145 kp/s,14.6 kp/s,160 kp/s,18.6 kp/s,19.9 kp/s,22.1 kp/s,20.7 kp/s
2025-05-13 10:00:30,17.4 kp/s,18.6 kp/s,14.2 kp/s,11.6 kp/s,13.2 kp/s,18.7 kp/s,18.7 kp/s,146 kp/s,15.9 kp/s,167 kp/s,17.6 kp/s,22.2 kp/s,24.4 kp/s,21.8 kp/s
2025-05-13 10:01:00,15.3 kp/s,17.9 kp/s,19.5 kp/s,12.4 kp/s,12.9 kp/s,18.6 kp/s,18.1 kp/s,143 kp/s,15.0 kp/s,159 kp/s,16.7 kp/s,21.1 kp/s,22.1 kp/s,22.9 kp/s
2025-05-13 10:01:30,15.7 kp/s,20.3 kp/s,20.0 kp/s,11.2 kp/s,13.0 kp/s,19.1 kp/s,19.2 kp/s,149 kp/s,14.6 kp/s,156 kp/s,18.7 kp/s,21.2 kp/s,25.2 kp/s,22.4 kp/s
2025-05-13 10:02:00,14.5 kp/s,16.4 kp/s,16.7 kp/s,11.9 kp/s,12.0 kp/s,15.3 kp/s,18.4 kp/s,131 kp/s,14.4 kp/s,150 kp/s,15.6 kp/s,21.1 kp/s,23.2 kp/s,23.1 kp/s
