"Time","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 09:40:00,0.0540,0.0527,0.108
2025-05-13 09:40:30,0.0113,0.0277,0.0320
2025-05-13 09:41:00,0.0557,0.0440,0.0270
2025-05-13 09:41:30,0.0980,0.0833,0.103
2025-05-13 09:42:00,0.320,0.188,0.125
2025-05-13 09:42:30,0.438,0.399,0.396
2025-05-13 09:43:00,0.543,0.443,0.412
2025-05-13 09:43:30,0.599,0.555,0.605
2025-05-13 09:44:00,0.865,0.733,0.654
2025-05-13 09:44:30,1.07,0.888,0.957
2025-05-13 09:45:00,0.846,0.930,0.915
2025-05-13 09:45:30,0.828,0.686,0.800
2025-05-13 09:46:00,0.999,0.942,0.915
2025-05-13 09:46:30,1.06,0.867,0.980
2025-05-13 09:47:00,1.50,1.75,1.26
2025-05-13 09:47:30,1.80,1.56,1.79
2025-05-13 09:48:00,1.19,1.30,1.79
2025-05-13 09:48:30,1.16,1.29,1.12
2025-05-13 09:49:00,1.31,1.19,1.29
2025-05-13 09:49:30,1.35,1.22,1.52
2025-05-13 09:50:00,1.53,1.46,1.50
2025-05-13 09:50:30,1.18,1.36,1.41
2025-05-13 09:51:00,1.39,1.37,1.26
2025-05-13 09:51:30,1.31,1.38,1.62
2025-05-13 09:52:00,2.02,1.77,1.67
2025-05-13 09:52:30,1.98,2.09,1.81
2025-05-13 09:53:00,2.25,2.23,2.43
2025-05-13 09:53:30,3.20,3.08,3.14
2025-05-13 09:54:00,2.85,2.65,2.70
2025-05-13 09:54:30,2.67,2.54,2.81
2025-05-13 09:55:00,2.09,2.23,2.42
2025-05-13 09:55:30,2.33,1.96,2.14
2025-05-13 09:56:00,2.00,2.74,2.62
2025-05-13 09:56:30,2.76,2.10,2.40
2025-05-13 09:57:00,2.13,2.01,2.33
2025-05-13 09:57:30,2.10,2.28,2.24
2025-05-13 09:58:00,2.46,2.47,2.59
2025-05-13 09:58:30,2.48,2.36,2.47
2025-05-13 09:59:00,2.44,2.89,2.54
2025-05-13 09:59:30,2.87,2.58,2.86
2025-05-13 10:00:00,3.18,2.86,3.16
2025-05-13 10:00:30,2.98,2.77,2.76
2025-05-13 10:01:00,3.61,3.43,3.64
2025-05-13 10:01:30,4.13,3.71,4.12
2025-05-13 10:02:00,3.70,3.71,3.58
2025-05-13 10:02:30,4.17,3.82,4.04
2025-05-13 10:03:00,4.33,4.48,4.78
2025-05-13 10:03:30,5.48,4.82,4.75
2025-05-13 10:04:00,5.42,5.60,4.90
2025-05-13 10:04:30,5.37,5.55,5.41
2025-05-13 10:05:00,5.70,5.77,6.61
2025-05-13 10:05:30,5.78,5.55,6.50
2025-05-13 10:06:00,5.46,5.27,5.81
2025-05-13 10:06:30,5.15,4.81,5.63
2025-05-13 10:07:00,5.84,5.41,5.39
2025-05-13 10:07:30,6.72,6.35,6.71
2025-05-13 10:08:00,5.72,6.02,6.49
2025-05-13 10:08:30,5.76,5.47,5.61
2025-05-13 10:09:00,5.82,6.12,5.79
2025-05-13 10:09:30,5.97,5.63,5.67
2025-05-13 10:10:00,6.00,5.58,6.21
2025-05-13 10:10:30,6.73,6.10,5.93
2025-05-13 10:11:00,6.55,6.51,6.41
2025-05-13 10:11:30,6.68,6.04,6.66
2025-05-13 10:12:00,6.46,6.26,6.86
2025-05-13 10:12:30,6.41,6.39,6.44
2025-05-13 10:13:00,6.37,6.69,6.40
2025-05-13 10:13:30,6.05,6.34,5.74
2025-05-13 10:14:00,6.03,5.77,5.61
2025-05-13 10:14:30,6.18,6.62,6.29
2025-05-13 10:15:00,6.58,6.56,6.73
2025-05-13 10:15:30,6.37,6.89,7.32
2025-05-13 10:16:00,7.32,6.29,7.01
2025-05-13 10:16:30,6.55,7.24,6.84
2025-05-13 10:17:00,6.90,6.95,6.94
2025-05-13 10:17:30,7.45,6.76,6.64
2025-05-13 10:18:00,6.76,6.90,7.00
2025-05-13 10:18:30,7.15,7.68,7.35
2025-05-13 10:19:00,6.57,6.95,7.42
2025-05-13 10:19:30,6.95,6.95,7.13
2025-05-13 10:20:00,7.04,7.45,7.25
2025-05-13 10:20:30,7.11,7.09,6.94
2025-05-13 10:21:00,7.14,6.70,7.64
2025-05-13 10:21:30,7.48,7.06,7.63
2025-05-13 10:22:00,6.83,6.59,7.65
2025-05-13 10:22:30,7.13,7.02,7.08
2025-05-13 10:23:00,7.48,6.62,7.15
2025-05-13 10:23:30,7.04,7.24,7.17
2025-05-13 10:24:00,7.37,7.06,7.26
2025-05-13 10:24:30,6.57,7.19,7.33
2025-05-13 10:25:00,7.08,6.82,7.54
