"Time","172.30.0.22:9100"
2025-05-13 00:15:00,0.111
2025-05-13 00:15:30,0.104
2025-05-13 00:16:00,0.119
2025-05-13 00:16:30,0.108
2025-05-13 00:17:00,0.142
2025-05-13 00:17:30,0.145
2025-05-13 00:18:00,0.576
2025-05-13 00:18:30,0.744
2025-05-13 00:19:00,0.933
2025-05-13 00:19:30,1.06
2025-05-13 00:20:00,1.68
2025-05-13 00:20:30,2.15
2025-05-13 00:21:00,1.78
2025-05-13 00:21:30,1.91
2025-05-13 00:22:00,2.07
2025-05-13 00:22:30,2.36
2025-05-13 00:23:00,2.34
2025-05-13 00:23:30,2.73
2025-05-13 00:24:00,2.34
2025-05-13 00:24:30,2.25
2025-05-13 00:25:00,2.50
2025-05-13 00:25:30,2.64
2025-05-13 00:26:00,2.38
2025-05-13 00:26:30,3.02
2025-05-13 00:27:00,2.46
2025-05-13 00:27:30,2.42
2025-05-13 00:28:00,2.39
2025-05-13 00:28:30,2.91
2025-05-13 00:29:00,2.52
2025-05-13 00:29:30,2.54
2025-05-13 00:30:00,2.52
2025-05-13 00:30:30,2.55
2025-05-13 00:31:00,2.57
2025-05-13 00:31:30,3.51
2025-05-13 00:32:00,2.05
2025-05-13 00:32:30,4.00
2025-05-13 00:33:00,3.28
2025-05-13 00:33:30,0.865
2025-05-13 00:34:00,0.790
2025-05-13 00:34:30,1.93
2025-05-13 00:35:00,3.23
