"Time","172.30.0.22:9100","172.30.0.24:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 00:15:00,1.38 GiB,2.83 GiB,3.83 GiB,1.39 GiB,3.39 GiB,712 MiB,1.02 GiB,860 MiB
2025-05-13 00:15:30,1.38 GiB,2.83 GiB,3.83 GiB,1.39 GiB,3.39 GiB,712 MiB,1.02 GiB,861 MiB
2025-05-13 00:16:00,1.38 GiB,2.83 GiB,3.83 GiB,1.39 GiB,3.46 GiB,716 MiB,1.03 GiB,863 MiB
2025-05-13 00:16:30,1.38 GiB,2.83 GiB,3.83 GiB,1.40 GiB,3.46 GiB,716 MiB,1.03 GiB,870 MiB
2025-05-13 00:17:00,1.40 GiB,2.84 GiB,3.85 GiB,1.43 GiB,3.46 GiB,754 MiB,1.07 GiB,879 MiB
2025-05-13 00:17:30,1.44 GiB,2.90 GiB,3.88 GiB,1.49 GiB,3.49 GiB,814 MiB,1.15 GiB,909 MiB
2025-05-13 00:18:00,1.86 GiB,3.56 GiB,4.24 GiB,1.96 GiB,3.61 GiB,1.40 GiB,1.58 GiB,1.04 GiB
2025-05-13 00:18:30,2.32 GiB,4.37 GiB,4.77 GiB,2.39 GiB,4.10 GiB,2.14 GiB,2.30 GiB,1.74 GiB
2025-05-13 00:19:00,2.76 GiB,5.43 GiB,5.26 GiB,2.87 GiB,4.52 GiB,2.95 GiB,3.13 GiB,2.43 GiB
2025-05-13 00:19:30,3.18 GiB,6.15 GiB,5.60 GiB,3.25 GiB,4.10 GiB,3.58 GiB,3.96 GiB,3.22 GiB
2025-05-13 00:20:00,4.36 GiB,7.75 GiB,6.72 GiB,4.88 GiB,3.52 GiB,5.05 GiB,4.92 GiB,3.94 GiB
2025-05-13 00:20:30,5.85 GiB,10.7 GiB,7.92 GiB,5.39 GiB,5.15 GiB,7.29 GiB,6.24 GiB,5.87 GiB
2025-05-13 00:21:00,5.75 GiB,12.3 GiB,8.33 GiB,6.03 GiB,5.92 GiB,9.25 GiB,7.98 GiB,8.22 GiB
2025-05-13 00:21:30,6.90 GiB,13.7 GiB,9.05 GiB,6.93 GiB,6.69 GiB,9.95 GiB,8.66 GiB,9.75 GiB
2025-05-13 00:22:00,7.43 GiB,15.0 GiB,9.68 GiB,7.34 GiB,7.28 GiB,10.2 GiB,10.1 GiB,10.3 GiB
2025-05-13 00:22:30,8.71 GiB,16.0 GiB,10.3 GiB,7.91 GiB,7.52 GiB,11.4 GiB,10.8 GiB,10.5 GiB
2025-05-13 00:23:00,8.91 GiB,18.3 GiB,11.9 GiB,8.85 GiB,8.43 GiB,12.9 GiB,11.8 GiB,12.1 GiB
2025-05-13 00:23:30,10.1 GiB,19.0 GiB,12.6 GiB,10.0 GiB,8.94 GiB,14.8 GiB,13.8 GiB,13.4 GiB
2025-05-13 00:24:00,10.8 GiB,23.4 GiB,13.2 GiB,12.1 GiB,10.8 GiB,16.9 GiB,16.4 GiB,15.7 GiB
2025-05-13 00:24:30,12.7 GiB,23.9 GiB,14.6 GiB,13.5 GiB,12.2 GiB,18.6 GiB,18.3 GiB,17.8 GiB
2025-05-13 00:25:00,13.6 GiB,24.4 GiB,15.2 GiB,14.6 GiB,13.5 GiB,19.9 GiB,19.3 GiB,19.0 GiB
2025-05-13 00:25:30,15.8 GiB,25.1 GiB,16.6 GiB,15.0 GiB,13.7 GiB,20.9 GiB,20.6 GiB,20.6 GiB
2025-05-13 00:26:00,16.8 GiB,27.2 GiB,17.7 GiB,15.9 GiB,14.1 GiB,21.3 GiB,21.3 GiB,21.2 GiB
2025-05-13 00:26:30,17.7 GiB,28.9 GiB,18.1 GiB,17.9 GiB,15.4 GiB,22.8 GiB,21.7 GiB,21.8 GiB
2025-05-13 00:27:00,17.4 GiB,29.8 GiB,18.3 GiB,16.6 GiB,16.4 GiB,23.7 GiB,22.3 GiB,23.5 GiB
2025-05-13 00:27:30,17.3 GiB,30.9 GiB,18.5 GiB,17.3 GiB,16.4 GiB,24.2 GiB,23.0 GiB,23.9 GiB
2025-05-13 00:28:00,16.5 GiB,30.8 GiB,18.8 GiB,16.5 GiB,16.4 GiB,24.6 GiB,23.1 GiB,24.5 GiB
2025-05-13 00:28:30,16.5 GiB,30.8 GiB,18.9 GiB,16.6 GiB,16.4 GiB,25.0 GiB,23.4 GiB,25.1 GiB
2025-05-13 00:29:00,16.5 GiB,18.7 GiB,18.8 GiB,16.5 GiB,16.4 GiB,25.3 GiB,24.1 GiB,25.3 GiB
2025-05-13 00:29:30,16.5 GiB,25.5 GiB,18.8 GiB,16.5 GiB,16.4 GiB,25.8 GiB,24.4 GiB,25.4 GiB
2025-05-13 00:30:00,16.5 GiB,15.8 GiB,18.8 GiB,16.5 GiB,16.4 GiB,26.7 GiB,24.8 GiB,26.1 GiB
2025-05-13 00:30:30,16.5 GiB,22.7 GiB,18.8 GiB,16.5 GiB,16.4 GiB,27.5 GiB,26.4 GiB,27.1 GiB
2025-05-13 00:31:00,6.80 GiB,25.0 GiB,18.8 GiB,16.5 GiB,16.4 GiB,27.9 GiB,26.7 GiB,27.6 GiB
2025-05-13 00:31:30,12.0 GiB,25.0 GiB,18.8 GiB,16.5 GiB,7.57 GiB,28.4 GiB,27.4 GiB,28.1 GiB
2025-05-13 00:32:00,12.9 GiB,26.6 GiB,18.9 GiB,16.4 GiB,13.0 GiB,29.1 GiB,28.4 GiB,28.6 GiB
2025-05-13 00:32:30,16.6 GiB,30.1 GiB,18.9 GiB,16.4 GiB,14.6 GiB,29.2 GiB,28.9 GiB,28.9 GiB
2025-05-13 00:33:00,16.7 GiB,30.8 GiB,18.8 GiB,16.7 GiB,16.4 GiB,29.1 GiB,29.1 GiB,29.3 GiB
2025-05-13 00:33:30,16.8 GiB,17.2 GiB,18.9 GiB,16.7 GiB,2.06 GiB,29.3 GiB,29.2 GiB,29.2 GiB
