"Time","prom-ring-mimir-c9v8w-4x2sk","prom-ring-mimir-c9v8w-sh4x8","prom-ring-mimir-c9v8w-wkpvk","prom-ring-mimir-c9v8w-x7w2p","prom-ring-mimir-c9v8w-xmljs"
2025-05-13 00:15:00,34.2 MiB,60.7 MiB,46.0 MiB,345 MiB,45.5 MiB
2025-05-13 00:15:30,34.0 MiB,60.9 MiB,46.2 MiB,350 MiB,45.7 MiB
2025-05-13 00:16:00,34.3 MiB,60.6 MiB,45.6 MiB,350 MiB,45.4 MiB
2025-05-13 00:16:30,34.0 MiB,60.9 MiB,45.8 MiB,353 MiB,44.7 MiB
2025-05-13 00:17:00,68.4 MiB,66.1 MiB,65.5 MiB,355 MiB,56.2 MiB
2025-05-13 00:17:30,97.7 MiB,97.9 MiB,96.3 MiB,358 MiB,94.1 MiB
2025-05-13 00:18:00,458 MiB,479 MiB,422 MiB,513 MiB,415 MiB
2025-05-13 00:18:30,868 MiB,860 MiB,831 MiB,736 MiB,927 MiB
2025-05-13 00:19:00,1.46 GiB,1.17 GiB,1.15 GiB,1.30 GiB,1.31 GiB
2025-05-13 00:19:30,1.71 GiB,1.59 GiB,1.55 GiB,1.61 GiB,1.61 GiB
2025-05-13 00:20:00,2.82 GiB,2.73 GiB,2.48 GiB,2.41 GiB,2.57 GiB
2025-05-13 00:20:30,4.05 GiB,3.34 GiB,3.34 GiB,3.31 GiB,3.74 GiB
2025-05-13 00:21:00,4.64 GiB,3.94 GiB,3.78 GiB,4.38 GiB,3.95 GiB
2025-05-13 00:21:30,5.17 GiB,4.73 GiB,4.78 GiB,5.05 GiB,4.45 GiB
2025-05-13 00:22:00,5.67 GiB,5.12 GiB,5.01 GiB,5.20 GiB,5.16 GiB
2025-05-13 00:22:30,5.98 GiB,5.32 GiB,6.48 GiB,5.88 GiB,5.64 GiB
2025-05-13 00:23:00,6.97 GiB,6.40 GiB,6.54 GiB,6.50 GiB,7.32 GiB
2025-05-13 00:23:30,7.49 GiB,7.03 GiB,7.57 GiB,7.97 GiB,7.70 GiB
2025-05-13 00:24:00,9.63 GiB,8.75 GiB,8.74 GiB,9.23 GiB,8.12 GiB
2025-05-13 00:24:30,9.87 GiB,9.09 GiB,9.26 GiB,10.4 GiB,9.55 GiB
2025-05-13 00:25:00,10.0 GiB,10.6 GiB,9.87 GiB,10.6 GiB,9.91 GiB
2025-05-13 00:25:30,10.7 GiB,10.7 GiB,11.2 GiB,10.7 GiB,11.2 GiB
2025-05-13 00:26:00,11.2 GiB,11.6 GiB,12.7 GiB,11.9 GiB,12.3 GiB
2025-05-13 00:26:30,11.9 GiB,13.2 GiB,13.4 GiB,13.1 GiB,12.5 GiB
2025-05-13 00:27:00,12.3 GiB,14.3 GiB,13.4 GiB,13.1 GiB,12.5 GiB
2025-05-13 00:27:30,13.0 GiB,14.3 GiB,13.5 GiB,13.1 GiB,12.8 GiB
2025-05-13 00:28:00,14.1 GiB,14.3 GiB,13.5 GiB,13.1 GiB,13.2 GiB
2025-05-13 00:28:30,14.8 GiB,14.4 GiB,14.3 GiB,13.9 GiB,13.8 GiB
2025-05-13 00:29:00,14.8 GiB,14.4 GiB,14.3 GiB,14.5 GiB,13.9 GiB
2025-05-13 00:29:30,14.8 GiB,14.4 GiB,14.3 GiB,14.5 GiB,13.9 GiB
2025-05-13 00:30:00,10.5 GiB,14.4 GiB,14.4 GiB,14.5 GiB,14.0 GiB
2025-05-13 00:30:30,10.8 GiB,14.5 GiB,14.8 GiB,15.0 GiB,14.5 GiB
2025-05-13 00:31:00,10.9 GiB,14.5 GiB,5.16 GiB,4.49 GiB,14.6 GiB
2025-05-13 00:31:30,10.9 GiB,14.5 GiB,8.33 GiB,8.69 GiB,14.6 GiB
2025-05-13 00:32:00,11.9 GiB,14.2 GiB,9.38 GiB,9.84 GiB,14.6 GiB
2025-05-13 00:32:30,13.2 GiB,14.2 GiB,12.7 GiB,12.9 GiB,14.6 GiB
2025-05-13 00:33:00,14.7 GiB,14.3 GiB,12.7 GiB,43.0 MiB,14.6 GiB
2025-05-13 00:33:30,13.0 GiB,14.4 GiB,12.7 GiB,5.82 GiB,14.6 GiB
2025-05-13 00:34:00,13.0 GiB,14.4 GiB,12.7 GiB,8.47 GiB,14.6 GiB
2025-05-13 00:34:30,13.8 GiB,14.4 GiB,12.7 GiB,10.8 GiB,14.6 GiB
2025-05-13 00:35:00,14.3 GiB,14.4 GiB,14.1 GiB,12.9 GiB,14.6 GiB
