"Time","172.30.0.22:9100"
2025-05-13 00:15:00,82.9 KiB
2025-05-13 00:15:30,47.7 KiB
2025-05-13 00:16:00,122 KiB
2025-05-13 00:16:30,56.0 KiB
2025-05-13 00:17:00,846 KiB
2025-05-13 00:17:30,1.37 MiB
2025-05-13 00:18:00,11.8 MiB
2025-05-13 00:18:30,18.2 MiB
2025-05-13 00:19:00,25.6 MiB
2025-05-13 00:19:30,32.3 MiB
2025-05-13 00:20:00,58.7 MiB
2025-05-13 00:20:30,76.7 MiB
2025-05-13 00:21:00,64.9 MiB
2025-05-13 00:21:30,63.6 MiB
2025-05-13 00:22:00,89.6 MiB
2025-05-13 00:22:30,102 MiB
2025-05-13 00:23:00,113 MiB
2025-05-13 00:23:30,132 MiB
2025-05-13 00:24:00,113 MiB
2025-05-13 00:24:30,69.7 MiB
2025-05-13 00:25:00,129 MiB
2025-05-13 00:25:30,144 MiB
2025-05-13 00:26:00,130 MiB
2025-05-13 00:26:30,137 MiB
2025-05-13 00:27:00,157 MiB
2025-05-13 00:27:30,147 MiB
2025-05-13 00:28:00,150 MiB
2025-05-13 00:28:30,145 MiB
2025-05-13 00:29:00,154 MiB
2025-05-13 00:29:30,152 MiB
2025-05-13 00:30:00,165 MiB
2025-05-13 00:30:30,158 MiB
2025-05-13 00:31:00,27.7 MiB
2025-05-13 00:31:30,10.2 MiB
2025-05-13 00:32:00,84.5 MiB
2025-05-13 00:32:30,288 MiB
2025-05-13 00:33:00,308 MiB
2025-05-13 00:33:30,18.9 MiB
2025-05-13 00:34:00,9.63 MiB
2025-05-13 00:34:30,111 MiB
2025-05-13 00:35:00,212 MiB
