"Time","mimir-ingester-zone-c-0","mimir-ingester-zone-b-1","mimir-ingester-zone-c-1","mimir-ingester-zone-a-1","mimir-ingester-zone-a-0","mimir-ingester-zone-b-0"
2025-05-13 00:15:00,0,0,0,0,0,0
2025-05-13 00:15:30,0,0,0,0,0,0
2025-05-13 00:16:00,0,0,0,0,0,0
2025-05-13 00:16:30,0,0,0,0,0,0
2025-05-13 00:17:00,18947,20108,9515,1924,18720,9968
2025-05-13 00:17:30,48516,46317,22709,19259,47749,23891
2025-05-13 00:18:00,330206,349502,148045,86942,325649,166475
2025-05-13 00:18:30,700712,705885,452281,402443,692477,487202
2025-05-13 00:19:00,1021913,988631,754879,719597,1008965,806843
2025-05-13 00:19:30,1352338,1316186,1036882,1004629,1336473,1105289
2025-05-13 00:20:00,2005159,2025052,1386910,1327727,1908961,1485743
2025-05-13 00:20:30,2922432,2900284,2214912,2086957,2897552,2359017
2025-05-13 00:21:00,3471850,3341764,2973702,2917576,3431182,3132715
2025-05-13 00:21:30,3779469,3630447,3264312,3257174,3736234,3434976
2025-05-13 00:22:00,4111095,3952121,3563154,3540708,4059608,3750287
2025-05-13 00:22:30,4451861,4267240,3854069,3864901,4395513,4051653
2025-05-13 00:23:00,4996126,4852059,4139457,4164430,4936277,4353121
2025-05-13 00:23:30,6102182,5959090,4841252,4800326,6040951,5111424
2025-05-13 00:24:00,7121300,6870649,6042730,5973682,6900648,6376812
2025-05-13 00:24:30,7585646,7287526,6756588,6616390,6981081,7108754
2025-05-13 00:25:00,7930781,7620891,7028516,6822748,7264003,7382756
2025-05-13 00:25:30,8323187,7987912,7345889,6867985,7376126,7713319
2025-05-13 00:26:00,8610714,8254267,7657223,7010942,7556094,8050550
2025-05-13 00:26:30,8955729,8586982,7931567,7119585,8053984,8332152
2025-05-13 00:27:00,9235402,8849607,8252809,7508823,8705032,8670833
2025-05-13 00:27:30,9402841,8998351,8446761,8311308,9246785,8858987
2025-05-13 00:28:00,9455378,9038944,8567316,8642268,9296520,8985307
2025-05-13 00:28:30,9476521,9062894,8571127,8657867,9353866,8987561
2025-05-13 00:29:00,9653079,9262123,8625328,8724199,9530470,9049615
2025-05-13 00:29:30,9952166,9541985,8868708,0,9830436,9308692
2025-05-13 00:30:00,10206306,9784791,9136116,8812969,0,9581782
2025-05-13 00:30:30,10420212,9977636,9364517,9268379,0,9821266
2025-05-13 00:31:00,0,9979657,9463972,9596340,9941839,0
2025-05-13 00:31:30,0,9981384,9463972,9598251,9941839,0
2025-05-13 00:32:00,10479558,10027717,9471665,9601015,10050244,9929233
2025-05-13 00:32:30,10497566,10039799,9511684,9646558,10284517,9969235
2025-05-13 00:33:00,,10043755,9521314,9656288,10346241,9981196
2025-05-13 00:33:30,0,10043755,9525131,9660090,0,9985250
2025-05-13 00:34:00,0,10043755,9525131,9660090,0,9985250
2025-05-13 00:34:30,10503874,10043755,9525131,9660090,10354531,9985250
2025-05-13 00:35:00,10503874,10043755,9525131,9660090,10360618,9985250
