"Time","172.30.0.22:9100"
2025-05-13 00:15:00,247 p/s
2025-05-13 00:15:30,112 p/s
2025-05-13 00:16:00,350 p/s
2025-05-13 00:16:30,153 p/s
2025-05-13 00:17:00,624 p/s
2025-05-13 00:17:30,711 p/s
2025-05-13 00:18:00,5.80 kp/s
2025-05-13 00:18:30,8.19 kp/s
2025-05-13 00:19:00,11.7 kp/s
2025-05-13 00:19:30,14.6 kp/s
2025-05-13 00:20:00,26.2 kp/s
2025-05-13 00:20:30,33.9 kp/s
2025-05-13 00:21:00,28.7 kp/s
2025-05-13 00:21:30,28.5 kp/s
2025-05-13 00:22:00,39.7 kp/s
2025-05-13 00:22:30,44.8 kp/s
2025-05-13 00:23:00,50.1 kp/s
2025-05-13 00:23:30,59.1 kp/s
2025-05-13 00:24:00,50.0 kp/s
2025-05-13 00:24:30,31.5 kp/s
2025-05-13 00:25:00,57.1 kp/s
2025-05-13 00:25:30,64.1 kp/s
2025-05-13 00:26:00,57.4 kp/s
2025-05-13 00:26:30,60.1 kp/s
2025-05-13 00:27:00,68.7 kp/s
2025-05-13 00:27:30,64.6 kp/s
2025-05-13 00:28:00,66.8 kp/s
2025-05-13 00:28:30,64.1 kp/s
2025-05-13 00:29:00,69.1 kp/s
2025-05-13 00:29:30,67.6 kp/s
2025-05-13 00:30:00,74.3 kp/s
2025-05-13 00:30:30,70.4 kp/s
2025-05-13 00:31:00,16.4 kp/s
2025-05-13 00:31:30,8.96 kp/s
2025-05-13 00:32:00,38.9 kp/s
2025-05-13 00:32:30,120 kp/s
2025-05-13 00:33:00,129 kp/s
2025-05-13 00:33:30,12.4 kp/s
2025-05-13 00:34:00,8.03 kp/s
2025-05-13 00:34:30,49.0 kp/s
2025-05-13 00:35:00,91.0 kp/s
