"Time","177.93.133.114:9100"
2025-05-13 00:15:00,0.0127
2025-05-13 00:15:30,0.0123
2025-05-13 00:16:00,0.0127
2025-05-13 00:16:30,0.0137
2025-05-13 00:17:00,0.0403
2025-05-13 00:17:30,0.0533
2025-05-13 00:18:00,0.366
2025-05-13 00:18:30,0.533
2025-05-13 00:19:00,0.600
2025-05-13 00:19:30,0.598
2025-05-13 00:20:00,1.15
2025-05-13 00:20:30,1.45
2025-05-13 00:21:00,1.03
2025-05-13 00:21:30,0.948
2025-05-13 00:22:00,1.08
2025-05-13 00:22:30,1.27
2025-05-13 00:23:00,1.56
2025-05-13 00:23:30,2.08
2025-05-13 00:24:00,1.70
2025-05-13 00:24:30,1.49
2025-05-13 00:25:00,1.59
2025-05-13 00:25:30,1.83
2025-05-13 00:26:00,1.52
2025-05-13 00:26:30,1.87
2025-05-13 00:27:00,1.66
2025-05-13 00:27:30,1.75
2025-05-13 00:28:00,1.52
2025-05-13 00:28:30,1.72
2025-05-13 00:29:00,1.60
2025-05-13 00:29:30,1.87
2025-05-13 00:30:00,1.96
2025-05-13 00:30:30,1.78
2025-05-13 00:31:00,1.66
2025-05-13 00:31:30,1.64
2025-05-13 00:32:00,1.83
2025-05-13 00:32:30,1.75
2025-05-13 00:33:00,2.06
2025-05-13 00:33:30,1.75
2025-05-13 00:34:00,1.59
2025-05-13 00:34:30,1.54
2025-05-13 00:35:00,1.96
