"Time","prom-ring-mimir-c9v8w-4x2sk"
2025-05-13 00:15:00,34.2 MiB
2025-05-13 00:15:30,34.0 MiB
2025-05-13 00:16:00,34.3 MiB
2025-05-13 00:16:30,34.0 MiB
2025-05-13 00:17:00,68.4 MiB
2025-05-13 00:17:30,97.7 MiB
2025-05-13 00:18:00,458 MiB
2025-05-13 00:18:30,868 MiB
2025-05-13 00:19:00,1.46 GiB
2025-05-13 00:19:30,1.71 GiB
2025-05-13 00:20:00,2.82 GiB
2025-05-13 00:20:30,4.05 GiB
2025-05-13 00:21:00,4.64 GiB
2025-05-13 00:21:30,5.17 GiB
2025-05-13 00:22:00,5.67 GiB
2025-05-13 00:22:30,5.98 GiB
2025-05-13 00:23:00,6.97 GiB
2025-05-13 00:23:30,7.49 GiB
2025-05-13 00:24:00,9.63 GiB
2025-05-13 00:24:30,9.87 GiB
2025-05-13 00:25:00,10.0 GiB
2025-05-13 00:25:30,10.7 GiB
2025-05-13 00:26:00,11.2 GiB
2025-05-13 00:26:30,11.9 GiB
2025-05-13 00:27:00,12.3 GiB
2025-05-13 00:27:30,13.0 GiB
2025-05-13 00:28:00,14.1 GiB
2025-05-13 00:28:30,14.8 GiB
2025-05-13 00:29:00,14.8 GiB
2025-05-13 00:29:30,14.8 GiB
2025-05-13 00:30:00,10.5 GiB
2025-05-13 00:30:30,10.8 GiB
2025-05-13 00:31:00,10.9 GiB
2025-05-13 00:31:30,10.9 GiB
2025-05-13 00:32:00,11.9 GiB
2025-05-13 00:32:30,13.2 GiB
2025-05-13 00:33:00,14.7 GiB
2025-05-13 00:33:30,13.0 GiB
2025-05-13 00:34:00,13.0 GiB
2025-05-13 00:34:30,13.8 GiB
2025-05-13 00:35:00,14.3 GiB
