"Time","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 00:15:00,4.70 KiB,8.41 KiB,18.2 KiB
2025-05-13 00:15:30,4.11 KiB,4.92 KiB,7.49 KiB
2025-05-13 00:16:00,4.09 KiB,4.80 KiB,7.31 KiB
2025-05-13 00:16:30,4.13 KiB,4.31 KiB,8.17 KiB
2025-05-13 00:17:00,167 KiB,290 KiB,62.3 KiB
2025-05-13 00:17:30,394 KiB,580 KiB,235 KiB
2025-05-13 00:18:00,3.35 MiB,2.70 MiB,1.10 MiB
2025-05-13 00:18:30,5.26 MiB,5.17 MiB,4.66 MiB
2025-05-13 00:19:00,8.29 MiB,7.34 MiB,5.63 MiB
2025-05-13 00:19:30,9.66 MiB,9.82 MiB,8.60 MiB
2025-05-13 00:20:00,15.1 MiB,9.53 MiB,10.3 MiB
2025-05-13 00:20:30,20.7 MiB,14.0 MiB,19.7 MiB
2025-05-13 00:21:00,18.2 MiB,15.9 MiB,20.9 MiB
2025-05-13 00:21:30,18.3 MiB,19.0 MiB,18.0 MiB
2025-05-13 00:22:00,21.5 MiB,20.2 MiB,18.3 MiB
2025-05-13 00:22:30,23.2 MiB,23.0 MiB,23.2 MiB
2025-05-13 00:23:00,27.3 MiB,25.0 MiB,22.7 MiB
2025-05-13 00:23:30,35.4 MiB,34.8 MiB,29.8 MiB
2025-05-13 00:24:00,30.7 MiB,34.3 MiB,35.5 MiB
2025-05-13 00:24:30,29.9 MiB,28.7 MiB,29.4 MiB
2025-05-13 00:25:00,33.1 MiB,33.7 MiB,30.1 MiB
2025-05-13 00:25:30,36.7 MiB,35.1 MiB,34.1 MiB
2025-05-13 00:26:00,36.8 MiB,37.7 MiB,36.6 MiB
2025-05-13 00:26:30,39.7 MiB,38.1 MiB,38.1 MiB
2025-05-13 00:27:00,39.8 MiB,40.7 MiB,39.4 MiB
2025-05-13 00:27:30,41.7 MiB,40.5 MiB,40.9 MiB
2025-05-13 00:28:00,40.2 MiB,41.5 MiB,40.8 MiB
2025-05-13 00:28:30,41.9 MiB,40.6 MiB,41.1 MiB
2025-05-13 00:29:00,42.6 MiB,43.2 MiB,41.3 MiB
2025-05-13 00:29:30,45.3 MiB,44.2 MiB,44.2 MiB
2025-05-13 00:30:00,46.6 MiB,47.0 MiB,44.8 MiB
2025-05-13 00:30:30,48.6 MiB,47.3 MiB,47.7 MiB
2025-05-13 00:31:00,45.5 MiB,46.2 MiB,47.2 MiB
2025-05-13 00:31:30,47.2 MiB,44.7 MiB,46.5 MiB
2025-05-13 00:32:00,46.7 MiB,46.4 MiB,46.2 MiB
2025-05-13 00:32:30,48.6 MiB,51.0 MiB,46.5 MiB
2025-05-13 00:33:00,49.5 MiB,51.8 MiB,50.4 MiB
2025-05-13 00:33:30,45.8 MiB,45.2 MiB,49.6 MiB
2025-05-13 00:34:00,44.0 MiB,45.5 MiB,47.5 MiB
2025-05-13 00:34:30,45.8 MiB,46.1 MiB,47.9 MiB
2025-05-13 00:35:00,47.1 MiB,49.1 MiB,47.6 MiB
