"Time","177.93.133.115:19090"
2025-05-13 00:15:00,0
2025-05-13 00:15:30,0
2025-05-13 00:16:00,0
2025-05-13 00:16:30,0
2025-05-13 00:17:00,0
2025-05-13 00:17:30,56070
2025-05-13 00:18:00,284355
2025-05-13 00:18:30,943992
2025-05-13 00:19:00,1638045
2025-05-13 00:19:30,2270835
2025-05-13 00:20:00,2911635
2025-05-13 00:20:30,3528405
2025-05-13 00:21:00,4105125
2025-05-13 00:21:30,4442615
2025-05-13 00:22:00,4721895
2025-05-13 00:22:30,5022270
2025-05-13 00:23:00,5386725
2025-05-13 00:23:30,5803042
2025-05-13 00:24:00,6031530
2025-05-13 00:24:30,6135660
2025-05-13 00:25:00,6279840
2025-05-13 00:25:30,6408000
2025-05-13 00:26:00,6584220
2025-05-13 00:26:30,6772455
2025-05-13 00:27:00,6880590
2025-05-13 00:27:30,6980715
2025-05-13 00:28:00,7060815
2025-05-13 00:28:30,7060815
2025-05-13 00:29:00,7088850
2025-05-13 00:29:30,7249050
2025-05-13 00:30:00,7389225
2025-05-13 00:30:30,7509375
2025-05-13 00:31:00,7605495
2025-05-13 00:31:30,7605495
2025-05-13 00:32:00,7605495
2025-05-13 00:32:30,7605495
2025-05-13 00:33:00,7605495
2025-05-13 00:33:30,7605495
2025-05-13 00:34:00,7605495
2025-05-13 00:34:30,7605495
2025-05-13 00:35:00,7605495
